      Lon      Lat    Year   Stand       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
   -71.25   -32.75   -9250       0     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     110     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     131     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     132     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     133     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     134     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     140     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9250     160     0.000     0.000     2.087    11.696    17.352   127.453   108.749    58.457    36.402    12.975     1.241     0.702
   -71.25   -32.75   -9249       0     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     110     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     131     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     132     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     133     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     134     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     140     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9249     160     0.000     0.151     2.288    17.153    42.544    64.044   136.776    20.758    43.554    16.391     2.830     0.310
   -71.25   -32.75   -9248       0     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     110     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     131     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     132     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     133     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     134     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     140     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9248     160     0.000     0.234     2.012     8.412    56.865    77.397   113.763    44.098    32.181    12.767     1.641     0.261
   -71.25   -32.75   -9247       0     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     110     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     131     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     132     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     133     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     134     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     140     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9247     160     0.000     0.120     6.351    10.726    76.138   107.452    53.982    31.793    16.060    16.680     4.633     2.285
   -71.25   -32.75   -9246       0     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     110     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     131     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     132     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     133     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     134     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     140     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9246     160     0.000     0.109     1.905     4.673    32.698    80.332    74.762    37.435    16.850    13.242     1.121     3.346
   -71.25   -32.75   -9245       0     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     110     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     131     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     132     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     133     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     134     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     140     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9245     160     0.000     0.495     0.834    10.222    79.984    69.563   110.644    56.263    50.068    12.084     3.074     1.114
   -71.25   -32.75   -9244       0     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     110     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     131     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     132     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     133     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     134     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     140     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9244     160     0.000     0.214     4.379    15.181    43.883   154.385   138.551    43.947    59.698    21.770     2.551     1.388
   -71.25   -32.75   -9243       0     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     110     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     131     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     132     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     133     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     134     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     140     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9243     160     0.000     0.624     6.475    11.480    44.775   124.005    90.337    62.578    35.214    21.573     4.794     2.853
   -71.25   -32.75   -9242       0     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     110     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     131     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     132     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     133     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     134     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     140     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9242     160     0.000     0.328     2.315    16.125    33.615    85.053   129.572    36.677    21.525    14.503     1.447     0.522
   -71.25   -32.75   -9241       0     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     110     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     131     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     132     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     133     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     134     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     140     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9241     160     0.000     0.494     2.088    15.222    52.236    85.551    87.326    37.809    10.768    10.361     1.512     1.649
   -71.25   -32.75   -9240       0     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     110     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     131     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     132     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     133     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     134     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     140     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9240     160     0.000     0.000     4.495    17.583    35.530    93.833    96.809    73.714    33.053    11.120     2.468     0.638
   -71.25   -32.75   -9239       0     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     110     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     131     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     132     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     133     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     134     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     140     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9239     160     0.000     0.131     2.889     8.818    26.988    56.601    79.744    15.543    15.385    12.610     0.557     1.547
   -71.25   -32.75   -9238       0     0.000     0.600     3.151    10.856    30.391    99.337    73.600    61.338    61.322     9.919     3.088     0.398
   -71.25   -32.75   -9238     110     0.000     0.600     3.151    10.856    30.391    99.337    73.600    61.338    61.322     9.919     3.088     0.398
   -71.25   -32.75   -9238     131     0.000     0.600     3.151    10.856    30.391    99.337    73.600    61.338    61.322     9.919     3.088     0.398
   -71.25   -32.75   -9238     132     0.000     0.600     3.151    10.856    30.391    99.337    73.600    61.338    61.322     9.919     3.088     0.398
