      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75   -2050       0       0    52.6     0.0     0.5     0.0    53.0
   -71.25   -32.75   -2050       0       1    51.5     0.0     3.7     0.0    55.2
   -71.25   -32.75   -2050       0       2    50.9    14.1     3.6     0.0    68.6
   -71.25   -32.75   -2050       0       3    54.1     0.0     2.6     0.0    56.7
   -71.25   -32.75   -2050       0       4    56.0     0.0     0.2     0.0    56.3
   -71.25   -32.75   -2050     110       0    50.0     0.0     0.0     0.0    50.0
   -71.25   -32.75   -2050     110       1    51.1     0.0     0.0     0.0    51.1
   -71.25   -32.75   -2050     110       2    52.7     0.0     0.0     0.0    52.7
   -71.25   -32.75   -2050     110       3    48.9     0.0     0.0     0.0    48.9
   -71.25   -32.75   -2050     110       4    53.5     0.0     0.0     0.0    53.5
   -71.25   -32.75   -2050     131       0    44.6     0.0     4.7     0.0    49.3
   -71.25   -32.75   -2050     131       1    50.4     0.0     0.0     0.0    50.4
   -71.25   -32.75   -2050     131       2    55.9     0.0     5.3     0.0    61.2
   -71.25   -32.75   -2050     131       3    55.9     0.0     5.9     0.0    61.8
   -71.25   -32.75   -2050     131       4    56.2     0.0     5.4     0.0    61.5
   -71.25   -32.75   -2050     132       0    51.3     0.0     0.0     0.0    51.3
   -71.25   -32.75   -2050     132       1    50.0     0.0     0.0     0.0    50.0
   -71.25   -32.75   -2050     132       2    52.0     0.0     0.0     0.0    52.0
   -71.25   -32.75   -2050     132       3    50.6     0.0     0.0     0.0    50.6
   -71.25   -32.75   -2050     132       4    47.2     0.0     4.5     0.0    51.7
   -71.25   -32.75   -2050     133       0    55.9     0.0     6.8     0.0    62.7
   -71.25   -32.75   -2050     133       1    55.3     0.0     2.1     0.0    57.4
   -71.25   -32.75   -2050     133       2    55.7     0.0     2.9     0.0    58.6
   -71.25   -32.75   -2050     133       3    53.4     0.0     0.1     0.0    53.5
   -71.25   -32.75   -2050     133       4    48.0     0.0     0.0     0.0    48.1
   -71.25   -32.75   -2050     134       0    47.2     0.0     4.8     0.0    52.1
   -71.25   -32.75   -2050     134       1    51.0     0.0     0.0     0.0    51.0
   -71.25   -32.75   -2050     134       2    49.5     0.0     0.0     0.0    49.6
   -71.25   -32.75   -2050     134       3    58.2     0.0     1.0     0.0    59.2
   -71.25   -32.75   -2050     134       4    49.5     0.0     0.0     0.0    49.6
   -71.25   -32.75   -2050     140       0    49.5     0.0     0.0     0.0    49.5
   -71.25   -32.75   -2050     140       1    53.1     0.0     0.0     0.0    53.1
   -71.25   -32.75   -2050     140       2    46.8     0.0     0.4     1.3    48.6
   -71.25   -32.75   -2050     140       3    50.5     0.0     0.0     0.0    50.5
   -71.25   -32.75   -2050     140       4    47.7     0.0     0.5     3.6    51.8
   -71.25   -32.75   -2050     160       0    48.1     0.0     0.2     1.1    49.4
   -71.25   -32.75   -2050     160       1    48.2     0.0     0.2     1.0    49.4
   -71.25   -32.75   -2050     160       2    49.3     0.0     0.0     0.0    49.3
   -71.25   -32.75   -2050     160       3    50.4     0.0     0.1     2.8    53.3
   -71.25   -32.75   -2050     160       4    49.0     0.0     0.1     0.5    49.6
   -71.25   -32.75   -2049       0       0    33.8     0.0     5.4     0.0    39.2
   -71.25   -32.75   -2049       0       1    31.8    46.8    19.8     0.0    98.4
   -71.25   -32.75   -2049       0       2    35.8    60.2    19.7     0.0   115.7
   -71.25   -32.75   -2049       0       3    35.7    15.9    15.5     0.0    67.1
   -71.25   -32.75   -2049       0       4    40.4     0.0     5.5     0.0    45.9
   -71.25   -32.75   -2049     110       0    32.4     0.0     0.4     0.0    32.8
   -71.25   -32.75   -2049     110       1    32.4     0.0     0.4     0.0    32.8
   -71.25   -32.75   -2049     110       2    32.4     0.0     0.4     0.0    32.8
   -71.25   -32.75   -2049     110       3    32.4     0.0     0.4     0.0    32.8
   -71.25   -32.75   -2049     110       4    32.4     0.0     0.4     0.0    32.8
   -71.25   -32.75   -2049     131       0    28.7    24.1    15.3     0.0    68.1
   -71.25   -32.75   -2049     131       1    29.8     0.0     0.4     0.0    30.2
   -71.25   -32.75   -2049     131       2    29.8     0.0    14.9     0.0    44.7
   -71.25   -32.75   -2049     131       3    29.8     0.0    17.0     0.0    46.8
   -71.25   -32.75   -2049     131       4    29.8     0.0    15.0     0.0    44.8
   -71.25   -32.75   -2049     132       0    33.7     0.0     0.4     0.0    34.1
   -71.25   -32.75   -2049     132       1    33.7     0.0     0.4     0.0    34.1
   -71.25   -32.75   -2049     132       2    33.6     0.0     0.4     0.0    34.0
   -71.25   -32.75   -2049     132       3    33.7     0.0     0.4     0.0    34.1
   -71.25   -32.75   -2049     132       4    31.8    46.0    17.4     0.0    95.3
   -71.25   -32.75   -2049     133       0    30.0    54.8    20.3     0.0   105.2
   -71.25   -32.75   -2049     133       1    30.1     0.0     6.4     0.0    36.4
   -71.25   -32.75   -2049     133       2    30.0     0.0     9.0     0.0    39.0
   -71.25   -32.75   -2049     133       3    30.1     0.0     0.6     0.0    30.7
   -71.25   -32.75   -2049     133       4    30.1     0.0     0.4     0.0    30.4
   -71.25   -32.75   -2049     134       0    31.9     4.4    18.3     0.0    54.5
   -71.25   -32.75   -2049     134       1    32.8     0.0     0.4     0.0    33.1
   -71.25   -32.75   -2049     134       2    32.8     0.0     0.4     0.0    33.1
   -71.25   -32.75   -2049     134       3    32.8     0.0     4.8     0.0    37.6
   -71.25   -32.75   -2049     134       4    32.8     0.0     0.4     0.0    33.1
   -71.25   -32.75   -2049     140       0    32.6     0.0     0.0     0.4    33.0
   -71.25   -32.75   -2049     140       1    32.2     0.0     0.0     0.3    32.5
   -71.25   -32.75   -2049     140       2    31.0     0.0     1.3     1.5    33.8
   -71.25   -32.75   -2049     140       3    32.6     0.0     0.0     0.4    33.0
   -71.25   -32.75   -2049     140       4    32.0     0.0     1.7     3.6    37.3
   -71.25   -32.75   -2049     160       0    34.2     0.0     0.8     1.6    36.6
   -71.25   -32.75   -2049     160       1    33.0     0.0     0.5     1.6    35.2
   -71.25   -32.75   -2049     160       2    34.1     0.0     0.1     0.5    34.6
   -71.25   -32.75   -2049     160       3    32.8     0.0     0.2     1.6    34.6
   -71.25   -32.75   -2049     160       4    32.1     0.0     0.2     1.6    33.9
   -71.25   -32.75   -2048       0       0    19.0     0.0     1.7     0.0    20.7
   -71.25   -32.75   -2048       0       1    17.3     8.7     1.9     0.0    27.9
   -71.25   -32.75   -2048       0       2    17.7    14.2     1.9     0.0    33.9
   -71.25   -32.75   -2048       0       3    17.8    14.1     1.9     0.0    33.8
   -71.25   -32.75   -2048       0       4    20.2    28.8     1.9     0.0    50.9
   -71.25   -32.75   -2048     110       0    17.9     0.0     0.2     0.0    18.1
   -71.25   -32.75   -2048     110       1    17.9     0.0     0.2     0.0    18.1
   -71.25   -32.75   -2048     110       2    17.9     0.0     0.2     0.0    18.1
   -71.25   -32.75   -2048     110       3    17.8     0.0     0.2     0.0    18.0
