      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0        0.00        0.00        0.00        0.00        0.28        0.00        0.00        0.00        0.00        0.00        0.00        0.42    0.70
   -71.25   -32.75    1950       0       1        0.00        0.00        0.00        0.89        0.00        0.00        0.00        0.00        0.00        0.00        0.00        6.96    7.86
   -71.25   -32.75    1950       0       2        0.11        0.14        0.00        5.61        7.77        0.00        0.00        0.00        0.00        0.00        0.00        8.87   22.49
   -71.25   -32.75    1950       0       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.21    2.21
   -71.25   -32.75    1950       0       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.94    0.94
   -71.25   -32.75    1950     110       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.00
   -71.25   -32.75    1950     110       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.01    0.01
   -71.25   -32.75    1950     110       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.00
   -71.25   -32.75    1950     110       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.29    0.29
   -71.25   -32.75    1950     110       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       50.93   50.93
   -71.25   -32.75    1950     131       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        5.21    5.21
   -71.25   -32.75    1950     131       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.05    0.05
   -71.25   -32.75    1950     131       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.40    0.40
   -71.25   -32.75    1950     131       3        0.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       45.27   45.35
   -71.25   -32.75    1950     131       4        0.00        0.29        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.41    2.70
   -71.25   -32.75    1950     132       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        3.59    3.59
   -71.25   -32.75    1950     132       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.00
   -71.25   -32.75    1950     132       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.00
   -71.25   -32.75    1950     132       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00    0.00
   -71.25   -32.75    1950     132       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.11    0.11
   -71.25   -32.75    1950     133       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.15    2.15
   -71.25   -32.75    1950     133       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       11.78   11.78
