      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0       0.000       0.000       0.007       0.000       0.001       0.622       0.000       0.000       0.000       0.000       0.000       0.001   0.631
   -71.25   -32.75    1950       0       1       0.000       0.000       0.000       0.003       0.000       0.637       0.000       0.000       0.000       0.000       0.000       0.012   0.651
   -71.25   -32.75    1950       0       2       0.000       0.000       0.055       0.015       0.021       0.479       0.000       0.000       0.000       0.000       0.000       0.020   0.592
   -71.25   -32.75    1950       0       3       0.000       0.000       0.038       0.000       0.000       0.314       0.000       0.000       0.000       0.000       0.000       0.005   0.357
   -71.25   -32.75    1950       0       4       0.000       0.000       0.004       0.000       0.000       0.538       0.000       0.000       0.000       0.000       0.000       0.002   0.544
   -71.25   -32.75    1950     110       0       0.000       0.000       0.019       0.000       0.000       0.054       0.792       0.000       0.000       0.000       0.000       0.000   0.865
   -71.25   -32.75    1950     110       1       0.000       0.000       0.060       0.000       0.000       0.060       0.824       0.000       0.000       0.000       0.000       0.000   0.944
   -71.25   -32.75    1950     110       2       0.000       0.000       0.049       0.000       0.000       0.001       0.907       0.000       0.000       0.000       0.000       0.000   0.956
   -71.25   -32.75    1950     110       3       0.000       0.000       0.072       0.000       0.000       0.324       0.000       0.000       0.000       0.000       0.000       0.001   0.397
   -71.25   -32.75    1950     110       4       0.000       0.000       0.227       0.000       0.000       0.339       0.000       0.000       0.000       0.000       0.000       0.095   0.660
   -71.25   -32.75    1950     131       0       0.000       0.000       0.033       0.000       0.000       0.000       0.695       0.000       0.000       0.000       0.000       0.009   0.737
   -71.25   -32.75    1950     131       1       0.000       0.000       0.013       0.000       0.000       0.579       0.146       0.000       0.000       0.000       0.000       0.000   0.739
   -71.25   -32.75    1950     131       2       0.000       0.000       0.083       0.000       0.000       0.106       0.724       0.000       0.000       0.000       0.000       0.000   0.913
   -71.25   -32.75    1950     131       3       0.000       0.000       0.039       0.000       0.000       0.830       0.140       0.000       0.000       0.000       0.000       0.055   1.063
   -71.25   -32.75    1950     131       4       0.001       0.001       0.072       0.000       0.000       0.046       0.782       0.000       0.000       0.000       0.000       0.003   0.904
   -71.25   -32.75    1950     132       0       0.000       0.000       0.015       0.000       0.000       0.081       0.764       0.000       0.000       0.000       0.000       0.002   0.863
   -71.25   -32.75    1950     132       1       0.000       0.000       0.096       0.000       0.000       0.449       0.079       0.000       0.000       0.000       0.000       0.000   0.625
   -71.25   -32.75    1950     132       2       0.000       0.000       0.016       0.000       0.000       0.515       0.202       0.000       0.000       0.000       0.000       0.000   0.733
   -71.25   -32.75    1950     132       3       0.000       0.000       0.144       0.000       0.000       0.114       0.434       0.000       0.000       0.000       0.000       0.000   0.692
   -71.25   -32.75    1950     132       4       0.000       0.000       0.137       0.000       0.000       0.529       0.000       0.000       0.000       0.000       0.000       0.000   0.666
   -71.25   -32.75    1950     133       0       0.000       0.000       0.059       0.000       0.000       0.039       0.860       0.000       0.000       0.000       0.000       0.002   0.960
   -71.25   -32.75    1950     133       1       0.000       0.000       0.008       0.000       0.000       0.754       0.000       0.000       0.000       0.000       0.000       0.019   0.781
   -71.25   -32.75    1950     133       2       0.000       0.000       0.000       0.000       0.000       0.000       0.066       0.000       0.000       0.000       0.000       0.029   0.095
   -71.25   -32.75    1950     133       3       0.000       0.000       0.034       0.000       0.000       0.376       0.522       0.000       0.000       0.000       0.000       0.008   0.940
   -71.25   -32.75    1950     133       4       0.000       0.000       0.049       0.000       0.000       0.181       0.719       0.000       0.000       0.000       0.000       0.000   0.949
   -71.25   -32.75    1950     134       0       0.000       0.000       0.016       0.000       0.000       0.046       0.874       0.000       0.000       0.000       0.000       0.000   0.936
   -71.25   -32.75    1950     134       1       0.000       0.000       0.080       0.000       0.000       0.293       0.000       0.000       0.000       0.000       0.000       0.265   0.638
   -71.25   -32.75    1950     134       2       0.000       0.000       0.117       0.000       0.000       0.000       0.865       0.000       0.000       0.000       0.000       0.015   0.997
   -71.25   -32.75    1950     134       3       0.000       0.000       0.061       0.000       0.000       0.010       0.849       0.000       0.000       0.000       0.000       0.001   0.920
   -71.25   -32.75    1950     134       4       0.000       0.000       0.000       0.000       0.000       0.052       1.026       0.000       0.000       0.000       0.000       0.000   1.078
   -71.25   -32.75    1950     140       0       0.000       0.000       0.064       0.000       0.000       0.007       0.924       0.000       0.000       0.000       0.000       0.000   0.996
   -71.25   -32.75    1950     140       1       0.000       0.000       0.173       0.000       0.000       0.041       0.000       0.000       0.000       0.000       0.000       0.539   0.753
   -71.25   -32.75    1950     140       2       0.000       0.000       0.082       0.000       0.000       0.708       0.000       0.000       0.000       0.000       0.000       0.000   0.790
   -71.25   -32.75    1950     140       3       0.000       0.000       0.130       0.000       0.000       0.025       0.780       0.000       0.000       0.000       0.000       0.000   0.935
