      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0       0.000       0.000       0.003       0.000       0.000       0.322       0.000       0.000       0.000       0.000       0.000       0.000   0.327
   -71.25   -32.75    1950       0       1       0.000       0.000       0.000       0.001       0.000       0.309       0.000       0.000       0.000       0.000       0.000       0.007   0.317
   -71.25   -32.75    1950       0       2       0.000       0.000       0.027       0.007       0.010       0.246       0.000       0.000       0.000       0.000       0.000       0.012   0.302
   -71.25   -32.75    1950       0       3       0.000       0.000       0.019       0.000       0.000       0.174       0.000       0.000       0.000       0.000       0.000       0.003   0.196
   -71.25   -32.75    1950       0       4       0.000       0.000       0.002       0.000       0.000       0.309       0.000       0.000       0.000       0.000       0.000       0.001   0.312
   -71.25   -32.75    1950     110       0       0.000       0.000       0.008       0.000       0.000       0.026       0.443       0.000       0.000       0.000       0.000       0.000   0.477
   -71.25   -32.75    1950     110       1       0.000       0.000       0.025       0.000       0.000       0.023       0.485       0.000       0.000       0.000       0.000       0.000   0.533
   -71.25   -32.75    1950     110       2       0.000       0.000       0.022       0.000       0.000       0.000       0.531       0.000       0.000       0.000       0.000       0.000   0.553
   -71.25   -32.75    1950     110       3       0.000       0.000       0.031       0.000       0.000       0.168       0.000       0.000       0.000       0.000       0.000       0.000   0.200
   -71.25   -32.75    1950     110       4       0.000       0.000       0.097       0.000       0.000       0.144       0.000       0.000       0.000       0.000       0.000       0.053   0.294
   -71.25   -32.75    1950     131       0       0.000       0.000       0.016       0.000       0.000       0.000       0.443       0.000       0.000       0.000       0.000       0.004   0.464
   -71.25   -32.75    1950     131       1       0.000       0.000       0.005       0.000       0.000       0.271       0.069       0.000       0.000       0.000       0.000       0.000   0.345
   -71.25   -32.75    1950     131       2       0.000       0.000       0.035       0.000       0.000       0.042       0.436       0.000       0.000       0.000       0.000       0.000   0.514
   -71.25   -32.75    1950     131       3       0.000       0.000       0.022       0.000       0.000       0.444       0.088       0.000       0.000       0.000       0.000       0.024   0.577
   -71.25   -32.75    1950     131       4       0.000       0.000       0.030       0.000       0.000       0.018       0.474       0.000       0.000       0.000       0.000       0.001   0.523
   -71.25   -32.75    1950     132       0       0.000       0.000       0.007       0.000       0.000       0.036       0.352       0.000       0.000       0.000       0.000       0.000   0.396
   -71.25   -32.75    1950     132       1       0.000       0.000       0.039       0.000       0.000       0.220       0.037       0.000       0.000       0.000       0.000       0.000   0.296
   -71.25   -32.75    1950     132       2       0.000       0.000       0.007       0.000       0.000       0.233       0.100       0.000       0.000       0.000       0.000       0.000   0.339
   -71.25   -32.75    1950     132       3       0.000       0.000       0.063       0.000       0.000       0.057       0.225       0.000       0.000       0.000       0.000       0.000   0.345
   -71.25   -32.75    1950     132       4       0.000       0.000       0.051       0.000       0.000       0.233       0.000       0.000       0.000       0.000       0.000       0.000   0.284
   -71.25   -32.75    1950     133       0       0.000       0.000       0.024       0.000       0.000       0.016       0.478       0.000       0.000       0.000       0.000       0.001   0.519
   -71.25   -32.75    1950     133       1       0.000       0.000       0.003       0.000       0.000       0.340       0.000       0.000       0.000       0.000       0.000       0.009   0.353
   -71.25   -32.75    1950     133       2       0.000       0.000       0.000       0.000       0.000       0.000       0.043       0.000       0.000       0.000       0.000       0.018   0.060
   -71.25   -32.75    1950     133       3       0.000       0.000       0.015       0.000       0.000       0.152       0.307       0.000       0.000       0.000       0.000       0.003   0.476
   -71.25   -32.75    1950     133       4       0.000       0.000       0.022       0.000       0.000       0.077       0.412       0.000       0.000       0.000       0.000       0.000   0.511
   -71.25   -32.75    1950     134       0       0.000       0.000       0.007       0.000       0.000       0.020       0.492       0.000       0.000       0.000       0.000       0.000   0.519
   -71.25   -32.75    1950     134       1       0.000       0.000       0.032       0.000       0.000       0.116       0.000       0.000       0.000       0.000       0.000       0.150   0.298
   -71.25   -32.75    1950     134       2       0.000       0.000       0.057       0.000       0.000       0.000       0.460       0.000       0.000       0.000       0.000       0.004   0.522
   -71.25   -32.75    1950     134       3       0.000       0.000       0.025       0.000       0.000       0.004       0.484       0.000       0.000       0.000       0.000       0.000   0.513
   -71.25   -32.75    1950     134       4       0.000       0.000       0.000       0.000       0.000       0.027       0.573       0.000       0.000       0.000       0.000       0.000   0.600
   -71.25   -32.75    1950     140       0       0.000       0.000       0.027       0.000       0.000       0.003       0.529       0.000       0.000       0.000       0.000       0.000   0.559
   -71.25   -32.75    1950     140       1       0.000       0.000       0.047       0.000       0.000       0.014       0.000       0.000       0.000       0.000       0.000       0.288   0.349
   -71.25   -32.75    1950     140       2       0.000       0.000       0.038       0.000       0.000       0.325       0.000       0.000       0.000       0.000       0.000       0.000   0.363
   -71.25   -32.75    1950     140       3       0.000       0.000       0.048       0.000       0.000       0.010       0.452       0.000       0.000       0.000       0.000       0.000   0.509
   -71.25   -32.75    1950     140       4       0.000       0.000       0.060       0.000       0.000       0.049       0.360       0.000       0.000       0.000       0.000       0.000   0.469
   -71.25   -32.75    1950     160       0       0.000       0.000       0.034       0.000       0.000       0.000       0.425       0.000       0.000       0.000       0.000       0.000   0.460
   -71.25   -32.75    1950     160       1       0.000       0.000       0.025       0.000       0.000       0.088       0.324       0.000       0.000       0.000       0.000       0.000   0.438
   -71.25   -32.75    1950     160       2       0.000       0.000       0.022       0.000       0.000       0.001       0.528       0.000       0.000       0.000       0.000       0.000   0.550
   -71.25   -32.75    1950     160       3       0.000       0.000       0.059       0.000       0.000       0.014       0.140       0.000       0.000       0.000       0.000       0.212   0.425
   -71.25   -32.75    1950     160       4       0.000       0.000       0.037       0.000       0.000       0.054       0.000       0.000       0.000       0.000       0.000       0.000   0.091
   -71.25   -32.75    1951       0       0       0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000       0.002   0.003
   -71.25   -32.75    1951       0       1       0.000       0.000       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.024   0.027
   -71.25   -32.75    1951       0       2       0.000       0.000       0.000       0.022       0.030       0.000       0.000       0.000       0.000       0.000       0.000       0.034   0.086
   -71.25   -32.75    1951       0       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.012   0.012
   -71.25   -32.75    1951       0       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.005   0.005
   -71.25   -32.75    1951     110       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.001
   -71.25   -32.75    1951     110       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.143   0.143
   -71.25   -32.75    1951     131       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.014   0.014
   -71.25   -32.75    1951     131       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     131       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     131       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.077   0.078
   -71.25   -32.75    1951     131       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.004   0.004
   -71.25   -32.75    1951     132       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003   0.003
   -71.25   -32.75    1951     132       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     133       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003   0.003
   -71.25   -32.75    1951     133       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.029   0.029
   -71.25   -32.75    1951     133       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.065   0.065
   -71.25   -32.75    1951     133       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.011   0.011
   -71.25   -32.75    1951     133       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
