      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0       0.000       0.000       0.020       0.000       0.000       0.780       0.000       0.000       0.000       0.000       0.000       0.000   0.801
   -71.25   -32.75    1950       0       1       0.000       0.000       0.000       0.001       0.000       0.973       0.000       0.000       0.000       0.000       0.000       0.004   0.978
   -71.25   -32.75    1950       0       2       0.000       0.000       0.180       0.005       0.006       0.701       0.000       0.000       0.000       0.000       0.000       0.007   0.899
   -71.25   -32.75    1950       0       3       0.000       0.000       0.115       0.000       0.000       0.434       0.000       0.000       0.000       0.000       0.000       0.001   0.551
   -71.25   -32.75    1950       0       4       0.000       0.000       0.010       0.000       0.000       0.638       0.000       0.000       0.000       0.000       0.000       0.000   0.649
   -71.25   -32.75    1950     110       0       0.000       0.000       0.040       0.000       0.000       0.060       1.164       0.000       0.000       0.000       0.000       0.000   1.263
   -71.25   -32.75    1950     110       1       0.000       0.000       0.102       0.000       0.000       0.094       1.081       0.000       0.000       0.000       0.000       0.000   1.277
   -71.25   -32.75    1950     110       2       0.000       0.000       0.114       0.000       0.000       0.085       1.288       0.000       0.000       0.000       0.000       0.000   1.487
   -71.25   -32.75    1950     110       3       0.000       0.000       0.179       0.000       0.000       0.372       0.000       0.000       0.000       0.000       0.000       0.000   0.551
   -71.25   -32.75    1950     110       4       0.000       0.000       0.917       0.000       0.000       0.697       0.000       0.000       0.000       0.000       0.000       0.025   1.639
   -71.25   -32.75    1950     131       0       0.000       0.000       0.055       0.000       0.000       0.000       0.775       0.000       0.000       0.000       0.000       0.003   0.834
   -71.25   -32.75    1950     131       1       0.000       0.000       0.033       0.000       0.000       0.664       0.317       0.000       0.000       0.000       0.000       0.000   1.015
   -71.25   -32.75    1950     131       2       0.000       0.000       0.074       0.000       0.000       0.109       0.649       0.000       0.000       0.000       0.000       0.000   0.833
   -71.25   -32.75    1950     131       3       0.000       0.000       0.046       0.000       0.000       0.788       0.140       0.000       0.000       0.000       0.000       0.029   1.003
   -71.25   -32.75    1950     131       4       0.014       0.002       0.109       0.000       0.000       0.132       0.986       0.000       0.000       0.000       0.000       0.002   1.246
   -71.25   -32.75    1950     132       0       0.000       0.000       0.032       0.000       0.000       0.108       1.508       0.000       0.000       0.000       0.000       0.002   1.651
   -71.25   -32.75    1950     132       1       0.000       0.000       0.164       0.000       0.000       0.386       0.199       0.000       0.000       0.000       0.000       0.000   0.750
   -71.25   -32.75    1950     132       2       0.000       0.000       0.054       0.000       0.000       0.874       0.459       0.000       0.000       0.000       0.000       0.000   1.387
   -71.25   -32.75    1950     132       3       0.000       0.000       0.397       0.000       0.000       0.181       0.845       0.000       0.000       0.000       0.000       0.000   1.423
   -71.25   -32.75    1950     132       4       0.000       0.000       0.404       0.000       0.000       0.754       0.000       0.000       0.000       0.000       0.000       0.000   1.159
   -71.25   -32.75    1950     133       0       0.000       0.000       0.118       0.000       0.000       0.064       1.336       0.000       0.000       0.000       0.000       0.001   1.520
   -71.25   -32.75    1950     133       1       0.000       0.000       0.038       0.000       0.000       1.110       0.000       0.000       0.000       0.000       0.000       0.007   1.155
   -71.25   -32.75    1950     133       2       0.000       0.000       0.000       0.000       0.000       0.000       0.060       0.000       0.000       0.000       0.000       0.003   0.063
   -71.25   -32.75    1950     133       3       0.000       0.000       0.050       0.000       0.000       0.396       0.646       0.000       0.000       0.000       0.000       0.005   1.097
   -71.25   -32.75    1950     133       4       0.000       0.000       0.078       0.000       0.000       0.200       0.955       0.000       0.000       0.000       0.000       0.000   1.233
   -71.25   -32.75    1950     134       0       0.000       0.000       0.032       0.000       0.000       0.062       1.303       0.000       0.000       0.000       0.000       0.000   1.397
   -71.25   -32.75    1950     134       1       0.000       0.000       0.262       0.000       0.000       0.534       0.000       0.000       0.000       0.000       0.000       0.078   0.873
   -71.25   -32.75    1950     134       2       0.000       0.000       0.252       0.000       0.000       0.000       1.297       0.000       0.000       0.000       0.000       0.009   1.557
