      Lon      Lat    Year   Stand   Patch    VegC LitterC   SoilC     Total
   -71.25   -32.75    1950       0       0   0.003   0.290  10.376    10.668
   -71.25   -32.75    1950       0       1   0.017   0.331  10.305    10.653
   -71.25   -32.75    1950       0       2   0.171   0.233  10.385    10.789
   -71.25   -32.75    1950       0       3   0.173   0.303  10.220    10.696
   -71.25   -32.75    1950       0       4   0.175   0.235  10.338    10.748
   -71.25   -32.75    1950     110       0   0.175   0.604   7.224     8.003
   -71.25   -32.75    1950     110       1   0.175   0.540   7.110     7.825
   -71.25   -32.75    1950     110       2   0.175   0.314   7.325     7.814
   -71.25   -32.75    1950     110       3   0.175   0.744   7.073     7.992
   -71.25   -32.75    1950     110       4   0.230   0.301   6.683     7.215
   -71.25   -32.75    1950     131       0   0.235   0.342   7.199     7.776
   -71.25   -32.75    1950     131       1   0.235   0.639   7.203     8.078
   -71.25   -32.75    1950     131       2   0.236   0.422   7.546     8.204
   -71.25   -32.75    1950     131       3   0.266   0.243   6.939     7.449
   -71.25   -32.75    1950     131       4   0.285   0.378   7.096     7.759
   -71.25   -32.75    1950     132       0   0.286   0.447   7.006     7.738
   -71.25   -32.75    1950     132       1   0.286   0.898   7.083     8.268
   -71.25   -32.75    1950     132       2   0.286   0.203   6.785     7.275
   -71.25   -32.75    1950     132       3   0.286   0.761   7.147     8.194
   -71.25   -32.75    1950     132       4   0.286   0.496   7.049     7.831
   -71.25   -32.75    1950     133       0   0.287   0.315   7.323     7.925
   -71.25   -32.75    1950     133       1   0.298   0.384   6.902     7.584
   -71.25   -32.75    1950     133       2   0.315   0.163   6.633     7.111
   -71.25   -32.75    1950     133       3   0.319   0.249   7.006     7.574
   -71.25   -32.75    1950     133       4   0.319   0.299   7.071     7.689
   -71.25   -32.75    1950     134       0   0.319   0.455   7.264     8.039
   -71.25   -32.75    1950     134       1   0.479   0.306   6.869     7.653
   -71.25   -32.75    1950     134       2   0.485   0.551   7.267     8.304
   -71.25   -32.75    1950     134       3   0.486   0.468   7.094     8.047
   -71.25   -32.75    1950     134       4   0.486   0.346   7.182     8.013
   -71.25   -32.75    1950     140       0   0.497   0.331   7.057     7.885
   -71.25   -32.75    1950     140       1   0.833   0.199   6.845     7.876
   -71.25   -32.75    1950     140       2   0.833   0.241   6.837     7.910
   -71.25   -32.75    1950     140       3   0.833   0.248   6.886     7.966
   -71.25   -32.75    1950     140       4   0.833   0.430   6.891     8.155
   -71.25   -32.75    1950     160       0   0.833   0.324   6.777     7.934
   -71.25   -32.75    1950     160       1   0.851   0.933   6.698     8.481
   -71.25   -32.75    1950     160       2   0.851   0.388   6.909     8.148
   -71.25   -32.75    1950     160       3   1.112   0.274   6.715     8.101
   -71.25   -32.75    1950     160       4   1.112   0.440   6.554     8.107
   -71.25   -32.75    1951       0       0   0.005   0.704  10.434    11.143
   -71.25   -32.75    1951       0       1   0.025   0.908  10.369    11.302
   -71.25   -32.75    1951       0       2   0.217   0.780  10.432    11.429
   -71.25   -32.75    1951       0       3   0.228   0.618  10.223    11.069
   -71.25   -32.75    1951       0       4   0.232   0.592  10.368    11.193
   -71.25   -32.75    1951     110       0   0.232   1.236   7.298     8.767
   -71.25   -32.75    1951     110       1   0.232   1.129   7.211     8.572
   -71.25   -32.75    1951     110       2   0.232   1.095   7.424     8.751
   -71.25   -32.75    1951     110       3   0.234   0.987   7.070     8.291
   -71.25   -32.75    1951     110       4   0.375   1.570   6.731     8.676
   -71.25   -32.75    1951     131       0   0.389   0.687   7.229     8.305
   -71.25   -32.75    1951     131       1   0.389   1.142   7.260     8.791
   -71.25   -32.75    1951     131       2   0.389   0.655   7.616     8.660
   -71.25   -32.75    1951     131       3   0.467   0.677   7.034     8.177
   -71.25   -32.75    1951     131       4   0.488   0.990   7.193     8.671
   -71.25   -32.75    1951     132       0   0.491   1.450   7.102     9.043
   -71.25   -32.75    1951     132       1   0.491   1.249   7.111     8.851
   -71.25   -32.75    1951     132       2   0.491   1.114   6.855     8.459
   -71.25   -32.75    1951     132       3   0.491   1.667   7.201     9.358
   -71.25   -32.75    1951     132       4   0.491   1.222   7.099     8.812
   -71.25   -32.75    1951     133       0   0.493   1.150   7.422     9.065
   -71.25   -32.75    1951     133       1   0.522   1.063   6.971     8.556
   -71.25   -32.75    1951     133       2   0.584   0.194   6.606     7.385
   -71.25   -32.75    1951     133       3   0.595   0.719   7.101     8.415
   -71.25   -32.75    1951     133       4   0.595   0.911   7.167     8.672
   -71.25   -32.75    1951     134       0   0.596   1.188   7.360     9.144
   -71.25   -32.75    1951     134       1   0.894   0.847   6.898     8.638
   -71.25   -32.75    1951     134       2   0.914   1.509   7.346     9.769
   -71.25   -32.75    1951     134       3   0.914   0.862   7.164     8.941
   -71.25   -32.75    1951     134       4   0.914   1.178   7.264     9.356
   -71.25   -32.75    1951     140       0   0.942   1.114   7.168     9.224
   -71.25   -32.75    1951     140       1   1.146   1.373   6.882     9.401
   -71.25   -32.75    1951     140       2   1.146   0.952   6.900     8.998
   -71.25   -32.75    1951     140       3   1.146   1.110   6.986     9.242
   -71.25   -32.75    1951     140       4   1.147   0.684   6.970     8.801
   -71.25   -32.75    1951     160       0   1.147   1.202   6.843     9.192
   -71.25   -32.75    1951     160       1   1.193   1.138   6.753     9.084
   -71.25   -32.75    1951     160       2   1.265   1.124   7.021     9.410
   -71.25   -32.75    1951     160       3   1.638   0.843   6.768     9.248
   -71.25   -32.75    1951     160       4   1.638   0.850   6.539     9.027
   -71.25   -32.75    1952       0       0   0.011   0.524  10.399    10.935
   -71.25   -32.75    1952       0       1   0.065   0.713  10.343    11.121
   -71.25   -32.75    1952       0       2   0.357   0.633  10.402    11.392
   -71.25   -32.75    1952       0       3   0.401   0.493  10.193    11.086
   -71.25   -32.75    1952       0       4   0.419   0.440  10.334    11.193
   -71.25   -32.75    1952     110       0   0.419   0.935   7.250     8.604
   -71.25   -32.75    1952     110       1   0.419   0.853   7.147     8.420
   -71.25   -32.75    1952     110       2   0.419   0.820   7.352     8.591
   -71.25   -32.75    1952     110       3   0.424   0.814   7.030     8.268
   -71.25   -32.75    1952     110       4   0.718   1.290   6.732     8.740
   -71.25   -32.75    1952     131       0   0.765   0.482   7.172     8.419
   -71.25   -32.75    1952     131       1   0.765   0.897   7.214     8.877
   -71.25   -32.75    1952     131       2   0.767   0.452   7.536     8.755
   -71.25   -32.75    1952     131       3   0.964   0.440   6.994     8.398
   -71.25   -32.75    1952     131       4   0.995   0.742   7.136     8.872
   -71.25   -32.75    1952     132       0   1.005   1.137   7.063     9.206
   -71.25   -32.75    1952     132       1   1.005   1.040   7.070     9.115
   -71.25   -32.75    1952     132       2   1.005   0.894   6.817     8.717
   -71.25   -32.75    1952     132       3   1.005   1.379   7.166     9.550
   -71.25   -32.75    1952     132       4   1.007   0.988   7.066     9.061
   -71.25   -32.75    1952     133       0   1.017   0.858   7.367     9.241
   -71.25   -32.75    1952     133       1   1.105   0.844   6.934     8.884
   -71.25   -32.75    1952     133       2   1.280   0.177   6.581     8.038
   -71.25   -32.75    1952     133       3   1.318   0.484   7.039     8.841
   -71.25   -32.75    1952     133       4   1.319   0.650   7.113     9.081
   -71.25   -32.75    1952     134       0   1.321   0.890   7.311     9.522
   -71.25   -32.75    1952     134       1   1.734   0.674   6.895     9.303
   -71.25   -32.75    1952     134       2   1.799   1.179   7.317    10.296
   -71.25   -32.75    1952     134       3   1.801   0.650   7.100     9.550
   -71.25   -32.75    1952     134       4   1.801   0.869   7.226     9.896
   -71.25   -32.75    1952     140       0   1.884   0.825   7.111     9.820
   -71.25   -32.75    1952     140       1   2.210   1.218   6.940    10.368
   -71.25   -32.75    1952     140       2   2.211   0.731   6.872     9.813
   -71.25   -32.75    1952     140       3   2.211   0.837   6.938     9.986
   -71.25   -32.75    1952     140       4   2.214   0.480   6.901     9.594
   -71.25   -32.75    1952     160       0   2.215   0.929   6.809     9.953
   -71.25   -32.75    1952     160       1   2.344   0.883   6.719     9.946
   -71.25   -32.75    1952     160       2   2.436   0.837   6.963    10.236
   -71.25   -32.75    1952     160       3   2.886   0.642   6.773    10.302
   -71.25   -32.75    1952     160       4   2.887   0.742   6.512    10.141
   -71.25   -32.75    1953       0       0   0.037   0.433  10.363    10.833
   -71.25   -32.75    1953       0       1   0.189   0.594  10.314    11.097
   -71.25   -32.75    1953       0       2   0.638   0.510  10.376    11.523
   -71.25   -32.75    1953       0       3   0.773   0.412  10.163    11.348
   -71.25   -32.75    1953       0       4   0.841   0.359  10.298    11.499
   -71.25   -32.75    1953     110       0   0.841   0.753   7.203     8.797
   -71.25   -32.75    1953     110       1   0.841   0.702   7.091     8.635
   -71.25   -32.75    1953     110       2   0.841   0.671   7.289     8.802
   -71.25   -32.75    1953     110       3   0.861   0.699   6.988     8.548
   -71.25   -32.75    1953     110       4   1.058   0.877   6.743     8.677
   -71.25   -32.75    1953     131       0   1.203   0.365   7.120     8.688
   -71.25   -32.75    1953     131       1   1.205   0.750   7.169     9.124
   -71.25   -32.75    1953     131       2   1.210   0.352   7.467     9.029
   -71.25   -32.75    1953     131       3   1.383   0.284   6.965     8.632
   -71.25   -32.75    1953     131       4   1.434   0.606   7.088     9.128
   -71.25   -32.75    1953     132       0   1.472   0.944   7.030     9.446
   -71.25   -32.75    1953     132       1   1.472   0.900   7.028     9.401
   -71.25   -32.75    1953     132       2   1.474   0.764   6.782     9.020
   -71.25   -32.75    1953     132       3   1.476   1.186   7.130     9.792
   -71.25   -32.75    1953     132       4   1.481   0.838   7.032     9.351
   -71.25   -32.75    1953     133       0   1.519   0.691   7.320     9.529
   -71.25   -32.75    1953     133       1   1.637   0.662   6.904     9.204
   -71.25   -32.75    1953     133       2   1.971   0.145   6.565     8.682
   -71.25   -32.75    1953     133       3   2.095   0.360   6.988     9.443
   -71.25   -32.75    1953     133       4   2.097   0.508   7.065     9.669
   -71.25   -32.75    1953     134       0   2.107   0.716   7.266    10.090
   -71.25   -32.75    1953     134       1   2.532   0.475   6.913     9.920
   -71.25   -32.75    1953     134       2   2.719   0.919   7.291    10.929
   -71.25   -32.75    1953     134       3   2.726   0.533   7.045    10.303
   -71.25   -32.75    1953     134       4   2.726   0.682   7.188    10.595
   -71.25   -32.75    1953     140       0   2.947   0.622   7.068    10.637
   -71.25   -32.75    1953     140       1   3.144   0.823   6.922    10.890
   -71.25   -32.75    1953     140       2   3.147   0.596   6.842    10.585
   -71.25   -32.75    1953     140       3   3.147   0.682   6.896    10.726
   -71.25   -32.75    1953     140       4   3.158   0.379   6.841    10.378
   -71.25   -32.75    1953     160       0   3.161   0.755   6.776    10.692
   -71.25   -32.75    1953     160       1   3.440   0.662   6.690    10.792
   -71.25   -32.75    1953     160       2   3.665   0.677   6.943    11.284
   -71.25   -32.75    1953     160       3   4.083   0.446   6.795    11.324
   -71.25   -32.75    1953     160       4   4.084   0.660   6.483    11.227
   -71.25   -32.75    1954       0       0   0.106   0.373  10.330    10.808
   -71.25   -32.75    1954       0       1   0.410   0.512  10.291    11.213
   -71.25   -32.75    1954       0       2   0.960   0.454  10.359    11.774
   -71.25   -32.75    1954       0       3   1.234   0.358  10.139    11.731
   -71.25   -32.75    1954       0       4   1.410   0.305  10.266    11.981
   -71.25   -32.75    1954     110       0   2.660   0.621   7.150    10.431
   -71.25   -32.75    1954     110       1   2.660   0.598   7.033    10.292
   -71.25   -32.75    1954     110       2   2.660   0.570   7.225    10.455
   -71.25   -32.75    1954     110       3   2.725   0.615   6.946    10.286
   -71.25   -32.75    1954     110       4   2.888   0.842   6.802    10.532
   -71.25   -32.75    1954     131       0   3.186   0.296   7.072    10.554
   -71.25   -32.75    1954     131       1   3.193   0.646   7.120    10.958
   -71.25   -32.75    1954     131       2   3.212   0.290   7.399    10.901
   -71.25   -32.75    1954     131       3   3.495   0.283   6.980    10.759
   -71.25   -32.75    1954     131       4   3.640   0.530   7.041    11.211
   -71.25   -32.75    1954     132       0   3.751   0.803   6.994    11.547
   -71.25   -32.75    1954     132       1   3.759   0.797   6.983    11.538
   -71.25   -32.75    1954     132       2   3.763   0.672   6.745    11.180
   -71.25   -32.75    1954     132       3   3.770   1.041   7.089    11.900
   -71.25   -32.75    1954     132       4   3.789   0.728   6.994    11.511
   -71.25   -32.75    1954     133       0   3.902   0.575   7.272    11.748
   -71.25   -32.75    1954     133       1   4.027   0.611   6.900    11.537
   -71.25   -32.75    1954     133       2   4.460   0.155   6.566    11.181
   -71.25   -32.75    1954     133       3   4.725   0.284   6.941    11.951
   -71.25   -32.75    1954     133       4   4.731   0.412   7.014    12.157
   -71.25   -32.75    1954     134       0   4.773   0.596   7.219    12.588
   -71.25   -32.75    1954     134       1   4.997   0.436   6.937    12.370
   -71.25   -32.75    1954     134       2   5.332   0.752   7.265    13.349
   -71.25   -32.75    1954     134       3   5.364   0.454   6.990    12.808
   -71.25   -32.75    1954     134       4   5.364   0.549   7.144    13.057
   -71.25   -32.75    1954     140       0   5.767   0.512   7.030    13.309
   -71.25   -32.75    1954     140       1   6.052   0.774   6.966    13.792
   -71.25   -32.75    1954     140       2   6.066   0.500   6.810    13.376
   -71.25   -32.75    1954     140       3   6.068   0.575   6.851    13.494
   -71.25   -32.75    1954     140       4   6.105   0.316   6.783    13.204
   -71.25   -32.75    1954     160       0   6.113   0.628   6.738    13.479
   -71.25   -32.75    1954     160       1   6.497   0.563   6.667    13.728
   -71.25   -32.75    1954     160       2   6.862   0.560   6.903    14.325
   -71.25   -32.75    1954     160       3   7.288   0.397   6.812    14.498
   -71.25   -32.75    1954     160       4   7.290   0.595   6.453    14.338
   -71.25   -32.75    1955       0       0   0.294   0.330  10.300    10.924
   -71.25   -32.75    1955       0       1   0.813   0.457  10.282    11.552
   -71.25   -32.75    1955       0       2   1.526   0.422  10.361    12.309
   -71.25   -32.75    1955       0       3   2.018   0.331  10.130    12.480
   -71.25   -32.75    1955       0       4   2.404   0.271  10.243    12.918
   -71.25   -32.75    1955     110       0   2.640   0.466   7.103    10.209
   -71.25   -32.75    1955     110       1   2.643   0.521   6.973    10.136
   -71.25   -32.75    1955     110       2   2.643   0.495   7.159    10.296
   -71.25   -32.75    1955     110       3   2.846   0.548   6.906    10.300
   -71.25   -32.75    1955     110       4   3.199   0.760   6.826    10.785
   -71.25   -32.75    1955     131       0   3.724   0.253   7.043    11.019
   -71.25   -32.75    1955     131       1   3.754   0.567   7.069    11.390
   -71.25   -32.75    1955     131       2   3.834   0.248   7.334    11.415
   -71.25   -32.75    1955     131       3   4.275   0.226   6.949    11.450
   -71.25   -32.75    1955     131       4   4.620   0.455   7.001    12.077
   -71.25   -32.75    1955     132       0   4.900   0.689   6.960    12.549
   -71.25   -32.75    1955     132       1   4.928   0.714   6.936    12.577
   -71.25   -32.75    1955     132       2   4.943   0.599   6.707    12.249
   -71.25   -32.75    1955     132       3   4.961   0.925   7.044    12.931
   -71.25   -32.75    1955     132       4   5.043   0.643   6.955    12.641
   -71.25   -32.75    1955     133       0   5.328   0.485   7.229    13.041
   -71.25   -32.75    1955     133       1   5.472   0.568   6.897    12.937
   -71.25   -32.75    1955     133       2   5.975   0.175   6.595    12.745
   -71.25   -32.75    1955     133       3   6.445   0.238   6.910    13.593
   -71.25   -32.75    1955     133       4   6.469   0.343   6.962    13.774
   -71.25   -32.75    1955     134       0   6.614   0.507   7.172    14.293
   -71.25   -32.75    1955     134       1   6.794   0.446   7.004    14.244
   -71.25   -32.75    1955     134       2   7.314   0.616   7.255    15.185
