      Lon      Lat    Year   Stand   Patch     Total
   -71.25   -32.75    1950       0       0     1.575
   -71.25   -32.75    1950       0       1     1.680
   -71.25   -32.75    1950       0       2     1.512
   -71.25   -32.75    1950       0       3     3.298
   -71.25   -32.75    1950       0       4     2.660
   -71.25   -32.75    1950     110       0     0.042
   -71.25   -32.75    1950     110       1     0.035
   -71.25   -32.75    1950     110       2     0.035
   -71.25   -32.75    1950     110       3     0.038
   -71.25   -32.75    1950     110       4     0.132
   -71.25   -32.75    1950     131       0     0.049
   -71.25   -32.75    1950     131       1     0.033
   -71.25   -32.75    1950     131       2     0.038
   -71.25   -32.75    1950     131       3     0.211
   -71.25   -32.75    1950     131       4     0.033
   -71.25   -32.75    1950     132       0     0.037
   -71.25   -32.75    1950     132       1     0.029
   -71.25   -32.75    1950     132       2     0.029
   -71.25   -32.75    1950     132       3     0.034
   -71.25   -32.75    1950     132       4     0.031
   -71.25   -32.75    1950     133       0     0.036
   -71.25   -32.75    1950     133       1     0.028
   -71.25   -32.75    1950     133       2     1.816
   -71.25   -32.75    1950     133       3     0.035
   -71.25   -32.75    1950     133       4     0.032
   -71.25   -32.75    1950     134       0     0.037
   -71.25   -32.75    1950     134       1     4.727
   -71.25   -32.75    1950     134       2     0.055
   -71.25   -32.75    1950     134       3     0.036
   -71.25   -32.75    1950     134       4     0.045
   -71.25   -32.75    1950     140       0     0.035
   -71.25   -32.75    1950     140       1     0.031
   -71.25   -32.75    1950     140       2     0.363
   -71.25   -32.75    1950     140       3     0.030
   -71.25   -32.75    1950     140       4     0.035
   -71.25   -32.75    1950     160       0     0.546
   -71.25   -32.75    1950     160       1     0.071
   -71.25   -32.75    1950     160       2     0.047
   -71.25   -32.75    1950     160       3     6.401
   -71.25   -32.75    1950     160       4     0.373
   -71.25   -32.75    1951       0       0     6.079
   -71.25   -32.75    1951       0       1     6.266
   -71.25   -32.75    1951       0       2     1.639
   -71.25   -32.75    1951       0       3     6.167
   -71.25   -32.75    1951       0       4     5.631
   -71.25   -32.75    1951     110       0     0.147
   -71.25   -32.75    1951     110       1     0.086
   -71.25   -32.75    1951     110       2     0.069
   -71.25   -32.75    1951     110       3     0.167
   -71.25   -32.75    1951     110       4     0.221
   -71.25   -32.75    1951     131       0     0.146
   -71.25   -32.75    1951     131       1     0.117
   -71.25   -32.75    1951     131       2     0.072
   -71.25   -32.75    1951     131       3     0.215
   -71.25   -32.75    1951     131       4     0.058
   -71.25   -32.75    1951     132       0     0.154
   -71.25   -32.75    1951     132       1     0.125
   -71.25   -32.75    1951     132       2     0.072
   -71.25   -32.75    1951     132       3     0.120
   -71.25   -32.75    1951     132       4     0.120
   -71.25   -32.75    1951     133       0     0.105
   -71.25   -32.75    1951     133       1     0.070
   -71.25   -32.75    1951     133       2     1.593
   -71.25   -32.75    1951     133       3     0.097
   -71.25   -32.75    1951     133       4     0.109
   -71.25   -32.75    1951     134       0     0.121
   -71.25   -32.75    1951     134       1     5.132
   -71.25   -32.75    1951     134       2     0.200
   -71.25   -32.75    1951     134       3     0.114
   -71.25   -32.75    1951     134       4     0.193
   -71.25   -32.75    1951     140       0     0.130
   -71.25   -32.75    1951     140       1     0.189
   -71.25   -32.75    1951     140       2     0.927
   -71.25   -32.75    1951     140       3     0.122
   -71.25   -32.75    1951     140       4     0.066
   -71.25   -32.75    1951     160       0     1.490
   -71.25   -32.75    1951     160       1     0.341
   -71.25   -32.75    1951     160       2     0.127
   -71.25   -32.75    1951     160       3     8.964
   -71.25   -32.75    1951     160       4     0.519
   -71.25   -32.75    1952       0       0     6.376
   -71.25   -32.75    1952       0       1     5.723
   -71.25   -32.75    1952       0       2     4.532
   -71.25   -32.75    1952       0       3     3.977
   -71.25   -32.75    1952       0       4     5.177
   -71.25   -32.75    1952     110       0     0.407
   -71.25   -32.75    1952     110       1     0.328
   -71.25   -32.75    1952     110       2     0.302
   -71.25   -32.75    1952     110       3     0.318
   -71.25   -32.75    1952     110       4     0.301
   -71.25   -32.75    1952     131       0     0.332
   -71.25   -32.75    1952     131       1     0.305
   -71.25   -32.75    1952     131       2     0.286
   -71.25   -32.75    1952     131       3     0.441
   -71.25   -32.75    1952     131       4     0.253
   -71.25   -32.75    1952     132       0     0.415
   -71.25   -32.75    1952     132       1     0.331
   -71.25   -32.75    1952     132       2     0.264
   -71.25   -32.75    1952     132       3     0.339
   -71.25   -32.75    1952     132       4     0.331
   -71.25   -32.75    1952     133       0     0.330
   -71.25   -32.75    1952     133       1     0.244
   -71.25   -32.75    1952     133       2     1.340
   -71.25   -32.75    1952     133       3     0.334
   -71.25   -32.75    1952     133       4     0.338
   -71.25   -32.75    1952     134       0     0.383
   -71.25   -32.75    1952     134       1     4.773
   -71.25   -32.75    1952     134       2     0.457
   -71.25   -32.75    1952     134       3     0.353
   -71.25   -32.75    1952     134       4     0.476
   -71.25   -32.75    1952     140       0     0.531
   -71.25   -32.75    1952     140       1     0.819
   -71.25   -32.75    1952     140       2     0.695
   -71.25   -32.75    1952     140       3     0.511
   -71.25   -32.75    1952     140       4     0.389
   -71.25   -32.75    1952     160       0     5.761
   -71.25   -32.75    1952     160       1     0.575
   -71.25   -32.75    1952     160       2     0.590
   -71.25   -32.75    1952     160       3     9.025
   -71.25   -32.75    1952     160       4     2.334
   -71.25   -32.75    1953       0       0     1.572
   -71.25   -32.75    1953       0       1     1.301
   -71.25   -32.75    1953       0       2     0.061
   -71.25   -32.75    1953       0       3     1.000
   -71.25   -32.75    1953       0       4     1.347
   -71.25   -32.75    1953     110       0     0.160
   -71.25   -32.75    1953     110       1     0.159
   -71.25   -32.75    1953     110       2     0.154
   -71.25   -32.75    1953     110       3     0.109
   -71.25   -32.75    1953     110       4     0.050
   -71.25   -32.75    1953     131       0     0.083
   -71.25   -32.75    1953     131       1     0.143
   -71.25   -32.75    1953     131       2     0.152
   -71.25   -32.75    1953     131       3     0.089
   -71.25   -32.75    1953     131       4     0.132
   -71.25   -32.75    1953     132       0     0.141
   -71.25   -32.75    1953     132       1     0.118
   -71.25   -32.75    1953     132       2     0.127
   -71.25   -32.75    1953     132       3     0.131
   -71.25   -32.75    1953     132       4     0.117
   -71.25   -32.75    1953     133       0     0.164
   -71.25   -32.75    1953     133       1     0.057
   -71.25   -32.75    1953     133       2     0.022
   -71.25   -32.75    1953     133       3     0.079
   -71.25   -32.75    1953     133       4     0.161
   -71.25   -32.75    1953     134       0     0.161
   -71.25   -32.75    1953     134       1     0.074
   -71.25   -32.75    1953     134       2     0.068
   -71.25   -32.75    1953     134       3     0.154
   -71.25   -32.75    1953     134       4     0.147
   -71.25   -32.75    1953     140       0     0.082
   -71.25   -32.75    1953     140       1     0.126
   -71.25   -32.75    1953     140       2     0.615
   -71.25   -32.75    1953     140       3     0.176
   -71.25   -32.75    1953     140       4     0.151
   -71.25   -32.75    1953     160       0     2.261
   -71.25   -32.75    1953     160       1     0.397
   -71.25   -32.75    1953     160       2     0.118
   -71.25   -32.75    1953     160       3     1.594
   -71.25   -32.75    1953     160       4     1.222
   -71.25   -32.75    1954       0       0     3.189
   -71.25   -32.75    1954       0       1     2.960
   -71.25   -32.75    1954       0       2     2.701
   -71.25   -32.75    1954       0       3     2.573
   -71.25   -32.75    1954       0       4     2.861
   -71.25   -32.75    1954     110       0     1.429
   -71.25   -32.75    1954     110       1     0.372
   -71.25   -32.75    1954     110       2     0.400
   -71.25   -32.75    1954     110       3     0.265
   -71.25   -32.75    1954     110       4     0.591
   -71.25   -32.75    1954     131       0     0.269
   -71.25   -32.75    1954     131       1     0.255
   -71.25   -32.75    1954     131       2     0.314
   -71.25   -32.75    1954     131       3     0.422
   -71.25   -32.75    1954     131       4     0.274
   -71.25   -32.75    1954     132       0     0.329
