      Lon      Lat    Year   Stand   Patch  FireRT
   -71.25   -32.75    1950       0       0    12.4
   -71.25   -32.75    1950       0       1    18.8
   -71.25   -32.75    1950       0       2  1000.0
   -71.25   -32.75    1950       0       3    57.6
   -71.25   -32.75    1950       0       4  1000.0
   -71.25   -32.75    1950     110       0    16.9
   -71.25   -32.75    1950     110       1     7.2
   -71.25   -32.75    1950     110       2     6.5
   -71.25   -32.75    1950     110       3    58.3
   -71.25   -32.75    1950     110       4    22.4
   -71.25   -32.75    1950     131       0    10.8
   -71.25   -32.75    1950     131       1    19.2
   -71.25   -32.75    1950     131       2     7.0
   -71.25   -32.75    1950     131       3     8.3
   -71.25   -32.75    1950     131       4     6.6
   -71.25   -32.75    1950     132       0    24.7
   -71.25   -32.75    1950     132       1    29.4
   -71.25   -32.75    1950     132       2    10.6
   -71.25   -32.75    1950     132       3    21.0
   -71.25   -32.75    1950     132       4    27.4
   -71.25   -32.75    1950     133       0     8.3
   -71.25   -32.75    1950     133       1     9.6
   -71.25   -32.75    1950     133       2  1000.0
   -71.25   -32.75    1950     133       3     8.6
   -71.25   -32.75    1950     133       4    11.6
   -71.25   -32.75    1950     134       0    10.6
   -71.25   -32.75    1950     134       1     9.9
   -71.25   -32.75    1950     134       2    26.6
   -71.25   -32.75    1950     134       3     8.7
   -71.25   -32.75    1950     134       4    29.6
   -71.25   -32.75    1950     140       0     7.3
   -71.25   -32.75    1950     140       1  1000.0
   -71.25   -32.75    1950     140       2    50.7
   -71.25   -32.75    1950     140       3     7.7
   -71.25   -32.75    1950     140       4     6.7
   -71.25   -32.75    1950     160       0    56.7
   -71.25   -32.75    1950     160       1    17.5
   -71.25   -32.75    1950     160       2     6.5
   -71.25   -32.75    1950     160       3     5.5
   -71.25   -32.75    1950     160       4    90.7
   -71.25   -32.75    1951       0       0    63.4
   -71.25   -32.75    1951       0       1    48.5
   -71.25   -32.75    1951       0       2    28.9
   -71.25   -32.75    1951       0       3    63.5
   -71.25   -32.75    1951       0       4    62.1
   -71.25   -32.75    1951     110       0    60.9
   -71.25   -32.75    1951     110       1    61.0
   -71.25   -32.75    1951     110       2    60.9
   -71.25   -32.75    1951     110       3    70.1
   -71.25   -32.75    1951     110       4    15.4
   -71.25   -32.75    1951     131       0    50.2
   -71.25   -32.75    1951     131       1    60.1
   -71.25   -32.75    1951     131       2    60.5
   -71.25   -32.75    1951     131       3    25.3
   -71.25   -32.75    1951     131       4    57.3
   -71.25   -32.75    1951     132       0    59.1
   -71.25   -32.75    1951     132       1    61.2
   -71.25   -32.75    1951     132       2    61.2
   -71.25   -32.75    1951     132       3    61.2
   -71.25   -32.75    1951     132       4    61.0
   -71.25   -32.75    1951     133       0    58.2
   -71.25   -32.75    1951     133       1    42.0
   -71.25   -32.75    1951     133       2  1000.0
   -71.25   -32.75    1951     133       3    52.1
   -71.25   -32.75    1951     133       4    60.3
   -71.25   -32.75    1951     134       0    60.5
   -71.25   -32.75    1951     134       1     8.5
   -71.25   -32.75    1951     134       2    46.8
   -71.25   -32.75    1951     134       3    60.7
   -71.25   -32.75    1951     134       4    61.0
   -71.25   -32.75    1951     140       0    42.4
   -71.25   -32.75    1951     140       1     6.1
   -71.25   -32.75    1951     140       2    63.2
   -71.25   -32.75    1951     140       3    60.9
   -71.25   -32.75    1951     140       4    60.9
   -71.25   -32.75    1951     160       0    68.0
   -71.25   -32.75    1951     160       1    33.4
   -71.25   -32.75    1951     160       2    64.5
   -71.25   -32.75    1951     160       3     6.9
   -71.25   -32.75    1951     160       4    90.4
   -71.25   -32.75    1952       0       0    79.0
   -71.25   -32.75    1952       0       1    42.2
   -71.25   -32.75    1952       0       2    18.2
   -71.25   -32.75    1952       0       3    44.6
   -71.25   -32.75    1952       0       4    67.4
   -71.25   -32.75    1952     110       0    81.2
   -71.25   -32.75    1952     110       1    81.2
   -71.25   -32.75    1952     110       2    81.2
   -71.25   -32.75    1952     110       3    75.7
   -71.25   -32.75    1952     110       4     7.5
   -71.25   -32.75    1952     131       0    37.5
   -71.25   -32.75    1952     131       1    79.6
   -71.25   -32.75    1952     131       2    79.4
   -71.25   -32.75    1952     131       3    12.2
   -71.25   -32.75    1952     131       4    63.3
   -71.25   -32.75    1952     132       0    69.2
   -71.25   -32.75    1952     132       1    81.7
   -71.25   -32.75    1952     132       2    81.7
   -71.25   -32.75    1952     132       3    81.7
   -71.25   -32.75    1952     132       4    80.3
   -71.25   -32.75    1952     133       0    68.1
   -71.25   -32.75    1952     133       1    25.6
   -71.25   -32.75    1952     133       2  1000.0
   -71.25   -32.75    1952     133       3    41.7
   -71.25   -32.75    1952     133       4    80.0
   -71.25   -32.75    1952     134       0    78.5
   -71.25   -32.75    1952     134       1     5.2
   -71.25   -32.75    1952     134       2    31.5
   -71.25   -32.75    1952     134       3    79.5
   -71.25   -32.75    1952     134       4    81.3
   -71.25   -32.75    1952     140       0    26.7
   -71.25   -32.75    1952     140       1     6.4
   -71.25   -32.75    1952     140       2    80.5
   -71.25   -32.75    1952     140       3    81.1
   -71.25   -32.75    1952     140       4    78.7
   -71.25   -32.75    1952     160       0    81.6
   -71.25   -32.75    1952     160       1    18.3
   -71.25   -32.75    1952     160       2    13.5
   -71.25   -32.75    1952     160       3     4.7
