      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0       0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.002
   -71.25   -32.75    1950       0       1       0.000       0.000       0.000       0.002       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.017   0.019
   -71.25   -32.75    1950       0       2       0.000       0.000       0.000       0.018       0.026       0.000       0.000       0.000       0.000       0.000       0.000       0.028   0.073
   -71.25   -32.75    1950       0       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.007   0.007
   -71.25   -32.75    1950       0       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003   0.003
   -71.25   -32.75    1950     110       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     110       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     110       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     110       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.001
   -71.25   -32.75    1950     110       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.125   0.125
   -71.25   -32.75    1950     131       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.011   0.011
   -71.25   -32.75    1950     131       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     131       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     131       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.065   0.065
   -71.25   -32.75    1950     131       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003   0.003
   -71.25   -32.75    1950     132       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.002   0.002
   -71.25   -32.75    1950     132       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     132       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     132       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     132       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     133       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.002   0.002
   -71.25   -32.75    1950     133       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.023   0.023
   -71.25   -32.75    1950     133       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.047   0.047
   -71.25   -32.75    1950     133       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.009   0.009
   -71.25   -32.75    1950     133       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     134       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     134       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.309   0.309
   -71.25   -32.75    1950     134       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.016   0.016
   -71.25   -32.75    1950     134       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     134       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     140       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.023   0.023
   -71.25   -32.75    1950     140       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.483   0.483
   -71.25   -32.75    1950     140       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     140       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     140       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.001
   -71.25   -32.75    1950     160       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     160       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.039   0.039
   -71.25   -32.75    1950     160       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1950     160       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.427   0.427
   -71.25   -32.75    1950     160       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951       0       0       0.000       0.000       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000       0.004   0.006
   -71.25   -32.75    1951       0       1       0.000       0.000       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.031   0.035
   -71.25   -32.75    1951       0       2       0.001       0.000       0.000       0.028       0.041       0.000       0.000       0.000       0.000       0.000       0.000       0.086   0.155
   -71.25   -32.75    1951       0       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.032   0.032
   -71.25   -32.75    1951       0       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.012   0.012
   -71.25   -32.75    1951     110       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     110       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003   0.003
   -71.25   -32.75    1951     110       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.307   0.307
   -71.25   -32.75    1951     131       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.036   0.036
   -71.25   -32.75    1951     131       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     131       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.001
   -71.25   -32.75    1951     131       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.185   0.185
   -71.25   -32.75    1951     131       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.010   0.010
   -71.25   -32.75    1951     132       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.007   0.007
   -71.25   -32.75    1951     132       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       2       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       3       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   0.000
   -71.25   -32.75    1951     132       4       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.001   0.001
   -71.25   -32.75    1951     133       0       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.007   0.007
   -71.25   -32.75    1951     133       1       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.074   0.074
