      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.710   2.186  15.288  11.447   8.202   8.645  12.844  31.514  47.823  44.928  26.210
   -71.25   -32.75    1950       0       1   0.000   0.510   1.604  15.168   9.237   7.139   7.423  10.926  25.257  36.422  35.575  22.263
   -71.25   -32.75    1950       0       2   0.000   0.829   2.615  15.565  14.163  10.700   8.820  13.497  35.094  58.156  47.640  31.387
   -71.25   -32.75    1950       0       3   0.000   0.224   0.697   8.067   7.059   3.339   3.463   5.069  11.142  15.731  15.393  15.643
   -71.25   -32.75    1950       0       4  13.176  12.124   8.508  13.093   7.931   5.259   5.550   8.110  18.435  26.566  26.054  21.371
   -71.25   -32.75    1950     110       0   0.000   0.216   1.152  15.036  10.311  10.483  11.935  15.918  30.286  36.681  35.281  11.200
   -71.25   -32.75    1950     110       1   0.000   0.186   2.022  15.783  17.108  15.920  18.389  24.735  49.471  58.273  38.833  10.735
   -71.25   -32.75    1950     110       2   0.000   0.132   2.232  16.512  17.091  18.014  21.025  28.344  58.037  66.060  42.019   7.837
   -71.25   -32.75    1950     110       3   0.600   0.205   0.626   7.149   6.927   4.399   4.837   6.496  11.830  14.103  13.621  13.902
   -71.25   -32.75    1950     110       4   8.317   7.746   9.035  21.496  12.210   8.530   9.076  12.595  22.827  25.583  24.252  14.295
   -71.25   -32.75    1950     131       0   0.000   0.716   1.358  15.464  13.012  13.146  14.639  19.665  37.686  45.953  38.916   4.585
   -71.25   -32.75    1950     131       1   0.000   0.442   1.435  14.648   9.974  10.226  11.444  15.103  28.068  33.225  31.997  20.614
   -71.25   -32.75    1950     131       2   0.000   0.289   2.220  16.479  16.850  17.669  20.172  26.857  52.877  60.029  40.770  14.136
   -71.25   -32.75    1950     131       3  18.056  16.876  22.065  34.654  24.442  15.432  17.178  23.215  43.935  47.016  37.940  20.056
   -71.25   -32.75    1950     131       4   0.000   0.190   2.278  15.811  17.924  18.787  21.480  28.716  56.970  63.894  41.332  11.425
   -71.25   -32.75    1950     132       0   2.999   3.813   8.786  13.844   8.463   8.375   9.431  12.464  23.416  28.004  26.964  16.133
   -71.25   -32.75    1950     132       1   8.231   0.348   1.108  12.447   9.005   7.430   8.290  11.167  20.899  25.405  24.504  20.258
   -71.25   -32.75    1950     132       2   0.000   0.624   2.034  15.562  13.402  12.514  14.001  19.057  37.223  47.044  41.911  23.367
   -71.25   -32.75    1950     132       3   0.000   0.299   1.263  14.832   9.343   9.379  10.424  14.061  26.559  32.501  31.305  18.490
   -71.25   -32.75    1950     132       4   6.337   0.389   1.188  13.067   9.051   7.741   8.668  11.683  21.931  26.690  25.738  20.703
   -71.25   -32.75    1950     133       0   0.000   0.132   1.674  15.830  14.897  14.834  17.021  22.522  43.513  51.551  38.553   8.272
   -71.25   -32.75    1950     133       1   0.000   0.644   2.016  15.003  13.920  13.354  14.903  20.052  38.352  46.175  40.193  23.767
   -71.25   -32.75    1950     133       2   1.994   1.592   2.034   2.351   1.753   1.009   1.039   1.453   2.471   2.653   2.535   2.444
   -71.25   -32.75    1950     133       3   0.000   0.361   1.833  15.276  14.650  14.353  16.392  21.746  41.808  49.802  39.523  15.176
   -71.25   -32.75    1950     133       4   0.000   0.196   1.478  15.136  12.533  12.715  14.565  19.179  36.491  43.538  39.871   9.619
   -71.25   -32.75    1950     134       0   0.000   0.247   1.450  15.392  12.876  12.582  14.464  19.364  37.690  46.314  39.501   6.544
   -71.25   -32.75    1950     134       1   3.986   3.713   4.886  21.091  13.205  12.196  12.575  18.067  32.343  30.716  25.005   5.393
   -71.25   -32.75    1950     134       2   2.664   3.320   9.959  21.685  13.611   8.062   8.899  11.863  21.723  25.140  24.116  15.565
   -71.25   -32.75    1950     134       3   0.000   0.240   1.618  15.650  14.331  13.758  15.793  21.240  41.793  51.929  38.000   6.983
   -71.25   -32.75    1950     134       4   1.232   2.227  10.567  21.899  14.066   7.688   8.653  11.403  21.161  25.146  24.256  15.938
   -71.25   -32.75    1950     140       0   0.000   0.227   1.943  16.039  17.077  15.670  18.224  24.601  49.650  60.252  39.251   7.949
   -71.25   -32.75    1950     140       1   7.326   0.673   1.944  15.929  17.967  24.145  25.048  36.639  65.002  31.761  25.941   9.280
   -71.25   -32.75    1950     140       2   8.506   7.922   9.017  14.960   9.960   5.492   6.110   8.072  14.563  17.222  16.613  16.823
   -71.25   -32.75    1950     140       3   0.000   0.204   1.909  15.568  15.944  15.084  17.364  23.381  46.199  55.914  39.689  10.956
   -71.25   -32.75    1950     140       4   0.000   0.418   2.525  15.791  16.880  17.659  20.301  27.536  55.475  64.149  44.691  16.816
   -71.25   -32.75    1950     160       0   1.556   2.062   7.336  13.299   8.795   4.891   5.434   7.167  12.943  15.417  14.903  15.295
