      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.000   0.015   0.994   0.756  21.952  28.385  35.080  27.836   6.585   1.475   0.003
   -71.25   -32.75    1950       0       1   0.000   0.000   0.018   1.432   0.994  24.778  31.449  38.366  29.800   8.428   3.672   0.019
   -71.25   -32.75    1950       0       2   0.000   0.000   0.013   0.649   0.522  18.438  26.599  33.027  26.083   4.802   0.209   0.003
   -71.25   -32.75    1950       0       3   0.000   0.000   0.023   3.300   2.472  31.328  36.374  44.283  35.669  14.691  11.174   1.926
   -71.25   -32.75    1950       0       4   0.000   0.000   0.020   2.160   1.338  27.691  33.741  41.201  32.812  11.440   7.175   0.371
   -71.25   -32.75    1950     110       0   0.000   0.000   0.026   1.683   1.147  27.784  34.565  40.970  28.841   7.476   3.374   0.017
   -71.25   -32.75    1950     110       1   0.000   0.000   0.022   0.755   0.562  20.317  27.395  32.754  22.183   3.222   0.183   0.006
   -71.25   -32.75    1950     110       2   0.000   0.000   0.023   0.544   0.568  17.546  23.873  28.710  19.269   2.286   0.084   0.006
   -71.25   -32.75    1950     110       3   0.000   0.000   0.026   3.776   3.037  36.049  40.925  48.511  36.265  14.677  11.660   2.175
   -71.25   -32.75    1950     110       4   0.000   0.000   0.024   2.121   1.624  31.110  37.429  43.402  30.017   8.438   4.892   0.110
   -71.25   -32.75    1950     131       0   0.000   0.000   0.027   1.337   0.933  26.023  33.227  39.092  26.680   5.302   1.239   0.008
   -71.25   -32.75    1950     131       1   0.000   0.000   0.021   1.842   1.199  30.034  36.817  43.189  30.058   8.355   4.449   0.055
   -71.25   -32.75    1950     131       2   0.000   0.000   0.021   0.703   0.617  20.539  27.456  32.529  21.374   2.881   0.155   0.005
   -71.25   -32.75    1950     131       3   0.000   0.000   0.017   0.875   0.912  24.495  31.272  35.729  22.373   3.268   0.374   0.004
   -71.25   -32.75    1950     131       4   0.000   0.000   0.022   0.607   0.592  19.056  25.727  30.516  19.919   2.422   0.107   0.006
   -71.25   -32.75    1950     132       0   0.000   0.000   0.027   2.131   1.413  29.889  36.293  42.918  30.641   9.513   5.752   0.188
   -71.25   -32.75    1950     132       1   0.000   0.000   0.022   2.410   1.439  30.872  37.236  44.357  32.599  10.910   7.264   0.393
   -71.25   -32.75    1950     132       2   0.000   0.000   0.017   1.125   0.755  24.291  31.389  37.628  26.741   5.495   1.255   0.004
   -71.25   -32.75    1950     132       3   0.000   0.000   0.023   1.891   1.236  28.736  35.298  42.079  30.441   8.807   4.807   0.077
   -71.25   -32.75    1950     132       4   0.000   0.000   0.021   2.269   1.363  30.420  36.870  43.924  32.173  10.498   6.784   0.305
   -71.25   -32.75    1950     133       0   0.000   0.000   0.025   1.025   0.742  23.691  31.021  36.506  24.209   4.045   0.456   0.007
   -71.25   -32.75    1950     133       1   0.000   0.000   0.017   1.133   0.747  25.437  32.923  38.596  26.055   4.930   1.006   0.004
   -71.25   -32.75    1950     133       2   1.158   0.314   0.106   5.898   6.551  42.364  45.342  53.150  39.809  18.451  15.956   5.303
   -71.25   -32.75    1950     133       3   0.000   0.000   0.021   1.036   0.717  24.276  31.693  37.145  24.584   4.212   0.557   0.005
   -71.25   -32.75    1950     133       4   0.000   0.000   0.024   1.330   0.934  26.467  33.608  39.475  26.654   5.656   1.601   0.007
   -71.25   -32.75    1950     134       0   0.000   0.000   0.025   1.223   0.872  24.697  31.736  37.743  26.116   5.263   1.170   0.007
   -71.25   -32.75    1950     134       1   0.000   0.000   0.025   1.291   1.143  26.661  34.446  38.223  23.509   3.773   0.962   0.018
   -71.25   -32.75    1950     134       2   0.000   0.000   0.022   2.222   1.683  31.578  37.443  43.891  30.974   9.745   6.176   0.254
   -71.25   -32.75    1950     134       3   0.000   0.000   0.025   1.044   0.748  23.109  30.202  36.022  24.831   4.337   0.503   0.007
   -71.25   -32.75    1950     134       4   0.000   0.000   0.021   2.326   1.734  31.921  37.516  44.293  31.794  10.571   6.983   0.371
   -71.25   -32.75    1950     140       0   0.000   0.000   0.023   0.666   0.513  18.022  25.120  29.678  21.080   3.168   0.153   0.007
   -71.25   -32.75    1950     140       1   0.000   0.000   0.019   0.314   0.432  13.723  22.677  21.556   9.518   0.532   0.052   0.010
   -71.25   -32.75    1950     140       2   0.000   0.000   0.024   3.310   3.001  35.222  39.899  47.172  34.747  13.406  10.245   1.476
   -71.25   -32.75    1950     140       3   0.000   0.000   0.023   0.862   0.616  21.425  28.605  34.195  23.362   3.682   0.277   0.006
   -71.25   -32.75    1950     140       4   0.000   0.000   0.019   0.565   0.526  18.286  24.834  29.870  20.248   2.567   0.107   0.005
   -71.25   -32.75    1950     160       0   0.000   0.000   0.024   3.484   3.353  35.134  39.584  47.054  35.092  13.986  10.863   1.833
   -71.25   -32.75    1950     160       1   0.000   0.000   0.023   1.541   1.042  25.767  32.592  38.938  28.837   7.633   3.333   0.015
   -71.25   -32.75    1950     160       2   0.000   0.000   0.022   0.515   0.544  16.801  22.948  27.866  19.092   2.278   0.078   0.006
   -71.25   -32.75    1950     160       3   0.000   0.000   0.019   0.347   0.467  14.460  23.125  22.673  10.704   0.624   0.061   0.014
   -71.25   -32.75    1950     160       4   0.226   0.001   0.029   5.215   5.971  39.290  42.509  50.808  39.355  18.226  15.556   4.903
   -71.25   -32.75    1951       0       0   0.000   0.034   0.168   1.490   5.472  27.986  41.664  42.785  39.725  32.577   9.191   3.090
   -71.25   -32.75    1951       0       1   0.000   0.020   0.068   0.946   4.435  26.704  41.207  42.020  38.728  31.174   8.011   2.104
   -71.25   -32.75    1951       0       2   0.000   0.008   0.029   0.490   2.830  23.738  40.631  41.672  37.882  28.541   5.591   0.569
   -71.25   -32.75    1951       0       3   0.146   0.157   0.262   1.496   5.295  27.673  41.498  42.464  39.322  32.067   8.773   2.730
   -71.25   -32.75    1951       0       4   0.000   0.032   0.154   1.433   5.381  27.886  41.614  42.684  39.604  32.448   9.092   3.005
   -71.25   -32.75    1951     110       0   0.000   0.038   0.202   1.711   6.163  30.632  46.345  44.172  40.876  32.448   8.886   3.007
   -71.25   -32.75    1951     110       1   0.000   0.038   0.202   1.710   6.163  30.631  46.345  44.172  40.876  32.448   8.886   3.007
   -71.25   -32.75    1951     110       2   0.000   0.038   0.202   1.710   6.163  30.632  46.345  44.172  40.876  32.448   8.886   3.007
   -71.25   -32.75    1951     110       3   0.266   0.305   0.518   2.112   6.431  30.734  46.321  44.125  40.815  32.373   8.825   2.953
   -71.25   -32.75    1951     110       4   0.000   0.012   0.025   0.349   1.567  21.865  41.085  37.221  32.060  21.934   2.139   0.193
   -71.25   -32.75    1951     131       0   0.000   0.030   0.118   1.310   5.530  30.536  47.353  43.799  40.191  31.356   8.021   2.310
   -71.25   -32.75    1951     131       1   0.000   0.038   0.205   1.750   6.347  31.453  47.829  44.438  41.008  32.338   8.796   2.972
   -71.25   -32.75    1951     131       2   0.000   0.038   0.204   1.743   6.335  31.440  47.823  44.429  40.996  32.325   8.785   2.962
   -71.25   -32.75    1951     131       3   0.000   0.021   0.059   0.556   3.003  26.410  44.990  40.661  36.194  26.640   4.657   0.521
   -71.25   -32.75    1951     131       4   0.000   0.037   0.175   1.610   6.101  31.179  47.681  44.243  40.760  32.050   8.572   2.777
   -71.25   -32.75    1951     132       0   0.000   0.036   0.176   1.590   5.913  30.084  45.595  43.933  40.666  32.304   8.770   2.886
   -71.25   -32.75    1951     132       1   0.000   0.038   0.200   1.691   6.078  30.259  45.683  44.051  40.817  32.493   8.923   3.021
   -71.25   -32.75    1951     132       2   0.000   0.038   0.200   1.691   6.077  30.259  45.683  44.050  40.817  32.493   8.923   3.020
   -71.25   -32.75    1951     132       3   0.000   0.038   0.200   1.691   6.077  30.259  45.683  44.050  40.817  32.493   8.923   3.020
   -71.25   -32.75    1951     132       4   0.000   0.038   0.198   1.680   6.059  30.240  45.673  44.038  40.800  32.472   8.906   3.006
   -71.25   -32.75    1951     133       0   0.000   0.037   0.183   1.650   6.167  31.202  47.600  44.294  40.846  32.166   8.658   2.846
   -71.25   -32.75    1951     133       1   0.000   0.029   0.104   1.034   4.792  29.484  46.677  43.053  39.261  30.265   7.187   1.654
   -71.25   -32.75    1951     133       2   1.094   0.069   0.056   0.616   3.598  27.671  45.667  41.740  37.590  28.236   5.701   0.785
   -71.25   -32.75    1951     133       3   0.000   0.032   0.125   1.365   5.647  30.622  47.302  43.894  40.335  31.550   8.172   2.432
   -71.25   -32.75    1951     133       4   0.000   0.038   0.205   1.747   6.330  31.375  47.689  44.413  40.999  32.350   8.805   2.975
   -71.25   -32.75    1951     134       0   0.000   0.038   0.196   1.682   6.102  30.495  46.154  44.115  40.829  32.416   8.859   2.979
   -71.25   -32.75    1951     134       1   0.000   0.004   0.012   0.168   0.908  14.790  33.623  27.668  20.501  10.224   0.020   0.002
   -71.25   -32.75    1951     134       2   0.000   0.023   0.093   1.120   5.021  29.225  45.493  43.237  39.705  31.022   7.755   2.053
   -71.25   -32.75    1951     134       3   0.000   0.038   0.198   1.690   6.116  30.509  46.162  44.125  40.842  32.432   8.872   2.990
   -71.25   -32.75    1951     134       4   0.000   0.038   0.202   1.705   6.141  30.536  46.175  44.143  40.865  32.460   8.895   3.010
   -71.25   -32.75    1951     140       0   0.000   0.027   0.095   0.999   4.657  28.725  45.256  42.864  39.226  30.404   7.279   1.691
   -71.25   -32.75    1951     140       1   0.000   0.005   0.009   0.116   0.565   9.194  26.666  19.044  10.792   3.858   0.020   0.027
   -71.25   -32.75    1951     140       2   0.020   0.088   0.286   1.842   6.250  30.614  46.236  44.160  40.888  32.449   8.879   2.999
   -71.25   -32.75    1951     140       3   0.000   0.038   0.202   1.707   6.147  30.564  46.236  44.165  40.895  32.457   8.885   3.005
   -71.25   -32.75    1951     140       4   0.000   0.038   0.196   1.681   6.104  30.518  46.212  44.134  40.855  32.407   8.845   2.970
   -71.25   -32.75    1951     160       0   0.127   0.202   0.426   2.008   6.282  30.195  45.365  44.010  40.833  32.517   8.930   3.020
   -71.25   -32.75    1951     160       1   0.000   0.019   0.067   0.687   3.741  27.003  43.698  41.830  38.031  29.025   6.244   1.025
   -71.25   -32.75    1951     160       2   0.000   0.036   0.189   1.601   5.780  29.033  43.755  43.283  40.073  32.549   9.184   3.155
   -71.25   -32.75    1951     160       3   0.000   0.003   0.010   0.126   0.664  10.978  28.360  22.167  14.356   5.657   0.020   0.027
   -71.25   -32.75    1951     160       4   1.736   1.013   1.055   2.587   6.666  30.401  45.380  44.009  40.832  32.515   8.929   3.019
   -71.25   -32.75    1952       0       0   1.453   0.643   0.514   1.452  10.013  17.176  43.184  45.590  53.608  28.734   7.866   2.879
   -71.25   -32.75    1952       0       1   0.532   0.034   0.023   0.465   7.476  15.463  42.753  44.908  51.812  26.604   5.982   1.324
   -71.25   -32.75    1952       0       2   0.030   0.001   0.007   0.223   4.262  11.390  41.950  43.766  48.400  21.137   1.669   0.001
   -71.25   -32.75    1952       0       3   0.831   0.084   0.023   0.476   7.561  15.550  42.737  44.883  51.752  26.635   6.059   1.383
   -71.25   -32.75    1952       0       4   1.273   0.441   0.282   1.058   9.264  16.731  43.055  45.385  53.073  28.154   7.371   2.440
   -71.25   -32.75    1952     110       0   1.544   0.802   0.735   1.903  11.448  19.322  48.713  48.403  56.021  28.512   7.891   3.044
   -71.25   -32.75    1952     110       1   1.544   0.801   0.734   1.902  11.446  19.321  48.713  48.402  56.020  28.511   7.890   3.043
   -71.25   -32.75    1952     110       2   1.544   0.802   0.735   1.903  11.448  19.322  48.713  48.403  56.021  28.512   7.891   3.044
   -71.25   -32.75    1952     110       3   1.446   0.686   0.590   1.678  11.071  19.100  48.604  48.221  55.784  28.250   7.660   2.831
   -71.25   -32.75    1952     110       4   0.224   0.011   0.008   0.136   2.868   7.529  38.338  31.657  34.251   9.553   0.019   0.003
   -71.25   -32.75    1952     131       0   0.691   0.084   0.039   0.520   8.188  17.450  49.136  46.955  53.647  25.438   5.388   1.050
   -71.25   -32.75    1952     131       1   1.526   0.790   0.726   1.923  11.707  19.898  50.419  49.061  56.379  28.328   7.794   2.994
   -71.25   -32.75    1952     131       2   1.509   0.772   0.703   1.887  11.647  19.863  50.402  49.032  56.342  28.288   7.759   2.961
   -71.25   -32.75    1952     131       3   0.224   0.044   0.012   0.211   4.162  11.100  43.872  38.500  42.678  15.287   0.441   0.022
   -71.25   -32.75    1952     131       4   1.223   0.465   0.336   1.277  10.535  19.189  50.067  48.486  55.634  27.534   7.109   2.376
   -71.25   -32.75    1952     132       0   1.324   0.551   0.428   1.398  10.469  18.554  47.710  47.693  55.321  27.993   7.406   2.585
   -71.25   -32.75    1952     132       1   1.549   0.802   0.733   1.885  11.316  19.056  47.953  48.098  55.852  28.583   7.925   3.058
   -71.25   -32.75    1952     132       2   1.548   0.802   0.732   1.884  11.314  19.055  47.952  48.097  55.851  28.582   7.924   3.057
   -71.25   -32.75    1952     132       3   1.548   0.802   0.732   1.885  11.315  19.055  47.952  48.098  55.851  28.582   7.924   3.057
   -71.25   -32.75    1952     132       4   1.523   0.772   0.695   1.828  11.222  19.001  47.926  48.053  55.793  28.517   7.866   3.004
   -71.25   -32.75    1952     133       0   1.315   0.555   0.438   1.453  10.862  19.353  50.017  48.604  55.833  27.788   7.318   2.557
   -71.25   -32.75    1952     133       1   0.427   0.072   0.026   0.400   6.514  15.476  47.655  44.743  50.818  22.625   3.365   0.298
   -71.25   -32.75    1952     133       2   0.189   0.031   0.012   0.237   4.510  12.032  44.679  40.000  44.666  16.909   0.779   0.031
