      Lon      Lat    Year   Stand   Patch       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
   -71.25   -32.75    1950       0       0     0.000     0.001     0.001     0.001     0.001     0.002     0.000     0.000     0.001     0.001     0.002     0.001
   -71.25   -32.75    1950       0       1     0.001     0.002     0.003     0.013     0.010     0.015     0.007     0.007     0.013     0.014     0.015     0.003
   -71.25   -32.75    1950       0       2     0.024     0.042     0.043     0.053     0.054     0.062     0.012     0.013     0.025     0.052     0.056     0.042
   -71.25   -32.75    1950       0       3     0.000     0.000     0.000     0.003     0.003     0.003     0.002     0.002     0.003     0.003     0.003     0.003
   -71.25   -32.75    1950       0       4     0.000     0.000     0.000     0.002     0.001     0.002     0.001     0.001     0.002     0.002     0.002     0.001
   -71.25   -32.75    1950     110       0     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       4     0.000     0.000     0.002     0.077     0.052     0.077     0.060     0.077     0.077     0.077     0.077     0.012
   -71.25   -32.75    1950     131       0     0.000     0.000     0.000     0.007     0.005     0.009     0.007     0.009     0.009     0.009     0.008     0.000
   -71.25   -32.75    1950     131       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       2     0.000     0.000     0.000     0.000     0.000     0.001     0.001     0.001     0.001     0.001     0.000     0.000
   -71.25   -32.75    1950     131       3     0.000     0.000     0.003     0.052     0.051     0.087     0.068     0.087     0.087     0.076     0.058     0.000
   -71.25   -32.75    1950     131       4     0.001     0.001     0.001     0.003     0.004     0.006     0.005     0.006     0.006     0.005     0.004     0.001
   -71.25   -32.75    1950     132       0     0.000     0.000     0.000     0.006     0.004     0.006     0.004     0.006     0.006     0.006     0.006     0.001
   -71.25   -32.75    1950     132       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     133       0     0.000     0.000     0.000     0.003     0.002     0.004     0.003     0.004     0.004     0.004     0.003     0.000
   -71.25   -32.75    1950     133       1     0.000     0.000     0.001     0.014     0.012     0.021     0.017     0.021     0.021     0.021     0.017     0.000
   -71.25   -32.75    1950     133       2     0.010     0.008     0.012     0.012     0.012     0.012     0.010     0.012     0.012     0.012     0.012     0.012
   -71.25   -32.75    1950     133       3     0.000     0.000     0.000     0.009     0.009     0.015     0.012     0.015     0.015     0.014     0.010     0.000
   -71.25   -32.75    1950     133       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     134       0     0.000     0.000     0.000     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.000
   -71.25   -32.75    1950     134       1     0.000     0.000     0.007     0.164     0.130     0.223     0.174     0.223     0.223     0.216     0.186     0.000
   -71.25   -32.75    1950     134       2     0.000     0.000     0.001     0.027     0.022     0.027     0.021     0.027     0.027     0.027     0.027     0.005
   -71.25   -32.75    1950     134       3     0.000     0.000     0.000     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.000
   -71.25   -32.75    1950     134       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     140       0     0.000     0.000     0.002     0.033     0.036     0.062     0.049     0.062     0.062     0.056     0.035     0.000
   -71.25   -32.75    1950     140       1     0.000     0.000     0.016     0.180     0.238     0.492     0.388     0.492     0.492     0.222     0.213     0.000
   -71.25   -32.75    1950     140       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     140       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     140       4     0.000     0.000     0.000     0.001     0.001     0.002     0.002     0.002     0.002     0.002     0.001     0.000
   -71.25   -32.75    1950     160       0     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     160       1     0.000     0.000     0.001     0.029     0.021     0.035     0.028     0.035     0.035     0.035     0.035     0.001
   -71.25   -32.75    1950     160       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     160       3     0.000     0.000     0.015     0.176     0.263     0.479     0.381     0.479     0.479     0.232     0.224     0.000
   -71.25   -32.75    1950     160       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951       0       0     0.001     0.002     0.002     0.002     0.002     0.002     0.001     0.001     0.001     0.002     0.002     0.002
   -71.25   -32.75    1951       0       1     0.002     0.014     0.014     0.019     0.019     0.019     0.010     0.015     0.017     0.019     0.019     0.019
   -71.25   -32.75    1951       0       2     0.045     0.049     0.057     0.067     0.073     0.073     0.022     0.025     0.035     0.064     0.073     0.062
   -71.25   -32.75    1951       0       3     0.002     0.007     0.007     0.007     0.007     0.007     0.004     0.007     0.007     0.007     0.007     0.007
   -71.25   -32.75    1951       0       4     0.000     0.002     0.003     0.003     0.003     0.003     0.002     0.003     0.003     0.003     0.003     0.003
   -71.25   -32.75    1951     110       0     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     110       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     110       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     110       3     0.000     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001     0.001
   -71.25   -32.75    1951     110       4     0.000     0.018     0.036     0.083     0.125     0.125     0.102     0.125     0.125     0.125     0.100     0.000
   -71.25   -32.75    1951     131       0     0.000     0.006     0.008     0.011     0.011     0.011     0.009     0.011     0.011     0.011     0.011     0.011
   -71.25   -32.75    1951     131       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     131       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     131       3     0.000     0.012     0.029     0.052     0.065     0.065     0.053     0.065     0.065     0.065     0.065     0.017
   -71.25   -32.75    1951     131       4     0.000     0.002     0.003     0.003     0.003     0.003     0.003     0.003     0.003     0.003     0.003     0.003
   -71.25   -32.75    1951     132       0     0.000     0.001     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002
   -71.25   -32.75    1951     132       1     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     132       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     132       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     132       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     133       0     0.000     0.001     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002     0.002
   -71.25   -32.75    1951     133       1     0.000     0.007     0.013     0.023     0.023     0.023     0.019     0.023     0.023     0.023     0.023     0.023
   -71.25   -32.75    1951     133       2     0.047     0.040     0.024     0.047     0.047     0.047     0.038     0.047     0.047     0.047     0.047     0.032
   -71.25   -32.75    1951     133       3     0.000     0.005     0.008     0.009     0.009     0.009     0.007     0.009     0.009     0.009     0.009     0.009
   -71.25   -32.75    1951     133       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     134       0     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     134       1     0.000     0.022     0.040     0.103     0.220     0.309     0.253     0.309     0.309     0.309     0.052     0.000
   -71.25   -32.75    1951     134       2     0.000     0.009     0.011     0.016     0.016     0.016     0.013     0.016     0.016     0.016     0.016     0.016
   -71.25   -32.75    1951     134       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     134       4     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     140       0     0.000     0.007     0.014     0.023     0.023     0.023     0.019     0.023     0.023     0.023     0.023     0.023
   -71.25   -32.75    1951     140       1     0.000     0.034     0.047     0.113     0.311     0.483     0.397     0.483     0.483     0.405     0.000     0.000
   -71.25   -32.75    1951     140       2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     140       3     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
   -71.25   -32.75    1951     140       4     0.000     0.000     0.001     0.001     0.001     0.001     0.000     0.001     0.001     0.001     0.001     0.001
