      Lon      Lat    Year   Stand       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
   -71.25   -32.75    1950       0   445.587   378.223   371.959   276.843   162.871    42.198    26.099    35.828   105.124   202.109   281.469   383.050
   -71.25   -32.75    1950     110   529.586   454.094   455.959   358.132   246.870   123.488   110.099   119.828   186.414   286.109   362.759   467.050
   -71.25   -32.75    1950     131   530.482   454.903   456.855   359.000   247.766   124.355   110.995   120.724   187.281   287.005   363.627   467.946
   -71.25   -32.75    1950     132   529.939   454.412   456.311   358.474   247.223   123.829   110.451   120.180   186.755   286.461   363.100   467.402
   -71.25   -32.75    1950     133   530.692   455.093   457.064   359.203   247.976   124.558   111.204   120.934   187.484   287.215   363.829   468.156
   -71.25   -32.75    1950     134   530.143   454.597   456.515   358.671   247.427   124.026   110.655   120.385   186.953   286.666   363.298   467.607
   -71.25   -32.75    1950     140   533.545   457.670   459.918   361.964   250.829   127.319   114.058   123.787   190.245   290.068   366.591   471.009
   -71.25   -32.75    1950     160   536.701   460.520   463.073   365.017   253.985   130.373   117.213   126.942   193.299   293.223   369.644   474.164
   -71.25   -32.75    1951       0   435.057   381.021   380.751   269.832   150.575    57.473    46.221    63.690    87.880   212.958   314.042   397.882
   -71.25   -32.75    1951     110   519.057   456.891   464.751   351.121   234.575   138.763   130.221   147.690   169.170   296.958   395.332   481.882
   -71.25   -32.75    1951     131   519.953   457.701   465.647   351.989   235.471   139.630   131.117   148.586   170.038   297.854   396.199   482.778
   -71.25   -32.75    1951     132   519.409   457.210   465.103   351.463   234.927   139.104   130.573   148.043   169.511   297.311   395.673   482.234
   -71.25   -32.75    1951     133   520.162   457.890   465.857   352.192   235.680   139.833   131.327   148.796   170.240   298.064   396.402   482.988
   -71.25   -32.75    1951     134   519.613   457.394   465.308   351.660   235.131   139.302   130.778   148.247   169.709   297.515   395.871   482.439
   -71.25   -32.75    1951     140   523.016   460.467   468.710   354.953   238.534   142.594   134.180   151.649   173.002   300.917   399.163   485.841
   -71.25   -32.75    1951     160   526.171   463.317   471.865   358.006   241.689   145.648   137.335   154.805   176.055   304.072   402.217   488.996
   -71.25   -32.75    1952       0   427.330   378.134   389.078   264.929   174.999    48.438     8.004    34.386    69.343   215.757   295.924   384.510
   -71.25   -32.75    1952     110   511.330   454.005   473.077   346.219   258.999   129.728    89.930   118.386   150.633   299.757   377.214   468.510
   -71.25   -32.75    1952     131   512.226   454.814   473.973   347.087   259.895   130.595    90.827   119.282   151.500   300.653   378.081   469.406
   -71.25   -32.75    1952     132   511.682   454.323   473.430   346.560   259.351   130.069    90.283   118.738   150.974   300.109   377.555   468.862
   -71.25   -32.75    1952     133   512.436   455.003   474.183   347.289   260.104   130.798    91.036   119.492   151.703   300.862   378.284   469.615
   -71.25   -32.75    1952     134   511.887   454.507   473.634   346.758   259.555   130.266    90.487   118.943   151.172   300.313   377.753   469.066
   -71.25   -32.75    1952     140   515.289   457.580   477.036   350.051   262.958   133.559    93.889   122.345   154.464   303.716   381.045   472.469
   -71.25   -32.75    1952     160   518.444   460.430   480.192   353.104   266.113   136.612    97.045   125.500   157.518   306.871   384.099   475.624
   -71.25   -32.75    1953       0   391.888   356.850   379.051   257.459   154.476    91.607    27.386    52.225   121.559   217.179   349.758   418.048
   -71.25   -32.75    1953     110   475.888   432.721   463.051   338.749   238.476   172.897   111.386   136.225   202.849   301.179   431.048   502.047
   -71.25   -32.75    1953     131   476.784   433.530   463.947   339.616   239.372   173.764   112.282   137.121   203.716   302.075   431.915   502.944
   -71.25   -32.75    1953     132   476.240   433.039   463.403   339.090   238.828   173.238   111.739   136.578   203.190   301.531   431.389   502.400
   -71.25   -32.75    1953     133   476.993   433.720   464.157   339.819   239.582   173.967   112.492   137.331   203.919   302.284   432.118   503.153
   -71.25   -32.75    1953     134   476.444   433.224   463.608   339.288   239.033   173.436   111.943   136.782   203.387   301.735   431.586   502.604
   -71.25   -32.75    1953     140   479.847   436.297   467.010   342.581   242.435   176.728   115.345   140.184   206.680   305.138   434.879   506.007
   -71.25   -32.75    1953     160   483.002   439.147   470.165   345.634   245.590   179.782   118.500   143.340   209.734   308.293   437.933   509.162
   -71.25   -32.75    1954       0   476.117   393.946   389.335   259.819   124.477    16.168    17.844    41.804    87.484   299.838   323.167   369.673
   -71.25   -32.75    1954     110   560.116   469.816   473.334   341.109   208.476    95.420   101.843   125.803   168.774   383.838   404.457   453.673
   -71.25   -32.75    1954     131   561.012   470.626   474.231   341.976   209.373    96.287   102.739   126.700   169.642   384.734   405.325   454.569
   -71.25   -32.75    1954     132   560.469   470.135   473.687   341.450   208.829    95.761   102.196   126.156   169.115   384.191   404.799   454.025
   -71.25   -32.75    1954     133   561.222   470.815   474.440   342.179   209.582    96.490   102.949   126.909   169.844   384.944   405.527   454.778
   -71.25   -32.75    1954     134   560.673   470.319   473.891   341.648   209.033    95.959   102.400   126.360   169.313   384.395   404.996   454.229
   -71.25   -32.75    1954     140   564.075   473.392   477.293   344.941   212.436    99.251   105.802   129.762   172.606   387.797   408.289   457.632
   -71.25   -32.75    1954     160   567.231   476.242   480.449   347.994   215.591   102.305   108.958   132.918   175.659   390.952   411.342   460.787
   -71.25   -32.75    1955       0   423.028   399.178   389.413   230.528   139.480    51.230    57.961    61.849   134.069   233.584   341.805   404.561
   -71.25   -32.75    1955     110   507.028   475.048   473.413   311.818   223.479   132.520   141.961   145.848   215.359   317.584   423.095   488.560
   -71.25   -32.75    1955     131   507.924   475.858   474.309   312.685   224.376   133.387   142.857   146.745   216.227   318.480   423.962   489.457
   -71.25   -32.75    1955     132   507.380   475.367   473.765   312.159   223.832   132.861   142.313   146.201   215.701   317.936   423.436   488.913
   -71.25   -32.75    1955     133   508.134   476.047   474.518   312.888   224.585   133.590   143.066   146.954   216.429   318.690   424.165   489.666
   -71.25   -32.75    1955     134   507.585   475.551   473.969   312.357   224.036   133.059   142.517   146.405   215.898   318.141   423.634   489.117
   -71.25   -32.75    1955     140   510.987   478.624   477.372   315.649   227.439   136.351   145.920   149.807   219.191   321.543   426.926   492.520
   -71.25   -32.75    1955     160   514.142   481.474   480.527   318.703   230.594   139.405   149.075   152.963   222.244   324.698   429.980   495.675
   -71.25   -32.75    1956       0   464.013   398.756   426.848   296.547   136.460    74.859    32.118    39.378   107.071   227.459   287.847   370.054
   -71.25   -32.75    1956     110   548.013   474.626   510.848   377.837   220.460   156.149   116.118   123.378   188.361   311.459   369.137   454.053
   -71.25   -32.75    1956     131   548.909   475.436   511.744   378.705   221.356   157.016   117.014   124.274   189.228   312.355   370.005   454.949
   -71.25   -32.75    1956     132   548.365   474.945   511.200   378.178   220.812   156.490   116.470   123.730   188.702   311.812   369.478   454.406
   -71.25   -32.75    1956     133   549.118   475.625   511.954   378.907   221.565   157.219   117.223   124.483   189.431   312.565   370.207   455.159
