      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.001   0.007   0.048   0.044   0.023   0.019   0.028   0.093   0.180   0.155   0.032
   -71.25   -32.75    1950       0       1   0.000   0.000   0.007   0.053   0.048   0.026   0.021   0.031   0.102   0.186   0.147   0.030
   -71.25   -32.75    1950       0       2   0.000   0.001   0.007   0.043   0.045   0.027   0.018   0.026   0.087   0.171   0.128   0.040
   -71.25   -32.75    1950       0       3   0.000   0.000   0.003   0.032   0.042   0.012   0.010   0.015   0.050   0.088   0.067   0.037
   -71.25   -32.75    1950       0       4   0.006   0.011   0.014   0.050   0.042   0.018   0.015   0.023   0.075   0.137   0.110   0.044
   -71.25   -32.75    1950     110       0   0.000   0.000   0.005   0.038   0.072   0.071   0.069   0.092   0.196   0.189   0.116   0.016
   -71.25   -32.75    1950     110       1   0.000   0.000   0.007   0.037   0.082   0.078   0.075   0.101   0.216   0.219   0.118   0.011
   -71.25   -32.75    1950     110       2   0.000   0.001   0.007   0.040   0.072   0.079   0.077   0.103   0.220   0.225   0.123   0.010
   -71.25   -32.75    1950     110       3  -0.000  -0.000   0.002   0.021   0.047   0.030   0.029   0.039   0.082   0.077   0.045   0.024
   -71.25   -32.75    1950     110       4  -0.005  -0.004   0.008   0.119   0.076   0.051   0.048   0.066   0.124   0.099   0.062   0.015
   -71.25   -32.75    1950     131       0   0.000   0.001   0.005   0.036   0.060   0.057   0.055   0.073   0.151   0.175   0.117   0.008
   -71.25   -32.75    1950     131       1   0.000   0.000   0.004   0.034   0.063   0.063   0.061   0.081   0.163   0.150   0.099   0.022
   -71.25   -32.75    1950     131       2   0.000   0.000   0.007   0.036   0.071   0.078   0.076   0.101   0.211   0.204   0.114   0.015
   -71.25   -32.75    1950     131       3   0.001   0.004   0.029   0.141   0.127   0.079   0.075   0.101   0.200   0.192   0.105   0.009
   -71.25   -32.75    1950     131       4   0.000   0.000   0.007   0.035   0.073   0.078   0.075   0.100   0.208   0.207   0.110   0.013
   -71.25   -32.75    1950     132       0  -0.001   0.002   0.002   0.031   0.078   0.080   0.078   0.105   0.221   0.164   0.084   0.020
   -71.25   -32.75    1950     132       1  -0.002  -0.000   0.004   0.034   0.056   0.049   0.048   0.065   0.133   0.128   0.081   0.028
   -71.25   -32.75    1950     132       2   0.000   0.001   0.005   0.036   0.055   0.059   0.057   0.077   0.165   0.147   0.110   0.021
   -71.25   -32.75    1950     132       3   0.000   0.000   0.004   0.035   0.054   0.059   0.057   0.077   0.162   0.131   0.088   0.025
   -71.25   -32.75    1950     132       4  -0.002  -0.000   0.004   0.037   0.060   0.051   0.050   0.067   0.142   0.141   0.087   0.028
   -71.25   -32.75    1950     133       0   0.000   0.000   0.006   0.035   0.083   0.082   0.079   0.106   0.220   0.221   0.120   0.008
   -71.25   -32.75    1950     133       1   0.000   0.000   0.006   0.034   0.067   0.061   0.058   0.078   0.161   0.183   0.116   0.017
   -71.25   -32.75    1950     133       2   0.002   0.002   0.006   0.014   0.013   0.007   0.006   0.009   0.016   0.011   0.006   0.003
   -71.25   -32.75    1950     133       3   0.000   0.000   0.006   0.034   0.084   0.080   0.077   0.102   0.209   0.220   0.120   0.009
   -71.25   -32.75    1950     133       4   0.000  -0.000   0.005   0.034   0.084   0.081   0.078   0.104   0.216   0.213   0.127   0.005
   -71.25   -32.75    1950     134       0   0.000   0.000   0.006   0.038   0.079   0.076   0.074   0.100   0.212   0.217   0.128   0.007
   -71.25   -32.75    1950     134       1  -0.009  -0.007   0.003   0.097   0.069   0.062   0.057   0.083   0.134   0.100   0.052  -0.003
   -71.25   -32.75    1950     134       2   0.001   0.002   0.006   0.181   0.134   0.075   0.072   0.098   0.202   0.137   0.070   0.020
   -71.25   -32.75    1950     134       3   0.000   0.001   0.006   0.038   0.077   0.073   0.071   0.096   0.204   0.224   0.122   0.008
   -71.25   -32.75    1950     134       4  -0.001   0.001   0.012   0.196   0.148   0.077   0.075   0.100   0.211   0.159   0.080   0.021
   -71.25   -32.75    1950     140       0   0.000   0.001   0.007   0.039   0.086   0.082   0.080   0.107   0.225   0.239   0.122   0.010
   -71.25   -32.75    1950     140       1   0.002   0.000   0.004   0.034   0.061   0.094   0.085   0.127   0.201   0.085   0.052   0.008
   -71.25   -32.75    1950     140       2  -0.014  -0.009   0.001   0.148   0.122   0.060   0.059   0.079   0.162   0.108   0.052   0.021
   -71.25   -32.75    1950     140       3   0.000   0.000   0.006   0.038   0.079   0.076   0.074   0.100   0.210   0.219   0.121   0.012
   -71.25   -32.75    1950     140       4   0.000   0.000   0.007   0.036   0.068   0.075   0.073   0.098   0.206   0.206   0.114   0.016
   -71.25   -32.75    1950     160       0   0.001   0.001   0.002   0.172   0.142   0.071   0.069   0.093   0.192   0.102   0.042   0.012
   -71.25   -32.75    1950     160       1   0.000   0.000   0.005   0.040   0.058   0.055   0.054   0.073   0.153   0.167   0.116   0.020
   -71.25   -32.75    1950     160       2   0.000   0.001   0.007   0.041   0.071   0.080   0.078   0.106   0.221   0.226   0.121   0.011
   -71.25   -32.75    1950     160       3  -0.001  -0.001   0.011   0.078   0.103   0.091   0.085   0.125   0.192   0.117   0.057   0.018
   -71.25   -32.75    1950     160       4   0.005   0.000   0.002   0.031   0.027   0.013   0.013   0.018   0.036   0.024   0.014   0.008
   -71.25   -32.75    1951       0       0   0.000   0.000   0.000   0.001   0.001   0.000   0.000   0.000   0.000   0.001   0.000   0.000
   -71.25   -32.75    1951       0       1  -0.000   0.001   0.002   0.005   0.005   0.004   0.002   0.004   0.006   0.008   0.004   0.003
   -71.25   -32.75    1951       0       2   0.000   0.004   0.007   0.018   0.019   0.013   0.004   0.007   0.011   0.027   0.017   0.010
   -71.25   -32.75    1951       0       3   0.000   0.001   0.001   0.002   0.002   0.001   0.001   0.002   0.002   0.003   0.002   0.001
   -71.25   -32.75    1951       0       4   0.000   0.000   0.000   0.001   0.001   0.001   0.000   0.001   0.001   0.001   0.001   0.000
   -71.25   -32.75    1951     110       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       4   0.000   0.001   0.004   0.020   0.029   0.024   0.021   0.037   0.041   0.042   0.014   0.000
   -71.25   -32.75    1951     131       0   0.000   0.000   0.001   0.003   0.003   0.002   0.002   0.003   0.004   0.004   0.002   0.001
   -71.25   -32.75    1951     131       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       3   0.000   0.001   0.004   0.012   0.016   0.013   0.011   0.020   0.022   0.022   0.010   0.002
   -71.25   -32.75    1951     131       4  -0.000   0.000   0.000   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.000
   -71.25   -32.75    1951     132       0   0.000   0.000   0.000   0.001   0.000   0.000   0.000   0.001   0.001   0.001   0.000   0.000
   -71.25   -32.75    1951     132       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     133       0   0.000   0.000   0.000   0.001   0.001   0.000   0.000   0.001   0.001   0.001   0.000   0.000
   -71.25   -32.75    1951     133       1   0.000   0.000   0.002   0.005   0.006   0.005   0.004   0.007   0.008   0.008   0.004   0.002
   -71.25   -32.75    1951     133       2   0.005   0.003   0.003   0.010   0.011   0.009   0.008   0.014   0.016   0.016   0.008   0.003
   -71.25   -32.75    1951     133       3   0.000   0.000   0.001   0.002   0.002   0.002   0.002   0.003   0.003   0.003   0.001   0.001
   -71.25   -32.75    1951     133       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     134       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     134       1   0.000   0.002   0.004   0.021   0.049   0.058   0.052   0.092   0.102   0.095   0.006   0.000
   -71.25   -32.75    1951     134       2   0.000   0.001   0.001   0.004   0.004   0.003   0.003   0.005   0.005   0.006   0.003   0.002
   -71.25   -32.75    1951     134       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     134       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     140       0   0.000   0.001   0.002   0.005   0.005   0.004   0.004   0.007   0.008   0.008   0.004   0.003
   -71.25   -32.75    1951     140       1   0.000   0.002   0.003   0.019   0.066   0.090   0.082   0.142   0.159   0.104   0.000   0.000
   -71.25   -32.75    1951     140       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     140       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     140       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     160       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     160       1   0.000   0.001   0.003   0.009   0.009   0.007   0.006   0.011   0.013   0.013   0.006   0.003
   -71.25   -32.75    1951     160       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     160       3   0.000   0.002   0.004   0.021   0.058   0.077   0.071   0.123   0.138   0.110   0.000   0.000
   -71.25   -32.75    1951     160       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1952       0       0   0.001   0.001   0.001   0.002   0.002   0.001   0.000   0.000   0.001   0.002   0.002   0.001
   -71.25   -32.75    1952       0       1   0.004   0.003   0.002   0.009   0.009   0.007   0.003   0.003   0.010   0.013   0.009   0.005
   -71.25   -32.75    1952       0       2   0.006   0.004   0.009   0.034   0.041   0.028   0.007   0.009   0.028   0.049   0.033   0.004
   -71.25   -32.75    1952       0       3   0.004   0.003   0.002   0.008   0.008   0.006   0.003   0.003   0.010   0.012   0.008   0.005
   -71.25   -32.75    1952       0       4   0.002   0.002   0.002   0.003   0.003   0.002   0.001   0.001   0.004   0.005   0.003   0.002
   -71.25   -32.75    1952     110       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1952     110       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
