      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.002   0.072   0.294   0.519   3.073   1.606   2.680   0.934   0.311   0.238   0.030
   -71.25   -32.75    1950       0       1   0.000   0.003   0.095   0.388   0.686   3.229   1.810   2.989   1.229   0.411   0.314   0.039
   -71.25   -32.75    1950       0       2   0.000   0.001   0.048   0.195   0.344   2.103   0.982   1.703   0.573   0.206   0.157   0.020
   -71.25   -32.75    1950       0       3   0.000   0.001   0.037   0.151   0.267   1.278   0.716   1.185   0.481   0.160   0.122   0.015
   -71.25   -32.75    1950       0       4   0.000   0.002   0.061   0.249   0.440   2.193   1.210   2.026   0.793   0.264   0.201   0.025
   -71.25   -32.75    1950     110       0   0.000   0.000   0.007   0.571   0.562   4.348   2.560   4.135   1.818   0.605   0.462   0.003
   -71.25   -32.75    1950     110       1   0.000   0.000   0.008   0.635   0.626   5.488   3.042   5.056   2.018   0.672   0.513   0.003
   -71.25   -32.75    1950     110       2   0.000   0.000   0.002   0.642   0.013   6.144   3.284   5.567   2.041   0.679   0.519   0.001
   -71.25   -32.75    1950     110       3   0.000   0.001   0.042   0.171   0.302   1.421   0.799   1.313   0.544   0.181   0.138   0.017
   -71.25   -32.75    1950     110       4   0.000   0.002   0.061   0.251   0.306   1.553   0.998   1.727   0.799   0.266   0.203   0.025
   -71.25   -32.75    1950     131       0   0.000   0.000   0.001   0.309   0.295   3.255   1.689   2.837   0.982   0.327   0.250   0.000
   -71.25   -32.75    1950     131       1   0.000   0.002   0.073   0.405   0.577   3.323   1.898   3.237   1.314   0.440   0.336   0.030
   -71.25   -32.75    1950     131       2   0.000   0.000   0.013   0.553   0.097   5.087   2.751   4.631   1.758   0.585   0.447   0.006
   -71.25   -32.75    1950     131       3   0.000   0.003   0.129   0.530   0.934   4.470   2.498   4.126   1.686   0.561   0.429   0.045
   -71.25   -32.75    1950     131       4   0.000   0.000   0.006   0.521   0.041   5.204   2.736   4.603   1.656   0.551   0.421   0.002
   -71.25   -32.75    1950     132       0   0.000   0.000   0.014   0.757   0.443   3.999   2.795   4.824   2.407   0.801   0.612   0.006
   -71.25   -32.75    1950     132       1   0.000   0.002   0.065   0.318   0.494   2.520   1.461   2.443   1.038   0.348   0.266   0.033
   -71.25   -32.75    1950     132       2   0.000   0.002   0.051   0.365   0.443   3.026   1.696   2.951   1.166   0.389   0.297   0.021
   -71.25   -32.75    1950     132       3   0.000   0.001   0.017   0.396   0.315   2.596   1.676   2.768   1.259   0.419   0.320   0.007
   -71.25   -32.75    1950     132       4   0.000   0.003   0.086   0.349   0.617   2.787   1.602   2.614   1.111   0.370   0.282   0.035
   -71.25   -32.75    1950     133       0   0.000   0.000   0.007   0.659   0.644   5.412   3.060   5.012   2.097   0.698   0.533   0.003
   -71.25   -32.75    1950     133       1   0.000   0.003   0.086   0.350   0.618   3.568   1.873   3.128   1.114   0.371   0.283   0.035
   -71.25   -32.75    1950     133       2   0.000   0.000   0.006   0.023   0.037   0.157   0.100   0.158   0.074   0.025   0.019   0.002
   -71.25   -32.75    1950     133       3   0.000   0.002   0.058   0.614   0.775   5.183   2.903   4.792   1.952   0.649   0.496   0.024
   -71.25   -32.75    1950     133       4   0.000   0.001   0.031   0.663   0.729   5.202   3.018   4.902   2.109   0.702   0.536   0.013
   -71.25   -32.75    1950     134       0   0.000   0.000   0.005   0.648   0.627   5.069   2.938   4.770   2.062   0.686   0.524   0.002
   -71.25   -32.75    1950     134       1   0.000   0.002   0.050   0.194   0.215   1.183   0.769   1.410   0.682   0.233   0.179   0.021
   -71.25   -32.75    1950     134       2   0.000   0.000   0.150   0.606   0.651   3.114   2.200   3.844   1.940   0.649   0.496   0.062
   -71.25   -32.75    1950     134       3   0.000   0.000   0.003   0.583   0.560   4.929   2.757   4.560   1.853   0.617   0.471   0.001
   -71.25   -32.75    1950     134       4   0.000   0.000   0.167   0.681   0.867   3.839   2.678   4.420   2.166   0.721   0.550   0.069
   -71.25   -32.75    1950     140       0   0.000   0.000   0.004   0.694   0.666   5.964   3.317   5.508   2.207   0.734   0.561   0.001
   -71.25   -32.75    1950     140       1   0.000   0.001   0.017   0.165   0.124   1.681   0.694   1.490   0.524   0.166   0.114   0.007
   -71.25   -32.75    1950     140       2   0.000   0.003   0.105   0.430   0.526   2.405   1.671   2.799   1.369   0.455   0.348   0.043
   -71.25   -32.75    1950     140       3   0.000   0.000   0.009   0.592   0.587   5.044   2.813   4.658   1.884   0.627   0.479   0.004
   -71.25   -32.75    1950     140       4   0.000   0.001   0.024   0.528   0.175   4.992   2.673   4.532   1.680   0.559   0.427   0.010
   -71.25   -32.75    1950     160       0   0.000   0.000   0.140   0.430   0.454   2.275   1.765   3.175   1.705   0.571   0.463   0.058
   -71.25   -32.75    1950     160       1   0.000   0.001   0.021   0.357   0.406   3.232   1.761   2.949   1.135   0.377   0.288   0.009
   -71.25   -32.75    1950     160       2   0.000   0.000   0.002   0.649   0.017   6.125   3.294   5.604   2.066   0.687   0.525   0.001
   -71.25   -32.75    1950     160       3   0.000   0.002   0.052   0.298   0.351   2.491   1.255   2.338   0.949   0.308   0.223   0.007
   -71.25   -32.75    1950     160       4   0.000   0.001   0.016   0.067   0.082   0.423   0.268   0.466   0.213   0.071   0.054   0.007
   -71.25   -32.75    1951       0       0   0.000   0.000   0.000   0.000   0.001   0.002   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951       0       1   0.000   0.000   0.000   0.001   0.005   0.011   0.001   0.000   0.003   0.001   0.000   0.000
   -71.25   -32.75    1951       0       2   0.000   0.001   0.002   0.008   0.045   0.093   0.009   0.001   0.019   0.011   0.001   0.001
   -71.25   -32.75    1951       0       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951       0       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       4   0.000   0.000   0.000   0.000   0.012   0.024   0.026   0.012   0.027   0.003   0.000   0.000
   -71.25   -32.75    1951     131       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
