      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.001   0.002   0.002   0.003   0.003   0.004   0.001   0.001   0.002   0.003   0.004   0.002
   -71.25   -32.75    1950       0       1   0.005   0.009   0.010   0.030   0.024   0.034   0.014   0.015   0.026   0.032   0.035   0.011
   -71.25   -32.75    1950       0       2   0.065   0.114   0.115   0.137   0.139   0.154   0.024   0.026   0.052   0.126   0.142   0.114
   -71.25   -32.75    1950       0       3   0.000   0.000   0.000   0.006   0.006   0.006   0.003   0.004   0.006   0.006   0.006   0.006
   -71.25   -32.75    1950       0       4   0.000   0.000   0.000   0.003   0.002   0.003   0.002   0.002   0.003   0.003   0.003   0.001
   -71.25   -32.75    1950     110       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     110       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     110       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     110       3   0.000   0.000   0.000   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.000
   -71.25   -32.75    1950     110       4   0.000   0.000   0.005   0.160   0.108   0.160   0.125   0.160   0.160   0.160   0.160   0.026
   -71.25   -32.75    1950     131       0   0.000   0.000   0.001   0.013   0.011   0.019   0.015   0.019   0.019   0.019   0.016   0.000
   -71.25   -32.75    1950     131       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     131       2   0.000   0.000   0.000   0.001   0.001   0.002   0.001   0.002   0.002   0.001   0.001   0.000
   -71.25   -32.75    1950     131       3   0.001   0.001   0.006   0.110   0.106   0.183   0.143   0.183   0.183   0.159   0.122   0.001
   -71.25   -32.75    1950     131       4   0.002   0.002   0.002   0.007   0.008   0.013   0.010   0.013   0.013   0.010   0.007   0.002
   -71.25   -32.75    1950     132       0   0.000   0.000   0.000   0.011   0.007   0.011   0.009   0.011   0.011   0.011   0.011   0.002
   -71.25   -32.75    1950     132       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     132       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     132       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     132       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     133       0   0.000   0.000   0.000   0.005   0.005   0.008   0.006   0.008   0.008   0.008   0.006   0.000
   -71.25   -32.75    1950     133       1   0.000   0.000   0.001   0.029   0.025   0.043   0.034   0.043   0.043   0.043   0.035   0.000
   -71.25   -32.75    1950     133       2   0.019   0.016   0.025   0.025   0.025   0.025   0.020   0.025   0.025   0.025   0.025   0.025
   -71.25   -32.75    1950     133       3   0.000   0.000   0.001   0.019   0.017   0.030   0.023   0.030   0.030   0.029   0.021   0.000
   -71.25   -32.75    1950     133       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     134       0   0.000   0.000   0.000   0.001   0.001   0.002   0.001   0.002   0.002   0.002   0.001   0.000
   -71.25   -32.75    1950     134       1   0.000   0.000   0.016   0.370   0.293   0.505   0.395   0.505   0.505   0.489   0.421   0.000
   -71.25   -32.75    1950     134       2   0.000   0.000   0.002   0.054   0.044   0.054   0.042   0.054   0.054   0.054   0.054   0.010
   -71.25   -32.75    1950     134       3   0.000   0.000   0.000   0.001   0.001   0.002   0.002   0.002   0.002   0.002   0.001   0.000
   -71.25   -32.75    1950     134       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     140       0   0.000   0.000   0.004   0.068   0.074   0.127   0.100   0.127   0.127   0.115   0.072   0.000
   -71.25   -32.75    1950     140       1   0.000   0.000   0.044   0.496   0.655   1.354   1.068   1.354   1.354   0.611   0.587   0.000
   -71.25   -32.75    1950     140       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     140       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     140       4   0.000   0.000   0.000   0.002   0.002   0.004   0.003   0.004   0.004   0.003   0.002   0.000
   -71.25   -32.75    1950     160       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1950     160       1   0.000   0.000   0.002   0.060   0.042   0.072   0.057   0.072   0.072   0.072   0.072   0.002
   -71.25   -32.75    1950     160       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
