      Lon      Lat    Year   Stand       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
   -71.25   -32.75    1950       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1950     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1951     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1952     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1953     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1954     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     132     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     133     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     134     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     140     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1955     160     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.054
   -71.25   -32.75    1956       0     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.053
   -71.25   -32.75    1956     110     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.053
   -71.25   -32.75    1956     131     0.060     0.059     0.056     0.037     0.024     0.011     0.013     0.023     0.047     0.049     0.059     0.053
