      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.039   0.034   0.028  -0.012  -0.014  -0.006   0.007  -0.001  -0.043  -0.103  -0.082   0.014
   -71.25   -32.75    1950       0       1   0.042   0.036   0.031  -0.014  -0.016  -0.007   0.006  -0.002  -0.049  -0.106  -0.073   0.020
   -71.25   -32.75    1950       0       2   0.037   0.032   0.026  -0.008  -0.016  -0.009   0.006  -0.001  -0.040  -0.099  -0.065   0.005
   -71.25   -32.75    1950       0       3   0.027   0.023   0.020  -0.007  -0.019  -0.002   0.014   0.010  -0.010  -0.033  -0.015   0.008
   -71.25   -32.75    1950       0       4   0.032   0.021   0.018  -0.015  -0.015  -0.004   0.003  -0.003  -0.038  -0.080  -0.056  -0.004
   -71.25   -32.75    1950     110       0   0.040   0.036   0.030   0.012  -0.028  -0.032   0.000  -0.021  -0.089  -0.079  -0.022   0.045
   -71.25   -32.75    1950     110       1   0.037   0.033   0.027   0.007  -0.035  -0.035  -0.007  -0.030  -0.107  -0.106  -0.036   0.038
   -71.25   -32.75    1950     110       2   0.034   0.031   0.023   0.003  -0.029  -0.036  -0.007  -0.030  -0.108  -0.111  -0.039   0.038
   -71.25   -32.75    1950     110       3   0.032   0.029   0.027   0.007  -0.018  -0.011   0.015   0.005  -0.022  -0.014   0.011   0.026
   -71.25   -32.75    1950     110       4   0.041   0.037   0.025  -0.063  -0.038  -0.025  -0.014  -0.029  -0.068  -0.045  -0.014   0.026
   -71.25   -32.75    1950     131       0   0.029   0.025   0.020   0.000  -0.026  -0.027   0.016  -0.003  -0.053  -0.071  -0.030   0.041
   -71.25   -32.75    1950     131       1   0.045   0.041   0.038   0.010  -0.021  -0.030  -0.003  -0.021  -0.075  -0.061  -0.020   0.042
   -71.25   -32.75    1950     131       2   0.041   0.036   0.030   0.009  -0.026  -0.036  -0.007  -0.029  -0.103  -0.096  -0.033   0.036
   -71.25   -32.75    1950     131       3   0.054   0.046   0.025  -0.068  -0.066  -0.038  -0.025  -0.046  -0.114  -0.105  -0.037   0.041
   -71.25   -32.75    1950     131       4   0.035   0.030   0.024   0.005  -0.030  -0.037  -0.013  -0.035  -0.108  -0.105  -0.037   0.031
   -71.25   -32.75    1950     132       0   0.045   0.039   0.051   0.023  -0.029  -0.038  -0.013  -0.036  -0.115  -0.065  -0.001   0.047
   -71.25   -32.75    1950     132       1   0.042   0.037   0.034   0.004  -0.019  -0.022  -0.002  -0.016  -0.061  -0.052  -0.013   0.030
   -71.25   -32.75    1950     132       2   0.041   0.037   0.033   0.005  -0.018  -0.028  -0.009  -0.026  -0.086  -0.070  -0.040   0.028
   -71.25   -32.75    1950     132       3   0.040   0.036   0.032   0.011  -0.016  -0.026  -0.003  -0.020  -0.077  -0.048  -0.013   0.033
   -71.25   -32.75    1950     132       4   0.051   0.045   0.041   0.004  -0.020  -0.022  -0.007  -0.022  -0.072  -0.067  -0.023   0.028
   -71.25   -32.75    1950     133       0   0.040   0.034   0.029   0.012  -0.035  -0.038  -0.008  -0.031  -0.107  -0.105  -0.031   0.044
   -71.25   -32.75    1950     133       1   0.046   0.042   0.038   0.007  -0.025  -0.029  -0.011  -0.027  -0.083  -0.097  -0.045   0.038
   -71.25   -32.75    1950     133       2   0.005   0.005   0.002  -0.005  -0.005  -0.003  -0.002  -0.004  -0.008  -0.004   0.001   0.004
   -71.25   -32.75    1950     133       3   0.043   0.039   0.034   0.012  -0.035  -0.038  -0.014  -0.036  -0.108  -0.113  -0.038   0.045
   -71.25   -32.75    1950     133       4   0.036   0.033   0.028   0.009  -0.038  -0.041  -0.018  -0.040  -0.117  -0.110  -0.043   0.042
   -71.25   -32.75    1950     134       0   0.039   0.034   0.028   0.010  -0.033  -0.035  -0.008  -0.030  -0.105  -0.105  -0.037   0.043
   -71.25   -32.75    1950     134       1   0.041   0.036   0.027  -0.045  -0.032  -0.031  -0.019  -0.038  -0.071  -0.043  -0.004   0.036
   -71.25   -32.75    1950     134       2   0.038   0.034   0.046  -0.096  -0.071  -0.036  -0.011  -0.032  -0.102  -0.048   0.007   0.045
   -71.25   -32.75    1950     134       3   0.037   0.032   0.027   0.006  -0.033  -0.033  -0.003  -0.025  -0.096  -0.109  -0.035   0.043
   -71.25   -32.75    1950     134       4   0.033   0.030   0.035  -0.111  -0.084  -0.039  -0.015  -0.036  -0.112  -0.067  -0.003   0.040
   -71.25   -32.75    1950     140       0   0.036   0.032   0.025   0.006  -0.038  -0.038  -0.007  -0.031  -0.109  -0.117  -0.035   0.041
   -71.25   -32.75    1950     140       1   0.032   0.029   0.026   0.008  -0.018  -0.042  -0.016  -0.047  -0.097  -0.018   0.008   0.032
   -71.25   -32.75    1950     140       2   0.058   0.049   0.040  -0.083  -0.070  -0.031  -0.017  -0.034  -0.092  -0.047  -0.001   0.029
   -71.25   -32.75    1950     140       3   0.036   0.031   0.026   0.005  -0.034  -0.036  -0.008  -0.030  -0.105  -0.109  -0.039   0.037
   -71.25   -32.75    1950     140       4   0.045   0.040   0.034   0.010  -0.023  -0.033  -0.002  -0.024  -0.095  -0.094  -0.028   0.041
   -71.25   -32.75    1950     160       0   0.032   0.029   0.044  -0.096  -0.080  -0.036  -0.021  -0.040  -0.108  -0.035   0.014   0.048
   -71.25   -32.75    1950     160       1   0.036   0.032   0.027   0.001  -0.022  -0.025   0.020   0.000  -0.049  -0.059  -0.022   0.043
   -71.25   -32.75    1950     160       2   0.033   0.029   0.022   0.001  -0.029  -0.037  -0.007  -0.031  -0.108  -0.110  -0.036   0.037
   -71.25   -32.75    1950     160       3   0.036   0.033   0.026  -0.024  -0.047  -0.040  -0.012  -0.042  -0.085  -0.038   0.010   0.027
   -71.25   -32.75    1950     160       4   0.017   0.018   0.016  -0.009  -0.009  -0.003   0.002  -0.002  -0.013  -0.001   0.008   0.016
