      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0  -0.021  -0.019  -0.014   0.023   0.022   0.011   0.008   0.015   0.063   0.125   0.105   0.009
   -71.25   -32.75    1950       0       1  -0.024  -0.022  -0.017   0.024   0.024   0.012   0.009   0.016   0.069   0.128   0.097   0.002
   -71.25   -32.75    1950       0       2  -0.020  -0.018  -0.013   0.018   0.023   0.014   0.008   0.014   0.058   0.119   0.084   0.015
   -71.25   -32.75    1950       0       3  -0.011  -0.009  -0.007   0.018   0.027   0.006   0.005   0.008   0.034   0.061   0.044   0.020
   -71.25   -32.75    1950       0       4  -0.009  -0.003  -0.001   0.029   0.024   0.009   0.007   0.013   0.051   0.096   0.074   0.021
   -71.25   -32.75    1950     110       0  -0.012  -0.011  -0.008   0.008   0.042   0.041   0.040   0.058   0.134   0.124   0.066  -0.004
   -71.25   -32.75    1950     110       1  -0.012  -0.011  -0.006   0.009   0.047   0.044   0.043   0.062   0.146   0.143   0.070  -0.004
   -71.25   -32.75    1950     110       2  -0.009  -0.008  -0.003   0.013   0.041   0.045   0.044   0.063   0.149   0.147   0.073  -0.003
   -71.25   -32.75    1950     110       3  -0.014  -0.013  -0.011   0.007   0.028   0.018   0.018   0.025   0.057   0.051   0.026   0.008
   -71.25   -32.75    1950     110       4  -0.031  -0.028  -0.017   0.071   0.044   0.028   0.027   0.041   0.082   0.060   0.029  -0.013
   -71.25   -32.75    1950     131       0  -0.004  -0.003  -0.000   0.016   0.038   0.035   0.034   0.047   0.105   0.120   0.075   0.001
   -71.25   -32.75    1950     131       1  -0.025  -0.024  -0.021   0.005   0.032   0.037   0.036   0.051   0.111   0.097   0.055  -0.009
   -71.25   -32.75    1950     131       2  -0.013  -0.011  -0.007   0.009   0.039   0.045   0.044   0.063   0.144   0.133   0.068  -0.001
   -71.25   -32.75    1950     131       3  -0.025  -0.021  -0.003   0.086   0.079   0.047   0.046   0.065   0.137   0.127   0.059  -0.019
   -71.25   -32.75    1950     131       4  -0.010  -0.009  -0.005   0.010   0.042   0.045   0.044   0.063   0.142   0.136   0.066  -0.001
   -71.25   -32.75    1950     132       0  -0.021  -0.018  -0.031  -0.006   0.041   0.046   0.045   0.065   0.150   0.101   0.037  -0.014
   -71.25   -32.75    1950     132       1  -0.024  -0.021  -0.018   0.010   0.030   0.029   0.028   0.041   0.091   0.084   0.046   0.000
