      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.021   0.019   0.021   0.026   0.022   0.012   0.011   0.013   0.030   0.055   0.051   0.023
   -71.25   -32.75    1950       0       1   0.024   0.022   0.024   0.028   0.025   0.014   0.012   0.015   0.034   0.058   0.051   0.028
   -71.25   -32.75    1950       0       2   0.020   0.018   0.020   0.025   0.022   0.013   0.010   0.012   0.028   0.052   0.044   0.024
   -71.25   -32.75    1950       0       3   0.011   0.010   0.010   0.014   0.015   0.006   0.005   0.007   0.016   0.027   0.023   0.017
   -71.25   -32.75    1950       0       4   0.015   0.014   0.015   0.021   0.018   0.009   0.008   0.010   0.024   0.041   0.036   0.022
   -71.25   -32.75    1950     110       0   0.012   0.012   0.013   0.030   0.031   0.030   0.028   0.034   0.062   0.065   0.051   0.020
   -71.25   -32.75    1950     110       1   0.012   0.011   0.013   0.028   0.035   0.034   0.032   0.039   0.070   0.076   0.048   0.015
   -71.25   -32.75    1950     110       2   0.009   0.009   0.010   0.026   0.031   0.035   0.033   0.040   0.071   0.078   0.050   0.013
   -71.25   -32.75    1950     110       3   0.014   0.013   0.014   0.014   0.018   0.012   0.011   0.014   0.026   0.026   0.020   0.017
   -71.25   -32.75    1950     110       4   0.026   0.024   0.025   0.048   0.032   0.022   0.021   0.026   0.042   0.040   0.034   0.028
   -71.25   -32.75    1950     131       0   0.004   0.004   0.005   0.020   0.022   0.022   0.021   0.026   0.046   0.055   0.042   0.007
   -71.25   -32.75    1950     131       1   0.025   0.024   0.025   0.029   0.031   0.026   0.025   0.030   0.052   0.053   0.043   0.031
   -71.25   -32.75    1950     131       2   0.013   0.012   0.014   0.027   0.032   0.033   0.031   0.038   0.067   0.071   0.046   0.016
   -71.25   -32.75    1950     131       3   0.026   0.025   0.031   0.056   0.048   0.032   0.030   0.037   0.063   0.065   0.047   0.027
   -71.25   -32.75    1950     131       4   0.010   0.009   0.011   0.024   0.031   0.032   0.031   0.037   0.066   0.071   0.045   0.014
   -71.25   -32.75    1950     132       0   0.020   0.019   0.033   0.037   0.037   0.034   0.033   0.040   0.071   0.062   0.047   0.034
   -71.25   -32.75    1950     132       1   0.022   0.021   0.022   0.024   0.027   0.020   0.019   0.024   0.042   0.044   0.035   0.028
   -71.25   -32.75    1950     132       2   0.025   0.024   0.025   0.030   0.030   0.026   0.024   0.029   0.053   0.053   0.047   0.027
   -71.25   -32.75    1950     132       3   0.018   0.016   0.017   0.029   0.026   0.025   0.023   0.029   0.052   0.048   0.040   0.025
   -71.25   -32.75    1950     132       4   0.030   0.028   0.029   0.027   0.031   0.022   0.021   0.026   0.046   0.050   0.039   0.033
   -71.25   -32.75    1950     133       0   0.015   0.013   0.015   0.031   0.036   0.036   0.034   0.041   0.072   0.078   0.053   0.017
   -71.25   -32.75    1950     133       1   0.030   0.029   0.031   0.030   0.034   0.026   0.025   0.030   0.052   0.062   0.049   0.032
   -71.25   -32.75    1950     133       2   0.002   0.002   0.003   0.005   0.004   0.002   0.002   0.003   0.005   0.004   0.003   0.002
   -71.25   -32.75    1950     133       3   0.022   0.021   0.023   0.032   0.038   0.034   0.032   0.039   0.068   0.076   0.053   0.025
   -71.25   -32.75    1950     133       4   0.017   0.016   0.018   0.030   0.036   0.034   0.032   0.039   0.069   0.073   0.056   0.020
   -71.25   -32.75    1950     134       0   0.013   0.012   0.013   0.030   0.034   0.033   0.031   0.038   0.068   0.074   0.055   0.015
   -71.25   -32.75    1950     134       1   0.017   0.016   0.018   0.042   0.029   0.026   0.023   0.031   0.046   0.041   0.032   0.017
   -71.25   -32.75    1950     134       2   0.018   0.017   0.033   0.069   0.052   0.031   0.030   0.036   0.065   0.053   0.040   0.031
   -71.25   -32.75    1950     134       3   0.013   0.012   0.013   0.029   0.033   0.032   0.030   0.037   0.066   0.076   0.051   0.015
   -71.25   -32.75    1950     134       4   0.015   0.014   0.032   0.071   0.054   0.031   0.030   0.036   0.066   0.058   0.042   0.029
   -71.25   -32.75    1950     140       0   0.012   0.012   0.013   0.030   0.037   0.036   0.034   0.041   0.073   0.083   0.051   0.015
   -71.25   -32.75    1950     140       1   0.014   0.013   0.015   0.031   0.034   0.045   0.038   0.052   0.074   0.039   0.034   0.014
   -71.25   -32.75    1950     140       2   0.031   0.029   0.031   0.055   0.045   0.025   0.024   0.029   0.052   0.042   0.031   0.032
   -71.25   -32.75    1950     140       3   0.015   0.013   0.016   0.030   0.035   0.033   0.032   0.039   0.068   0.076   0.051   0.018
   -71.25   -32.75    1950     140       4   0.018   0.017   0.019   0.029   0.033   0.033   0.032   0.038   0.067   0.073   0.049   0.020
   -71.25   -32.75    1950     160       0   0.016   0.015   0.032   0.064   0.051   0.029   0.028   0.034   0.060   0.042   0.031   0.036
   -71.25   -32.75    1950     160       1   0.010   0.009   0.011   0.023   0.023   0.022   0.021   0.026   0.047   0.053   0.043   0.017
   -71.25   -32.75    1950     160       2   0.009   0.009   0.011   0.027   0.031   0.035   0.034   0.041   0.072   0.079   0.050   0.013
   -71.25   -32.75    1950     160       3   0.014   0.014   0.021   0.042   0.046   0.045   0.039   0.052   0.073   0.050   0.039   0.016
   -71.25   -32.75    1950     160       4   0.008   0.007   0.007   0.012   0.010   0.006   0.005   0.007   0.012   0.010   0.008   0.008
   -71.25   -32.75    1951       0       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951       0       1   0.000   0.001   0.001   0.002   0.002   0.001   0.001   0.001   0.002   0.002   0.002   0.002
   -71.25   -32.75    1951       0       2   0.002   0.002   0.004   0.006   0.006   0.004   0.002   0.003   0.004   0.008   0.006   0.005
   -71.25   -32.75    1951       0       3   0.000   0.001   0.001   0.001   0.001   0.000   0.000   0.001   0.001   0.001   0.001   0.001
   -71.25   -32.75    1951       0       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     110       4   0.000   0.001   0.003   0.009   0.012   0.009   0.008   0.012   0.014   0.015   0.008   0.000
   -71.25   -32.75    1951     131       0   0.000   0.000   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001
   -71.25   -32.75    1951     131       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     131       3   0.000   0.001   0.003   0.005   0.006   0.005   0.004   0.007   0.007   0.008   0.006   0.001
   -71.25   -32.75    1951     131       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       1   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       2   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       3   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     132       4   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   -71.25   -32.75    1951     133       0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
