      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.018   0.015   0.014   0.011   0.008   0.005   0.015   0.014   0.020   0.022   0.022   0.023
   -71.25   -32.75    1950       0       1   0.017   0.014   0.013   0.011   0.007   0.005   0.015   0.014   0.020   0.022   0.023   0.022
   -71.25   -32.75    1950       0       2   0.017   0.014   0.013   0.010   0.007   0.005   0.014   0.013   0.018   0.020   0.019   0.021
   -71.25   -32.75    1950       0       3   0.016   0.013   0.012   0.011   0.007   0.004   0.019   0.018   0.024   0.028   0.029   0.028
   -71.25   -32.75    1950       0       4   0.023   0.018   0.017   0.014   0.009   0.006   0.010   0.010   0.014   0.016   0.018   0.018
   -71.25   -32.75    1950     110       0   0.028   0.024   0.023   0.019   0.014   0.010   0.041   0.037   0.045   0.045   0.044   0.041
   -71.25   -32.75    1950     110       1   0.026   0.022   0.020   0.017   0.012   0.009   0.036   0.033   0.040   0.037   0.034   0.034
   -71.25   -32.75    1950     110       2   0.026   0.022   0.020   0.016   0.012   0.008   0.037   0.033   0.040   0.037   0.034   0.035
   -71.25   -32.75    1950     110       3   0.018   0.016   0.015   0.015   0.011   0.007   0.033   0.030   0.035   0.037   0.037   0.034
   -71.25   -32.75    1950     110       4   0.010   0.009   0.009   0.008   0.006   0.004   0.013   0.012   0.014   0.015   0.015   0.014
   -71.25   -32.75    1950     131       0   0.026   0.022   0.020   0.016   0.012   0.008   0.050   0.044   0.052   0.048   0.045   0.042
   -71.25   -32.75    1950     131       1   0.020   0.018   0.017   0.015   0.011   0.007   0.033   0.030   0.036   0.036   0.035   0.033
   -71.25   -32.75    1950     131       2   0.028   0.024   0.022   0.018   0.013   0.009   0.037   0.034   0.041   0.037   0.035   0.035
   -71.25   -32.75    1950     131       3   0.029   0.025   0.022   0.018   0.013   0.009   0.020   0.019   0.023   0.022   0.021   0.022
   -71.25   -32.75    1950     131       4   0.025   0.021   0.019   0.015   0.011   0.008   0.031   0.028   0.034   0.031   0.029   0.030
   -71.25   -32.75    1950     132       0   0.025   0.021   0.020   0.017   0.012   0.008   0.032   0.029   0.035   0.036   0.036   0.033
   -71.25   -32.75    1950     132       1   0.018   0.016   0.016   0.015   0.011   0.007   0.027   0.025   0.030   0.032   0.032   0.030
   -71.25   -32.75    1950     132       2   0.016   0.014   0.013   0.011   0.008   0.005   0.024   0.021   0.026   0.025   0.023   0.022
   -71.25   -32.75    1950     132       3   0.023   0.020   0.019   0.017   0.012   0.009   0.030   0.028   0.034   0.035   0.035   0.033
   -71.25   -32.75    1950     132       4   0.019   0.017   0.016   0.014   0.010   0.007   0.021   0.019   0.024   0.025   0.025   0.023
   -71.25   -32.75    1950     133       0   0.025   0.021   0.020   0.016   0.011   0.008   0.038   0.034   0.041   0.038   0.036   0.035
   -71.25   -32.75    1950     133       1   0.016   0.014   0.013   0.011   0.008   0.006   0.023   0.021   0.025   0.024   0.023   0.022
   -71.25   -32.75    1950     133       2   0.006   0.005   0.005   0.005   0.004   0.002   0.002   0.002   0.003   0.004   0.005   0.006
   -71.25   -32.75    1950     133       3   0.020   0.018   0.017   0.014   0.010   0.007   0.030   0.028   0.033   0.031   0.029   0.029
   -71.25   -32.75    1950     133       4   0.019   0.017   0.016   0.013   0.010   0.007   0.028   0.026   0.031   0.030   0.029   0.028
