      Lon      Lat    Year   Stand   Patch       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
   -71.25   -32.75    1950       0       0     0.000     0.000     0.000     0.000     0.000    28.157     8.193    42.082     7.249     0.000     0.000     0.000
   -71.25   -32.75    1950       0       1     0.000     0.000     0.000     0.000     0.000    27.232     6.714    41.549     8.528     0.000     0.000     0.000
   -71.25   -32.75    1950       0       2     0.000     0.000     0.000     0.000     0.000    28.953     9.594    43.447     7.330     0.000     0.000     0.000
   -71.25   -32.75    1950       0       3     0.000     0.000     0.000     0.000     0.000    29.166     5.934    48.335    14.938     0.000     0.000     0.000
   -71.25   -32.75    1950       0       4     0.000     0.000     0.000     0.000     0.000    28.024     6.356    44.689    11.487     0.000     0.000     0.000
   -71.25   -32.75    1950     110       0     0.000     0.000     0.000     0.000     0.000    20.811     2.694    32.781     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       1     0.000     0.000     0.000     0.000     0.000    19.875     4.136    34.732     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       2     0.000     0.000     0.000     0.000     0.000    21.054     4.955    35.724     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       3     0.000     0.000     0.000     0.000     0.000    23.737     2.164    32.120     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     110       4     0.000     0.000     0.000     0.000     0.000    23.495     2.224    32.846     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       0     0.000     0.000     0.000     0.000     0.000    20.229     2.632    33.106     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       1     0.000     0.000     0.000     0.000     0.000    20.067     1.912    31.916     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       2     0.000     0.000     0.000     0.000     0.000    19.467     3.634    34.369     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       3     0.000     0.000     0.000     0.000     0.000    20.675     2.232    32.820     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     131       4     0.000     0.000     0.000     0.000     0.000    19.905     4.005    34.923     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       0     0.000     0.000     0.000     0.000     0.000    21.767     2.584    32.445     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       1     0.000     0.000     0.000     0.000     0.000    22.687     2.764    32.862     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       2     0.000     0.000     0.000     0.000     0.000    22.186     3.866    34.484     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       3     0.000     0.000     0.000     0.000     0.000    22.700     3.092    33.386     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     132       4     0.000     0.000     0.000     0.000     0.000    22.465     2.787    32.886     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     133       0     0.000     0.000     0.000     0.000     0.000    18.426     2.727    33.063     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     133       1     0.000     0.000     0.000     0.000     0.000    19.545     2.539    32.990     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     133       2     0.000     0.000     0.000     0.000     0.000    74.604    36.951    86.350    18.031     0.237     1.610     0.000
   -71.25   -32.75    1950     133       3     0.000     0.000     0.000     0.000     0.000    18.445     2.509    32.786     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     133       4     0.000     0.000     0.000     0.000     0.000    18.760     2.246    32.316     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     134       0     0.000     0.000     0.000     0.000     0.000    20.342     3.208    33.467     0.000     0.000     0.000     0.000
   -71.25   -32.75    1950     134       1     0.000     0.000     0.000     0.000     0.000    28.668    31.027    84.573     9.865     0.000     0.000     0.000
