      Lon      Lat    Year   Stand     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0  19.374  18.508  16.999  14.228  10.254   6.407   5.842   6.156   8.504  11.520  14.382  17.356
   -71.25   -32.75    1950     110  22.083  21.218  19.708  16.938  12.964   9.116   8.552   8.865  11.214  14.229  17.092  20.066
   -71.25   -32.75    1950     131  22.112  21.247  19.737  16.967  12.992   9.145   8.580   8.894  11.243  14.258  17.121  20.095
   -71.25   -32.75    1950     132  22.095  21.229  19.720  16.949  12.975   9.128   8.563   8.877  11.225  14.241  17.103  20.077
   -71.25   -32.75    1950     133  22.119  21.253  19.744  16.973  12.999   9.152   8.587   8.901  11.249  14.265  17.128  20.102
   -71.25   -32.75    1950     134  22.101  21.236  19.726  16.956  12.982   9.134   8.570   8.883  11.232  14.247  17.110  20.084
   -71.25   -32.75    1950     140  22.211  21.345  19.836  17.065  13.091   9.244   8.679   8.993  11.342  14.357  17.220  20.194
   -71.25   -32.75    1950     160  22.313  21.447  19.938  17.167  13.193   9.346   8.781   9.095  11.443  14.459  17.321  20.296
   -71.25   -32.75    1951       0  19.034  18.608  17.282  13.994   9.857   6.916   6.491   7.055   7.929  11.870  15.468  17.835
   -71.25   -32.75    1951     110  21.744  21.318  19.992  16.704  12.567   9.625   9.201   9.764  10.639  14.579  18.178  20.545
   -71.25   -32.75    1951     131  21.773  21.346  20.021  16.733  12.596   9.654   9.230   9.793  10.668  14.608  18.207  20.573
   -71.25   -32.75    1951     132  21.755  21.329  20.003  16.715  12.578   9.637   9.212   9.776  10.650  14.591  18.189  20.556
   -71.25   -32.75    1951     133  21.779  21.353  20.028  16.740  12.603   9.661   9.236   9.800  10.675  14.615  18.213  20.580
   -71.25   -32.75    1951     134  21.762  21.336  20.010  16.722  12.585   9.643   9.219   9.782  10.657  14.597  18.196  20.563
   -71.25   -32.75    1951     140  21.871  21.445  20.120  16.832  12.695   9.753   9.328   9.892  10.767  14.707  18.305  20.672
   -71.25   -32.75    1951     160  21.973  21.547  20.221  16.934  12.796   9.855   9.430   9.994  10.869  14.809  18.407  20.774
   -71.25   -32.75    1952       0  18.785  18.505  17.551  13.831  10.645   6.615   5.191   6.109   7.311  11.960  14.864  17.404
   -71.25   -32.75    1952     110  21.495  21.214  20.261  16.541  13.355   9.324   7.901   8.819  10.021  14.670  17.574  20.113
   -71.25   -32.75    1952     131  21.523  21.243  20.289  16.570  13.384   9.353   7.930   8.848  10.050  14.698  17.603  20.142
   -71.25   -32.75    1952     132  21.506  21.226  20.272  16.552  13.366   9.336   7.912   8.830  10.032  14.681  17.585  20.125
   -71.25   -32.75    1952     133  21.530  21.250  20.296  16.576  13.390   9.360   7.937   8.855  10.057  14.705  17.609  20.149
   -71.25   -32.75    1952     134  21.512  21.232  20.279  16.559  13.373   9.342   7.919   8.837  10.039  14.688  17.592  20.131
   -71.25   -32.75    1952     140  21.622  21.342  20.388  16.668  13.483   9.452   8.029   8.947  10.149  14.797  17.702  20.241
   -71.25   -32.75    1952     160  21.724  21.444  20.490  16.770  13.584   9.554   8.130   9.048  10.251  14.899  17.803  20.343
   -71.25   -32.75    1953       0  17.642  17.745  17.227  13.582   9.983   8.054   5.883   6.685   9.052  12.006  16.659  18.485
   -71.25   -32.75    1953     110  20.351  20.454  19.937  16.292  12.693  10.763   8.593   9.394  11.762  14.715  19.368  21.195
   -71.25   -32.75    1953     131  20.380  20.483  19.966  16.321  12.722  10.792   8.622   9.423  11.791  14.744  19.397  21.224
   -71.25   -32.75    1953     132  20.363  20.466  19.948  16.303  12.704  10.775   8.604   9.406  11.773  14.727  19.380  21.206
   -71.25   -32.75    1953     133  20.387  20.490  19.973  16.327  12.728  10.799   8.629   9.430  11.797  14.751  19.404  21.231
   -71.25   -32.75    1953     134  20.369  20.472  19.955  16.310  12.711  10.781   8.611   9.412  11.780  14.733  19.386  21.213
   -71.25   -32.75    1953     140  20.479  20.582  20.065  16.419  12.820  10.891   8.721   9.522  11.889  14.843  19.496  21.323
   -71.25   -32.75    1953     160  20.581  20.684  20.167  16.521  12.922  10.993   8.823   9.624  11.991  14.945  19.598  21.425
   -71.25   -32.75    1954       0  20.359  19.069  17.559  13.661   9.015   5.471   5.576   6.349   7.916  14.672  15.772  16.925
   -71.25   -32.75    1954     110  23.068  21.779  20.269  16.370  11.725   8.181   8.285   9.058  10.626  17.382  18.482  19.635
   -71.25   -32.75    1954     131  23.097  21.808  20.298  16.399  11.754   8.210   8.314   9.087  10.655  17.411  18.511  19.664
   -71.25   -32.75    1954     132  23.080  21.791  20.280  16.382  11.736   8.192   8.297   9.070  10.637  17.393  18.493  19.646
   -71.25   -32.75    1954     133  23.104  21.815  20.305  16.406  11.761   8.216   8.321   9.094  10.661  17.418  18.518  19.670
