      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.000   0.000   0.000   0.000   0.124   0.454   0.834   0.991   0.886   0.697   0.506
   -71.25   -32.75    1950       0       1   0.000   0.000   0.000   0.000   0.000   0.127   0.460   0.841   0.994   0.923   0.789   0.651
   -71.25   -32.75    1950       0       2   0.000   0.000   0.000   0.000   0.000   0.119   0.447   0.831   0.990   0.866   0.634   0.402
   -71.25   -32.75    1950       0       3   0.000   0.000   0.000   0.000   0.000   0.147   0.497   0.880   0.998   0.968   0.920   0.865
   -71.25   -32.75    1950       0       4   0.202   0.104   0.017   0.000   0.000   0.136   0.476   0.860   0.996   0.943   0.848   0.747
   -71.25   -32.75    1950     110       0   0.000   0.000   0.000   0.000   0.000   0.029   0.108   0.199   0.245   0.228   0.194   0.168
   -71.25   -32.75    1950     110       1   0.000   0.000   0.000   0.000   0.000   0.025   0.098   0.185   0.219   0.178   0.121   0.098
   -71.25   -32.75    1950     110       2   0.000   0.000   0.000   0.000   0.000   0.024   0.096   0.181   0.210   0.159   0.091   0.069
   -71.25   -32.75    1950     110       3   0.000   0.000   0.000   0.000   0.000   0.035   0.122   0.221   0.281   0.285   0.275   0.263
   -71.25   -32.75    1950     110       4   0.298   0.282   0.267   0.251   0.237   0.265   0.348   0.444   0.500   0.498   0.482   0.465
   -71.25   -32.75    1950     131       0   0.000   0.000   0.000   0.000   0.000   0.028   0.105   0.195   0.237   0.211   0.169   0.148
   -71.25   -32.75    1950     131       1   0.000   0.000   0.000   0.000   0.000   0.029   0.109   0.200   0.247   0.233   0.202   0.172
   -71.25   -32.75    1950     131       2   0.000   0.000   0.000   0.000   0.000   0.025   0.096   0.181   0.212   0.168   0.108   0.079
   -71.25   -32.75    1950     131       3   0.290   0.256   0.220   0.181   0.145   0.159   0.236   0.324   0.365   0.339   0.298   0.261
   -71.25   -32.75    1950     131       4   0.000   0.000   0.000   0.000   0.000   0.024   0.095   0.179   0.209   0.160   0.096   0.069
   -71.25   -32.75    1950     132       0   0.024   0.019   0.008   0.000   0.000   0.031   0.112   0.205   0.255   0.246   0.222   0.198
   -71.25   -32.75    1950     132       1   0.006   0.000   0.000   0.000   0.000   0.032   0.114   0.210   0.264   0.257   0.235   0.212
   -71.25   -32.75    1950     132       2   0.000   0.000   0.000   0.000   0.000   0.028   0.106   0.197   0.240   0.214   0.169   0.127
   -71.25   -32.75    1950     132       3   0.000   0.000   0.000   0.000   0.000   0.030   0.111   0.205   0.254   0.241   0.212   0.183
   -71.25   -32.75    1950     132       4   0.003   0.000   0.000   0.000   0.000   0.031   0.114   0.209   0.262   0.254   0.231   0.206
   -71.25   -32.75    1950     133       0   0.000   0.000   0.000   0.000   0.000   0.026   0.100   0.186   0.223   0.190   0.141   0.119
   -71.25   -32.75    1950     133       1   0.000   0.000   0.000   0.000   0.000   0.027   0.104   0.194   0.237   0.211   0.169   0.127
   -71.25   -32.75    1950     133       2   0.998   0.997   0.996   0.995   0.994   0.999   0.999   1.000   1.000   0.999   1.000   0.999
   -71.25   -32.75    1950     133       3   0.000   0.000   0.000   0.000   0.000   0.026   0.101   0.189   0.227   0.197   0.151   0.119
   -71.25   -32.75    1950     133       4   0.000   0.000   0.000   0.000   0.000   0.027   0.103   0.191   0.232   0.207   0.166   0.139
   -71.25   -32.75    1950     134       0   0.000   0.000   0.000   0.000   0.000   0.027   0.104   0.193   0.235   0.208   0.164   0.141
   -71.25   -32.75    1950     134       1   0.951   0.944   0.936   0.926   0.917   0.943   0.997   0.999   0.999   0.992   0.979   0.969
   -71.25   -32.75    1950     134       2   0.103   0.098   0.087   0.067   0.051   0.077   0.159   0.254   0.307   0.302   0.282   0.262
   -71.25   -32.75    1950     134       3   0.000   0.000   0.000   0.000   0.000   0.027   0.102   0.191   0.230   0.199   0.150   0.129
   -71.25   -32.75    1950     134       4   0.095   0.092   0.083   0.061   0.042   0.068   0.149   0.243   0.295   0.288   0.266   0.244
   -71.25   -32.75    1950     140       0   0.000   0.000   0.000   0.000   0.000   0.025   0.100   0.188   0.224   0.184   0.125   0.104
   -71.25   -32.75    1950     140       1   0.008   0.000   0.000   0.000   0.000   0.028   0.111   0.208   0.255   0.242   0.221   0.205
   -71.25   -32.75    1950     140       2   0.310   0.295   0.279   0.263   0.251   0.282   0.365   0.462   0.519   0.520   0.506   0.491
   -71.25   -32.75    1950     140       3   0.000   0.000   0.000   0.000   0.000   0.026   0.101   0.188   0.225   0.188   0.134   0.108
   -71.25   -32.75    1950     140       4   0.000   0.000   0.000   0.000   0.000   0.025   0.098   0.184   0.216   0.168   0.101   0.062
   -71.25   -32.75    1950     160       0   0.437   0.433   0.424   0.408   0.395   0.433   0.529   0.640   0.708   0.711   0.697   0.681
   -71.25   -32.75    1950     160       1   0.000   0.000   0.000   0.000   0.000   0.035   0.131   0.241   0.299   0.279   0.237   0.202
   -71.25   -32.75    1950     160       2   0.000   0.000   0.000   0.000   0.000   0.029   0.114   0.215   0.251   0.189   0.107   0.078
   -71.25   -32.75    1950     160       3   0.862   0.855   0.842   0.823   0.807   0.829   0.912   0.992   0.997   0.977   0.951   0.932
   -71.25   -32.75    1950     160       4   0.324   0.318   0.313   0.308   0.305   0.351   0.454   0.573   0.651   0.666   0.666   0.662
   -71.25   -32.75    1951       0       0   0.405   0.405   0.404   0.404   0.408   0.517   0.817   0.989   1.000   1.000   1.000   0.999
   -71.25   -32.75    1951       0       1   0.578   0.577   0.575   0.572   0.573   0.678   0.944   1.000   1.000   0.999   0.999   0.996
   -71.25   -32.75    1951       0       2   0.274   0.258   0.242   0.224   0.211   0.302   0.599   0.802   0.919   0.994   0.977   0.953
   -71.25   -32.75    1951       0       3   0.833   0.832   0.831   0.831   0.834   0.931   0.998   1.000   1.000   1.000   1.000   0.999
   -71.25   -32.75    1951       0       4   0.692   0.692   0.692   0.692   0.695   0.804   0.989   1.000   1.000   1.000   1.000   1.000
   -71.25   -32.75    1951     110       0   0.162   0.162   0.162   0.162   0.163   0.190   0.264   0.316   0.345   0.378   0.379   0.379
   -71.25   -32.75    1951     110       1   0.089   0.089   0.089   0.089   0.090   0.116   0.191   0.243   0.271   0.304   0.306   0.306
   -71.25   -32.75    1951     110       2   0.063   0.063   0.063   0.063   0.064   0.090   0.165   0.217   0.246   0.279   0.281   0.281
   -71.25   -32.75    1951     110       3   0.256   0.256   0.256   0.256   0.257   0.283   0.358   0.409   0.437   0.470   0.472   0.472
   -71.25   -32.75    1951     110       4   0.457   0.456   0.456   0.455   0.452   0.471   0.540   0.588   0.611   0.638   0.636   0.635
   -71.25   -32.75    1951     131       0   0.145   0.145   0.145   0.144   0.145   0.170   0.244   0.295   0.322   0.354   0.355   0.355
   -71.25   -32.75    1951     131       1   0.156   0.156   0.156   0.156   0.157   0.183   0.257   0.308   0.336   0.369   0.370   0.370
   -71.25   -32.75    1951     131       2   0.067   0.067   0.067   0.067   0.068   0.094   0.167   0.219   0.247   0.279   0.281   0.281
   -71.25   -32.75    1951     131       3   0.243   0.243   0.242   0.242   0.241   0.263   0.333   0.383   0.408   0.438   0.438   0.436
   -71.25   -32.75    1951     131       4   0.059   0.059   0.059   0.059   0.060   0.086   0.159   0.211   0.239   0.271   0.273   0.273
   -71.25   -32.75    1951     132       0   0.191   0.191   0.191   0.191   0.192   0.218   0.293   0.345   0.373   0.407   0.408   0.408
   -71.25   -32.75    1951     132       1   0.200   0.200   0.200   0.200   0.201   0.227   0.302   0.354   0.383   0.416   0.418   0.418
   -71.25   -32.75    1951     132       2   0.105   0.105   0.105   0.106   0.107   0.133   0.208   0.260   0.289   0.322   0.324   0.324
   -71.25   -32.75    1951     132       3   0.172   0.172   0.172   0.172   0.173   0.199   0.274   0.326   0.355   0.388   0.390   0.390
   -71.25   -32.75    1951     132       4   0.193   0.193   0.193   0.193   0.194   0.220   0.295   0.347   0.376   0.409   0.411   0.411
   -71.25   -32.75    1951     133       0   0.112   0.112   0.112   0.112   0.113   0.139   0.212   0.264   0.292   0.324   0.326   0.326
   -71.25   -32.75    1951     133       1   0.105   0.105   0.105   0.105   0.105   0.130   0.203   0.254   0.281   0.312   0.313   0.313
   -71.25   -32.75    1951     133       2   0.997   0.996   0.995   0.994   0.994   1.000   0.999   1.000   1.000   1.000   0.999   0.998
   -71.25   -32.75    1951     133       3   0.106   0.106   0.106   0.106   0.106   0.132   0.205   0.257   0.284   0.316   0.318   0.318
   -71.25   -32.75    1951     133       4   0.130   0.130   0.130   0.131   0.132   0.158   0.231   0.283   0.311   0.343   0.345   0.345
   -71.25   -32.75    1951     134       0   0.136   0.136   0.136   0.136   0.137   0.163   0.238   0.290   0.318   0.351   0.353   0.353
   -71.25   -32.75    1951     134       1   0.965   0.964   0.964   0.962   0.958   0.972   0.999   0.999   0.999   0.996   0.990   0.990
   -71.25   -32.75    1951     134       2   0.255   0.255   0.255   0.254   0.255   0.280   0.354   0.405   0.433   0.465   0.467   0.466
   -71.25   -32.75    1951     134       3   0.124   0.124   0.124   0.124   0.125   0.151   0.226   0.278   0.306   0.339   0.341   0.341
   -71.25   -32.75    1951     134       4   0.237   0.237   0.237   0.238   0.239   0.265   0.339   0.391   0.419   0.452   0.454   0.454
   -71.25   -32.75    1951     140       0   0.098   0.098   0.098   0.097   0.098   0.123   0.198   0.250   0.277   0.310   0.311   0.310
   -71.25   -32.75    1951     140       1   0.197   0.196   0.196   0.194   0.191   0.201   0.260   0.304   0.313   0.321   0.317   0.317
   -71.25   -32.75    1951     140       2   0.482   0.482   0.482   0.482   0.483   0.510   0.583   0.634   0.662   0.695   0.697   0.697
   -71.25   -32.75    1951     140       3   0.099   0.099   0.099   0.099   0.100   0.126   0.202   0.254   0.283   0.316   0.318   0.318
   -71.25   -32.75    1951     140       4   0.047   0.047   0.047   0.047   0.048   0.074   0.150   0.202   0.231   0.264   0.266   0.266
   -71.25   -32.75    1951     160       0   0.672   0.672   0.672   0.672   0.673   0.705   0.791   0.847   0.882   0.921   0.923   0.923
   -71.25   -32.75    1951     160       1   0.191   0.191   0.191   0.190   0.190   0.218   0.305   0.366   0.398   0.435   0.436   0.435
   -71.25   -32.75    1951     160       2   0.070   0.070   0.070   0.070   0.071   0.103   0.194   0.257   0.292   0.333   0.335   0.335
   -71.25   -32.75    1951     160       3   0.925   0.925   0.924   0.921   0.916   0.930   0.987   0.998   0.999   0.993   0.986   0.986
   -71.25   -32.75    1951     160       4   0.659   0.659   0.659   0.659   0.661   0.692   0.778   0.835   0.869   0.909   0.911   0.911
   -71.25   -32.75    1952       0       0   0.999   0.998   0.997   0.996   0.999   0.999   0.995   0.996   1.000   1.000   0.999   0.998
   -71.25   -32.75    1952       0       1   0.992   0.987   0.984   0.979   0.981   0.990   0.995   0.996   1.000   0.999   0.997   0.992
   -71.25   -32.75    1952       0       2   0.925   0.893   0.862   0.827   0.798   0.799   0.928   0.996   1.000   0.991   0.955   0.918
   -71.25   -32.75    1952       0       3   0.997   0.993   0.990   0.987   0.991   0.995   0.995   0.996   1.000   0.999   0.998   0.995
   -71.25   -32.75    1952       0       4   0.999   0.998   0.996   0.995   0.999   0.999   0.995   0.996   1.000   1.000   0.999   0.998
   -71.25   -32.75    1952     110       0   0.380   0.380   0.380   0.380   0.382   0.388   0.432   0.495   0.560   0.593   0.595   0.595
   -71.25   -32.75    1952     110       1   0.306   0.306   0.306   0.306   0.309   0.315   0.359   0.423   0.488   0.521   0.523   0.523
   -71.25   -32.75    1952     110       2   0.281   0.281   0.281   0.281   0.283   0.290   0.334   0.398   0.463   0.496   0.498   0.498
   -71.25   -32.75    1952     110       3   0.472   0.472   0.472   0.472   0.474   0.480   0.523   0.585   0.650   0.683   0.685   0.685
   -71.25   -32.75    1952     110       4   0.635   0.634   0.634   0.632   0.629   0.628   0.662   0.718   0.771   0.792   0.787   0.787
   -71.25   -32.75    1952     131       0   0.355   0.354   0.354   0.353   0.354   0.359   0.401   0.464   0.526   0.557   0.558   0.557
   -71.25   -32.75    1952     131       1   0.370   0.370   0.370   0.371   0.373   0.379   0.422   0.485   0.549   0.581   0.583   0.583
   -71.25   -32.75    1952     131       2   0.281   0.281   0.281   0.281   0.283   0.290   0.333   0.397   0.461   0.493   0.495   0.495
   -71.25   -32.75    1952     131       3   0.436   0.436   0.435   0.434   0.432   0.433   0.471   0.531   0.588   0.613   0.610   0.609
   -71.25   -32.75    1952     131       4   0.273   0.272   0.272   0.272   0.274   0.280   0.323   0.387   0.450   0.482   0.484   0.484
   -71.25   -32.75    1952     132       0   0.408   0.408   0.408   0.408   0.410   0.416   0.459   0.522   0.588   0.620   0.622   0.622
   -71.25   -32.75    1952     132       1   0.418   0.418   0.418   0.418   0.420   0.427   0.470   0.533   0.599   0.632   0.634   0.634
   -71.25   -32.75    1952     132       2   0.324   0.324   0.324   0.325   0.327   0.333   0.377   0.442   0.507   0.540   0.542   0.542
   -71.25   -32.75    1952     132       3   0.390   0.390   0.390   0.390   0.393   0.399   0.443   0.506   0.572   0.605   0.607   0.607
   -71.25   -32.75    1952     132       4   0.411   0.411   0.411   0.411   0.413   0.420   0.463   0.526   0.592   0.625   0.627   0.627
   -71.25   -32.75    1952     133       0   0.326   0.326   0.325   0.325   0.327   0.333   0.376   0.440   0.504   0.536   0.537   0.537
   -71.25   -32.75    1952     133       1   0.312   0.312   0.312   0.311   0.311   0.315   0.356   0.418   0.480   0.509   0.509   0.508
   -71.25   -32.75    1952     133       2   0.997   0.997   0.996   0.995   0.992   0.993   0.998   1.000   1.000   0.999   0.995   0.994
   -71.25   -32.75    1952     133       3   0.317   0.317   0.316   0.316   0.317   0.322   0.364   0.427   0.490   0.522   0.523   0.522
   -71.25   -32.75    1952     133       4   0.345   0.345   0.345   0.345   0.347   0.354   0.397   0.460   0.524   0.557   0.559   0.559
   -71.25   -32.75    1952     134       0   0.353   0.353   0.353   0.353   0.356   0.362   0.406   0.469   0.534   0.567   0.569   0.569
   -71.25   -32.75    1952     134       1   0.990   0.989   0.988   0.986   0.982   0.977   0.993   0.999   0.999   0.994   0.989   0.989
   -71.25   -32.75    1952     134       2   0.466   0.465   0.465   0.464   0.464   0.469   0.510   0.572   0.635   0.666   0.666   0.665
   -71.25   -32.75    1952     134       3   0.341   0.341   0.341   0.341   0.344   0.350   0.394   0.458   0.523   0.555   0.557   0.557
   -71.25   -32.75    1952     134       4   0.454   0.454   0.454   0.454   0.457   0.463   0.506   0.569   0.634   0.666   0.669   0.669
   -71.25   -32.75    1952     140       0   0.310   0.309   0.309   0.308   0.308   0.312   0.354   0.418   0.481   0.512   0.511   0.510
   -71.25   -32.75    1952     140       1   0.317   0.316   0.316   0.314   0.312   0.310   0.346   0.406   0.457   0.476   0.472   0.472
   -71.25   -32.75    1952     140       2   0.697   0.697   0.697   0.698   0.700   0.706   0.748   0.808   0.873   0.906   0.908   0.908
   -71.25   -32.75    1952     140       3   0.318   0.318   0.318   0.318   0.321   0.327   0.371   0.436   0.501   0.534   0.536   0.536
   -71.25   -32.75    1952     140       4   0.266   0.266   0.266   0.266   0.268   0.275   0.319   0.384   0.450   0.483   0.485   0.485
   -71.25   -32.75    1952     160       0   0.923   0.923   0.923   0.923   0.926   0.933   0.976   1.000   1.000   1.000   1.000   1.000
   -71.25   -32.75    1952     160       1   0.434   0.434   0.433   0.432   0.431   0.434   0.482   0.554   0.627   0.661   0.659   0.657
