      Lon      Lat    Year   Stand   Patch     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -71.25   -32.75    1950       0       0   0.000   0.000   0.001   0.063   0.079   0.752   0.856   0.826   0.569   0.218   0.087   0.000
   -71.25   -32.75    1950       0       1   0.000   0.000   0.001   0.083   0.088   0.758   0.848   0.813   0.556   0.240   0.145   0.004
   -71.25   -32.75    1950       0       2   0.000   0.000   0.001   0.046   0.068   0.743   0.862   0.833   0.578   0.188   0.025   0.000
   -71.25   -32.75    1950       0       3   0.000   0.000   0.002   0.154   0.158   0.788   0.839   0.803   0.559   0.298   0.243   0.086
   -71.25   -32.75    1950       0       4   0.000   0.000   0.001   0.117   0.101   0.770   0.844   0.809   0.560   0.272   0.201   0.027
   -71.25   -32.75    1950     110       0   0.000   0.000   0.002   0.087   0.088   0.739   0.827   0.788   0.516   0.213   0.133   0.003
   -71.25   -32.75    1950     110       1   0.000   0.000   0.002   0.048   0.062   0.712   0.840   0.804   0.515   0.138   0.021   0.001
   -71.25   -32.75    1950     110       2   0.000   0.000   0.002   0.040   0.060   0.715   0.848   0.814   0.518   0.117   0.012   0.001
   -71.25   -32.75    1950     110       3   0.000   0.000   0.002   0.156   0.165   0.777   0.820   0.781   0.529   0.283   0.238   0.089
   -71.25   -32.75    1950     110       4   0.000   0.000   0.002   0.106   0.104   0.758   0.820   0.780   0.507   0.220   0.158   0.013
   -71.25   -32.75    1950     131       0   0.000   0.000   0.002   0.071   0.078   0.727   0.828   0.791   0.512   0.178   0.074   0.001
   -71.25   -32.75    1950     131       1   0.000   0.000   0.001   0.092   0.087   0.739   0.821   0.782   0.513   0.222   0.153   0.007
   -71.25   -32.75    1950     131       2   0.000   0.000   0.002   0.045   0.062   0.712   0.837   0.802   0.508   0.128   0.019   0.001
   -71.25   -32.75    1950     131       3   0.000   0.000   0.001   0.051   0.083   0.736   0.824   0.786   0.486   0.132   0.035   0.001
   -71.25   -32.75    1950     131       4   0.000   0.000   0.002   0.041   0.060   0.711   0.841   0.806   0.509   0.118   0.014   0.001
   -71.25   -32.75    1950     132       0   0.000   0.000   0.002   0.108   0.097   0.750   0.824   0.784   0.517   0.237   0.173   0.017
   -71.25   -32.75    1950     132       1   0.000   0.000   0.002   0.119   0.099   0.754   0.826   0.787   0.526   0.252   0.194   0.028
   -71.25   -32.75    1950     132       2   0.000   0.000   0.001   0.064   0.073   0.731   0.836   0.799   0.525   0.185   0.076   0.000
   -71.25   -32.75    1950     132       3   0.000   0.000   0.002   0.097   0.092   0.748   0.828   0.790   0.524   0.230   0.160   0.009
   -71.25   -32.75    1950     132       4   0.000   0.000   0.001   0.114   0.095   0.752   0.826   0.787   0.526   0.248   0.188   0.023
   -71.25   -32.75    1950     133       0   0.000   0.000   0.002   0.059   0.070   0.715   0.829   0.791   0.505   0.153   0.040   0.001
   -71.25   -32.75    1950     133       1   0.000   0.000   0.001   0.062   0.070   0.722   0.827   0.790   0.509   0.170   0.066   0.000
   -71.25   -32.75    1950     133       2   0.065   0.037   0.019   0.193   0.245   0.796   0.810   0.772   0.526   0.304   0.268   0.140
   -71.25   -32.75    1950     133       3   0.000   0.000   0.002   0.059   0.068   0.716   0.827   0.789   0.503   0.156   0.046   0.001
   -71.25   -32.75    1950     133       4   0.000   0.000   0.002   0.071   0.078   0.725   0.824   0.786   0.506   0.184   0.087   0.001
   -71.25   -32.75    1950     134       0   0.000   0.000   0.002   0.068   0.078   0.728   0.832   0.793   0.515   0.180   0.072   0.001
   -71.25   -32.75    1950     134       1   0.000   0.000   0.002   0.068   0.090   0.741   0.816   0.776   0.473   0.138   0.063   0.004
   -71.25   -32.75    1950     134       2   0.000   0.000   0.001   0.113   0.108   0.760   0.821   0.780   0.512   0.237   0.178   0.021
   -71.25   -32.75    1950     134       3   0.000   0.000   0.002   0.061   0.072   0.723   0.835   0.798   0.516   0.162   0.043   0.001
   -71.25   -32.75    1950     134       4   0.000   0.000   0.001   0.118   0.112   0.762   0.822   0.781   0.517   0.248   0.190   0.027
   -71.25   -32.75    1950     140       0   0.000   0.000   0.002   0.048   0.062   0.716   0.849   0.817   0.536   0.148   0.020   0.001
   -71.25   -32.75    1950     140       1   0.000   0.000   0.002   0.026   0.052   0.699   0.821   0.782   0.391   0.041   0.008   0.002
   -71.25   -32.75    1950     140       2   0.000   0.000   0.002   0.146   0.164   0.778   0.820   0.779   0.523   0.272   0.225   0.071
   -71.25   -32.75    1950     140       3   0.000   0.000   0.002   0.053   0.065   0.715   0.838   0.801   0.516   0.148   0.029   0.001
   -71.25   -32.75    1950     140       4   0.000   0.000   0.001   0.040   0.059   0.715   0.847   0.812   0.520   0.124   0.014   0.000
   -71.25   -32.75    1950     160       0   0.000   0.000   0.002   0.152   0.178   0.784   0.822   0.782   0.526   0.278   0.230   0.081
