      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1950       0       0   -0.49   -0.26   -0.00    1.70    0.34    1.29
   -71.25   -32.75    1950       0       1   -0.49   -0.37   -0.00    1.36    0.37    0.86
   -71.25   -32.75    1950       0       2   -0.49   -0.44   -0.00    0.44    0.33   -0.15
   -71.25   -32.75    1950       0       3   -0.49   -0.38   -0.00    0.59    0.73    0.45
   -71.25   -32.75    1950       0       4   -0.49   -0.59   -0.00    0.61    0.57    0.09
   -71.25   -32.75    1950     110       0   -0.49   -0.98   -0.00    3.10    0.01    1.63
   -71.25   -32.75    1950     110       1   -0.49   -1.14   -0.00    6.55    0.01    4.93
   -71.25   -32.75    1950     110       2   -0.49   -1.28   -0.00    7.29    0.01    5.53
   -71.25   -32.75    1950     110       3   -0.49   -0.19   -0.00    0.85    0.01    0.18
   -71.25   -32.75    1950     110       4   -0.49   -0.58   -0.00    0.92    0.03   -0.13
   -71.25   -32.75    1950     131       0   -0.49   -0.56   -0.00    3.52    0.01    2.47
   -71.25   -32.75    1950     131       1   -0.49   -2.48   -0.00    1.90    0.01   -1.06
   -71.25   -32.75    1950     131       2   -0.49   -0.94   -0.00   20.09    0.01   18.66
   -71.25   -32.75    1950     131       3   -0.49   -1.22   -0.00    3.71    0.04    2.03
   -71.25   -32.75    1950     131       4   -0.49   -1.10   -0.00    6.47    0.01    4.89
   -71.25   -32.75    1950     132       0   -0.49   -1.55   -0.00    2.58    0.01    0.54
   -71.25   -32.75    1950     132       1   -0.49   -2.35   -0.00   11.83    0.01    8.99
   -71.25   -32.75    1950     132       2   -0.49   -2.26   -0.00    2.38    0.01   -0.36
   -71.25   -32.75    1950     132       3   -0.49   -1.48   -0.00    2.15    0.01    0.19
   -71.25   -32.75    1950     132       4   -0.49   -0.20   -0.00    1.26    0.01    0.58
   -71.25   -32.75    1950     133       0   -0.49   -1.12   -0.00    5.66    0.01    4.06
   -71.25   -32.75    1950     133       1   -0.49   -0.30   -0.00    2.29    0.01    1.50
   -71.25   -32.75    1950     133       2   -0.49   -0.49   -0.00    0.23    0.59   -0.17
   -71.25   -32.75    1950     133       3   -0.49   -1.15   -0.00    4.18    0.01    2.54
   -71.25   -32.75    1950     133       4   -0.49   -1.22   -0.00    3.55    0.01    1.84
   -71.25   -32.75    1950     134       0   -0.49   -1.08   -0.00    4.43    0.01    2.87
   -71.25   -32.75    1950     134       1   -0.49   -0.71   -0.00    2.00    0.92    1.71
   -71.25   -32.75    1950     134       2   -0.49   -1.58   -0.00    2.04    0.01   -0.03
   -71.25   -32.75    1950     134       3   -0.49   -0.99   -0.00   32.79    0.01   31.31
   -71.25   -32.75    1950     134       4   -0.49   -1.24   -0.00    1.78    0.01    0.05
   -71.25   -32.75    1950     140       0   -0.49   -1.48   -0.00    6.73    0.01    4.76
   -71.25   -32.75    1950     140       1   -0.49   -1.00   -0.00    0.75    0.01   -0.73
   -71.25   -32.75    1950     140       2   -0.49   -0.42   -0.00    0.74    0.07   -0.10
   -71.25   -32.75    1950     140       3   -0.49   -1.01   -0.00    5.25    0.01    3.75
   -71.25   -32.75    1950     140       4   -0.49   -0.87   -0.00   20.15    0.01   18.80
   -71.25   -32.75    1950     160       0   -0.49   -2.11   -0.00    1.06    0.08   -1.46
   -71.25   -32.75    1950     160       1   -0.49   -1.48   -0.00    2.79    0.01    0.83
   -71.25   -32.75    1950     160       2   -0.49   -1.24   -0.00    7.30    0.01    5.58
   -71.25   -32.75    1950     160       3   -0.49   -1.21   -0.00    5.86    1.08    5.23
   -71.25   -32.75    1950     160       4   -0.49   -0.29   -0.00    0.49    0.07   -0.23
   -71.25   -32.75    1951       0       0   -0.49   -0.22   -0.00    0.70    1.25    1.24
   -71.25   -32.75    1951       0       1   -0.49   -0.37   -0.00    4.68    1.38    5.21
   -71.25   -32.75    1951       0       2   -0.49   -0.34   -0.00    1.17    0.33    0.67
   -71.25   -32.75    1951       0       3   -0.49   -0.49   -0.00    0.73    1.56    1.31
   -71.25   -32.75    1951       0       4   -0.49   -0.39   -0.00    0.61    1.37    1.09
   -71.25   -32.75    1951     110       0   -0.49   -0.00   -0.00    1.62    0.03    1.16
   -71.25   -32.75    1951     110       1   -0.49   -0.00   -0.00    1.51    0.02    1.04
   -71.25   -32.75    1951     110       2   -0.49   -0.00   -0.00    1.62    0.01    1.14
   -71.25   -32.75    1951     110       3   -0.49   -0.04   -0.00    0.92    0.03    0.42
   -71.25   -32.75    1951     110       4   -0.49   -0.19   -0.00    2.03    0.04    1.39
   -71.25   -32.75    1951     131       0   -0.49   -0.10   -0.00    1.60    0.03    1.03
   -71.25   -32.75    1951     131       1   -0.49   -0.00   -0.00    1.19    0.02    0.72
   -71.25   -32.75    1951     131       2   -0.49   -0.01   -0.00    1.48    0.01    0.99
   -71.25   -32.75    1951     131       3   -0.49   -0.16   -0.00    1.37    0.04    0.76
   -71.25   -32.75    1951     131       4   -0.49   -0.09   -0.00    1.46    0.01    0.89
