      Lon      Lat    Year   Stand   Patch      NH3      NOx      N2O       N2    NSoil    Total
   -71.25   -32.75    1950       0       0    0.006    0.300    0.045    0.912    0.437    1.701
   -71.25   -32.75    1950       0       1    0.005    0.223    0.034    0.680    0.417    1.359
   -71.25   -32.75    1950       0       2    0.000    0.000    0.000    0.000    0.445    0.445
   -71.25   -32.75    1950       0       3    0.001    0.047    0.007    0.145    0.388    0.588
   -71.25   -32.75    1950       0       4    0.000    0.000    0.000    0.000    0.610    0.610
   -71.25   -32.75    1950     110       0    0.011    0.537    0.082    1.635    0.836    3.100
   -71.25   -32.75    1950     110       1    0.029    1.360    0.207    4.144    0.808    6.548
   -71.25   -32.75    1950     110       2    0.032    1.525    0.232    4.645    0.856    7.289
   -71.25   -32.75    1950     110       3    0.002    0.080    0.012    0.243    0.512    0.849
   -71.25   -32.75    1950     110       4    0.003    0.136    0.021    0.413    0.348    0.920
   -71.25   -32.75    1950     131       0    0.013    0.620    0.094    1.888    0.904    3.519
   -71.25   -32.75    1950     131       1    0.007    0.313    0.048    0.955    0.577    1.900
   -71.25   -32.75    1950     131       2    0.096    4.547    0.691   13.851    0.907   20.092
   -71.25   -32.75    1950     131       3    0.013    0.623    0.095    1.898    1.081    3.709
   -71.25   -32.75    1950     131       4    0.028    1.339    0.203    4.080    0.818    6.469
   -71.25   -32.75    1950     132       0    0.009    0.423    0.064    1.287    0.798    2.581
   -71.25   -32.75    1950     132       1    0.057    2.691    0.409    8.198    0.471   11.826
   -71.25   -32.75    1950     132       2    0.009    0.442    0.067    1.347    0.518    2.383
   -71.25   -32.75    1950     132       3    0.008    0.366    0.056    1.114    0.612    2.154
   -71.25   -32.75    1950     132       4    0.003    0.164    0.025    0.500    0.565    1.257
   -71.25   -32.75    1950     133       0    0.024    1.146    0.174    3.492    0.824    5.661
   -71.25   -32.75    1950     133       1    0.009    0.424    0.064    1.291    0.504    2.292
   -71.25   -32.75    1950     133       2    0.000    0.000    0.000    0.000    0.227    0.227
   -71.25   -32.75    1950     133       3    0.017    0.829    0.126    2.525    0.682    4.179
   -71.25   -32.75    1950     133       4    0.015    0.688    0.105    2.096    0.644    3.547
   -71.25   -32.75    1950     134       0    0.018    0.870    0.132    2.651    0.762    4.434
   -71.25   -32.75    1950     134       1    0.008    0.368    0.056    1.121    0.443    1.996
   -71.25   -32.75    1950     134       2    0.007    0.325    0.049    0.990    0.668    2.038
   -71.25   -32.75    1950     134       3    0.160    7.587    1.152   23.112    0.777   32.788
   -71.25   -32.75    1950     134       4    0.006    0.261    0.040    0.795    0.676    1.776
   -71.25   -32.75    1950     140       0    0.030    1.401    0.213    4.268    0.816    6.727
   -71.25   -32.75    1950     140       1    0.000    0.000    0.000    0.000    0.754    0.754
   -71.25   -32.75    1950     140       2    0.001    0.068    0.010    0.207    0.456    0.743
   -71.25   -32.75    1950     140       3    0.023    1.069    0.162    3.258    0.735    5.247
   -71.25   -32.75    1950     140       4    0.096    4.562    0.693   13.897    0.899   20.148
   -71.25   -32.75    1950     160       0    0.003    0.128    0.019    0.389    0.519    1.059
   -71.25   -32.75    1950     160       1    0.010    0.476    0.072    1.451    0.776    2.785
   -71.25   -32.75    1950     160       2    0.033    1.543    0.234    4.702    0.791    7.303
   -71.25   -32.75    1950     160       3    0.025    1.195    0.182    3.641    0.815    5.858
   -71.25   -32.75    1950     160       4    0.000    0.023    0.003    0.070    0.393    0.489
   -71.25   -32.75    1951       0       0    0.001    0.056    0.009    0.171    0.462    0.699
   -71.25   -32.75    1951       0       1    0.021    1.006    0.153    3.063    0.440    4.683
   -71.25   -32.75    1951       0       2    0.003    0.165    0.025    0.502    0.475    1.171
   -71.25   -32.75    1951       0       3    0.001    0.048    0.007    0.146    0.531    0.734
   -71.25   -32.75    1951       0       4    0.001    0.049    0.007    0.149    0.399    0.606
   -71.25   -32.75    1951     110       0    0.004    0.177    0.027    0.539    0.875    1.621
   -71.25   -32.75    1951     110       1    0.003    0.136    0.021    0.415    0.937    1.513
   -71.25   -32.75    1951     110       2    0.003    0.143    0.022    0.436    1.013    1.617
   -71.25   -32.75    1951     110       3    0.001    0.063    0.010    0.192    0.655    0.921
   -71.25   -32.75    1951     110       4    0.009    0.407    0.062    1.239    0.316    2.032
   -71.25   -32.75    1951     131       0    0.002    0.118    0.018    0.358    1.102    1.598
   -71.25   -32.75    1951     131       1    0.002    0.115    0.018    0.351    0.704    1.190
   -71.25   -32.75    1951     131       2    0.002    0.099    0.015    0.300    1.065    1.481
   -71.25   -32.75    1951     131       3    0.004    0.175    0.027    0.532    0.636    1.372
   -71.25   -32.75    1951     131       4    0.003    0.141    0.021    0.429    0.866    1.460
   -71.25   -32.75    1951     132       0    0.005    0.217    0.033    0.662    0.750    1.667
   -71.25   -32.75    1951     132       1    0.002    0.104    0.016    0.316    0.573    1.011
   -71.25   -32.75    1951     132       2    0.002    0.101    0.015    0.309    0.619    1.047
   -71.25   -32.75    1951     132       3    0.004    0.168    0.026    0.513    0.633    1.344
   -71.25   -32.75    1951     132       4    0.002    0.088    0.013    0.267    0.519    0.889
   -71.25   -32.75    1951     133       0    0.004    0.176    0.027    0.536    0.976    1.718
   -71.25   -32.75    1951     133       1    0.002    0.108    0.016    0.330    0.598    1.055
   -71.25   -32.75    1951     133       2    0.000    0.000    0.000    0.000    0.192    0.192
   -71.25   -32.75    1951     133       3    0.003    0.123    0.019    0.375    0.842    1.361
   -71.25   -32.75    1951     133       4    0.003    0.132    0.020    0.401    0.762    1.317
   -71.25   -32.75    1951     134       0    0.004    0.168    0.026    0.513    0.850    1.560
   -71.25   -32.75    1951     134       1    0.013    0.612    0.093    1.863    0.423    3.004
   -71.25   -32.75    1951     134       2    0.005    0.245    0.037    0.746    0.658    1.691
   -71.25   -32.75    1951     134       3    0.002    0.113    0.017    0.346    0.986    1.464
   -71.25   -32.75    1951     134       4    0.004    0.174    0.026    0.531    0.676    1.411
   -71.25   -32.75    1951     140       0    0.005    0.226    0.034    0.688    0.992    1.945
   -71.25   -32.75    1951     140       1    0.073    3.451    0.524   10.513    0.885   15.445
   -71.25   -32.75    1951     140       2    0.001    0.067    0.010    0.204    0.450    0.732
   -71.25   -32.75    1951     140       3    0.003    0.141    0.021    0.429    0.885    1.479
   -71.25   -32.75    1951     140       4    0.002    0.095    0.014    0.289    1.069    1.470
   -71.25   -32.75    1951     160       0    0.003    0.135    0.021    0.413    0.529    1.100
   -71.25   -32.75    1951     160       1    0.005    0.214    0.032    0.651    0.954    1.855
   -71.25   -32.75    1951     160       2    0.003    0.138    0.021    0.420    1.007    1.589
   -71.25   -32.75    1951     160       3    0.023    1.092    0.166    3.326    0.863    5.470
   -71.25   -32.75    1951     160       4    0.001    0.033    0.005    0.101    0.289    0.429
   -71.25   -32.75    1952       0       0    0.001    0.032    0.005    0.096    0.755    0.888
   -71.25   -32.75    1952       0       1    0.002    0.081    0.012    0.247    0.731    1.073
   -71.25   -32.75    1952       0       2    0.005    0.233    0.035    0.709    0.714    1.696
   -71.25   -32.75    1952       0       3    0.001    0.055    0.008    0.167    0.502    0.734
   -71.25   -32.75    1952       0       4    0.001    0.032    0.005    0.099    0.600    0.737
   -71.25   -32.75    1952     110       0    0.002    0.098    0.015    0.298    1.034    1.447
   -71.25   -32.75    1952     110       1    0.002    0.074    0.011    0.224    1.241    1.551
   -71.25   -32.75    1952     110       2    0.002    0.077    0.012    0.235    1.348    1.673
   -71.25   -32.75    1952     110       3    0.001    0.046    0.007    0.139    0.535    0.727
   -71.25   -32.75    1952     110       4    0.016    0.776    0.118    2.363    0.379    3.651
   -71.25   -32.75    1952     131       0    0.002    0.118    0.018    0.359    0.978    1.475
   -71.25   -32.75    1952     131       1    0.001    0.065    0.010    0.198    0.850    1.124
   -71.25   -32.75    1952     131       2    0.001    0.051    0.008    0.156    1.324    1.541
   -71.25   -32.75    1952     131       3    0.006    0.297    0.045    0.903    0.929    2.180
   -71.25   -32.75    1952     131       4    0.002    0.093    0.014    0.282    1.166    1.557
   -71.25   -32.75    1952     132       0    0.003    0.137    0.021    0.417    1.006    1.583
   -71.25   -32.75    1952     132       1    0.001    0.061    0.009    0.185    0.673    0.930
   -71.25   -32.75    1952     132       2    0.001    0.056    0.009    0.172    0.818    1.056
   -71.25   -32.75    1952     132       3    0.002    0.097    0.015    0.297    0.765    1.175
   -71.25   -32.75    1952     132       4    0.001    0.050    0.008    0.151    0.656    0.866
   -71.25   -32.75    1952     133       0    0.002    0.109    0.017    0.333    1.215    1.676
   -71.25   -32.75    1952     133       1    0.003    0.142    0.022    0.434    0.784    1.385
   -71.25   -32.75    1952     133       2    0.000    0.000    0.000    0.000    0.199    0.199
   -71.25   -32.75    1952     133       3    0.002    0.108    0.016    0.329    1.187    1.643
   -71.25   -32.75    1952     133       4    0.001    0.070    0.011    0.213    1.097    1.392
   -71.25   -32.75    1952     134       0    0.002    0.095    0.014    0.288    1.111    1.510
   -71.25   -32.75    1952     134       1    0.022    1.039    0.158    3.164    0.530    4.912
   -71.25   -32.75    1952     134       2    0.006    0.280    0.042    0.852    0.812    1.993
   -71.25   -32.75    1952     134       3    0.001    0.061    0.009    0.187    1.192    1.451
   -71.25   -32.75    1952     134       4    0.002    0.096    0.015    0.292    0.893    1.297
   -71.25   -32.75    1952     140       0    0.006    0.268    0.041    0.817    1.276    2.408
   -71.25   -32.75    1952     140       1    0.022    1.031    0.157    3.139    0.853    5.201
   -71.25   -32.75    1952     140       2    0.001    0.037    0.006    0.112    0.619    0.774
   -71.25   -32.75    1952     140       3    0.002    0.076    0.012    0.232    1.100    1.422
   -71.25   -32.75    1952     140       4    0.001    0.050    0.008    0.154    1.270    1.482
   -71.25   -32.75    1952     160       0    0.002    0.083    0.013    0.252    0.741    1.090
   -71.25   -32.75    1952     160       1    0.007    0.309    0.047    0.940    0.815    2.118
   -71.25   -32.75    1952     160       2    0.020    0.934    0.142    2.845    1.304    5.244
   -71.25   -32.75    1952     160       3    0.034    1.627    0.247    4.955    0.870    7.733
   -71.25   -32.75    1952     160       4    0.001    0.030    0.005    0.093    0.284    0.412
   -71.25   -32.75    1953       0       0    0.001    0.041    0.006    0.125    0.420    0.594
   -71.25   -32.75    1953       0       1    0.005    0.227    0.035    0.693    0.418    1.378
   -71.25   -32.75    1953       0       2    0.020    0.956    0.145    2.914    0.419    4.455
   -71.25   -32.75    1953       0       3    0.004    0.180    0.027    0.548    0.325    1.084
