      Lon      Lat    Year   Stand   Patch     TeBE_tm    TeBE_itm  TeBE_itscl     TeBS_tm    TeBS_itm       TeE_s       TeR_s        TeNE     BBS_itm     BBE_itm        BE_s         C3G   Total
   -71.25   -32.75    1950       0       0        0.00        0.00        0.76        0.00        0.16       51.44        0.00        0.00        0.00        0.00        0.00       18.48   70.83
   -71.25   -32.75    1950       0       1        0.00        0.00        0.00        0.60        0.00       61.11        0.00        0.00        0.00        0.00        0.00       19.15   80.86
   -71.25   -32.75    1950       0       2        0.47        0.64        6.88        3.57        5.41       42.93        0.00        0.00        0.00        0.00        0.00       58.91  118.81
   -71.25   -32.75    1950       0       3        0.00        0.00        3.94        0.00        0.00       23.22        0.00        0.00        0.00        0.00        0.00        3.85   31.00
   -71.25   -32.75    1950       0       4        0.00        0.00        0.34        0.00        0.00       38.12        0.00        0.00        0.00        0.00        0.00        2.95   41.41
   -71.25   -32.75    1950     110       0        0.00        0.00        1.68        0.00        0.00        4.29      110.31        0.00        0.00        0.00        0.00        1.01  117.29
   -71.25   -32.75    1950     110       1        0.00        0.00        5.46        0.00        0.00        7.02      102.15        0.00        0.00        0.00        0.00        0.79  115.43
   -71.25   -32.75    1950     110       2        0.00        0.00        5.31        0.00        0.00        2.86      118.02        0.00        0.00        0.00        0.00        1.45  127.63
   -71.25   -32.75    1950     110       3        0.00        0.00        6.70        0.00        0.00       22.13        0.00        0.00        0.00        0.00        0.00        2.63   31.46
   -71.25   -32.75    1950     110       4        0.00        0.00       27.80        0.00        0.00       35.87        0.00        0.00        0.00        0.00        0.00        9.25   72.93
   -71.25   -32.75    1950     131       0        0.00        0.00        2.55        0.00        0.00        0.00       58.93        0.00        0.00        0.00        0.00        2.18   63.66
   -71.25   -32.75    1950     131       1        0.00        0.00        1.32        0.00        0.00       45.09       28.22        0.00        0.00        0.00        0.00        2.71   77.33
   -71.25   -32.75    1950     131       2        0.00        0.00        5.54        0.00        0.00       10.26       73.51        0.00        0.00        0.00        0.00        1.72   91.03
   -71.25   -32.75    1950     131       3        0.03        0.00        2.20        0.00        0.00       54.54       11.39        0.00        0.00        0.00        0.00       26.52   94.69
   -71.25   -32.75    1950     131       4        0.84        1.10        6.60        0.00        0.00        9.78       93.43        0.00        0.00        0.00        0.00        1.62  113.37
   -71.25   -32.75    1950     132       0        0.00        0.00        1.34        0.00        0.00        7.86      141.35        0.00        0.00        0.00        0.00        4.26  154.81
   -71.25   -32.75    1950     132       1        0.00        0.00        7.17        0.00        0.00       28.18       16.24        0.00        0.00        0.00        0.00        1.58   53.17
   -71.25   -32.75    1950     132       2        0.00        0.00        1.95        0.00        0.00       48.46       36.84        0.00        0.00        0.00        0.00       21.52  108.77
   -71.25   -32.75    1950     132       3        0.00        0.00       14.63        0.00        0.00        9.89       73.05        0.00        0.00        0.00        0.00        2.12   99.69
   -71.25   -32.75    1950     132       4        0.00        0.00       15.33        0.00        0.00       47.50        0.00        0.00        0.00        0.00        0.00        0.73   63.56
   -71.25   -32.75    1950     133       0        0.00        0.00        5.44        0.00        0.00        4.21      128.16        0.00        0.00        0.00        0.00        4.51  142.32
   -71.25   -32.75    1950     133       1        0.00        0.00        1.24        0.00        0.00       63.57        0.00        0.00        0.00        0.00        0.00        6.85   71.66
   -71.25   -32.75    1950     133       2        0.00        0.00        0.00        0.00        0.00        0.00        3.05        0.00        0.00        0.00        0.00        1.24    4.30
   -71.25   -32.75    1950     133       3        0.00        0.00        2.70        0.00        0.00       34.42       66.45        0.00        0.00        0.00        0.00        3.09  106.66
   -71.25   -32.75    1950     133       4        0.00        0.00        4.19        0.00        0.00       16.24       93.12        0.00        0.00        0.00        0.00        0.29  113.84
   -71.25   -32.75    1950     134       0        0.00        0.00        1.39        0.00        0.00        4.27      122.15        0.00        0.00        0.00        0.00        1.74  129.55
   -71.25   -32.75    1950     134       1        0.00        0.00        8.68        0.00        0.00       29.96        0.00        0.00        0.00        0.00        0.00       28.34   66.99
   -71.25   -32.75    1950     134       2        0.00        0.00        9.19        0.00        0.00        0.00      109.08        0.00        0.00        0.00        0.00        7.71  125.98
   -71.25   -32.75    1950     134       3        0.00        0.00        5.01        0.00        0.00        2.01       93.40        0.00        0.00        0.00        0.00        2.75  103.16
   -71.25   -32.75    1950     134       4        0.00        0.00        0.00        0.00        0.00        3.69      117.25        0.00        0.00        0.00        0.00        1.51  122.46
   -71.25   -32.75    1950     140       0        0.00        0.00        6.08        0.00        0.00        1.73      126.12        0.00        0.00        0.00        0.00        6.76  140.70
   -71.25   -32.75    1950     140       1        0.00        0.00       42.22        0.00        0.00        5.37        0.00        0.00        0.00        0.00        0.00       97.57  145.15
   -71.25   -32.75    1950     140       2        0.00        0.00        7.08        0.00        0.00       58.41        0.00        0.00        0.00        0.00        0.00        0.39   65.88
   -71.25   -32.75    1950     140       3        0.00        0.00       16.73        0.00        0.00        4.09      100.46        0.00        0.00        0.00        0.00       13.48  134.75
   -71.25   -32.75    1950     140       4        0.00        0.00       11.89        0.00        0.00       12.42       66.58        0.00        0.00        0.00        0.00        1.61   92.50
   -71.25   -32.75    1950     160       0        0.00        0.00        5.38        0.00        0.00        0.00      104.17        0.00        0.00        0.00        0.00        1.41  110.97
   -71.25   -32.75    1950     160       1        0.00        0.00        3.47        0.00        0.00       11.95       43.16        0.00        0.00        0.00        0.00        5.03   63.61
   -71.25   -32.75    1950     160       2        0.00        0.00        6.81        0.00        0.00        3.17      116.18        0.00        0.00        0.00        0.00        1.14  127.30
   -71.25   -32.75    1950     160       3        0.00        0.00       19.22        0.00        0.00        1.99       20.52        0.00        0.00        0.00        0.00       96.88  138.61
   -71.25   -32.75    1950     160       4        0.00        0.00       11.47        0.00        0.00        8.89        0.00        0.00        0.00        0.00        0.00        0.27   20.63
   -71.25   -32.75    1951       0       0        0.00        0.00        0.00        0.00        0.18        0.00        0.00        0.00        0.00        0.00        0.00       18.50   18.68
   -71.25   -32.75    1951       0       1        0.00        0.00        0.00        0.63        0.00        0.00        0.00        0.00        0.00        0.00        0.00       15.68   16.32
   -71.25   -32.75    1951       0       2        0.47        0.62        0.00        3.71        5.66        0.00        0.00        0.00        0.00        0.00        0.00       59.55   70.01
   -71.25   -32.75    1951       0       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        4.20    4.20
   -71.25   -32.75    1951       0       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        3.08    3.08
   -71.25   -32.75    1951     110       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.01    1.01
   -71.25   -32.75    1951     110       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.79    0.79
   -71.25   -32.75    1951     110       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.45    1.45
   -71.25   -32.75    1951     110       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.67    2.67
   -71.25   -32.75    1951     110       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       14.99   14.99
   -71.25   -32.75    1951     131       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.30    2.30
   -71.25   -32.75    1951     131       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.71    2.71
   -71.25   -32.75    1951     131       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.99    0.99
   -71.25   -32.75    1951     131       3        0.02        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       24.72   24.74
   -71.25   -32.75    1951     131       4        0.00        0.95        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        1.40    2.35
   -71.25   -32.75    1951     132       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        3.93    3.93
   -71.25   -32.75    1951     132       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.97    0.97
   -71.25   -32.75    1951     132       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00       21.52   21.52
   -71.25   -32.75    1951     132       3        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        2.12    2.12
   -71.25   -32.75    1951     132       4        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.74    0.74
   -71.25   -32.75    1951     133       0        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        4.32    4.32
   -71.25   -32.75    1951     133       1        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        7.07    7.07
   -71.25   -32.75    1951     133       2        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        4.37    4.37
