      Lon      Lat    Year   Stand   Patch     VegN  LitterN    SoilN     Total
   -71.25   -32.75    1950       0       0   0.0019   0.0030   1.1212    1.1260
   -71.25   -32.75    1950       0       1   0.0037   0.0031   1.1124    1.1192
   -71.25   -32.75    1950       0       2   0.0101   0.0031   1.1187    1.1319
   -71.25   -32.75    1950       0       3   0.0105   0.0031   1.1039    1.1175
   -71.25   -32.75    1950       0       4   0.0108   0.0024   1.1135    1.1267
   -71.25   -32.75    1950     110       0   0.0109   0.0057   0.7528    0.7694
   -71.25   -32.75    1950     110       1   0.0109   0.0053   0.7377    0.7540
   -71.25   -32.75    1950     110       2   0.0111   0.0051   0.7592    0.7755
   -71.25   -32.75    1950     110       3   0.0114   0.0044   0.7402    0.7560
   -71.25   -32.75    1950     110       4   0.0118   0.0018   0.7153    0.7289
   -71.25   -32.75    1950     131       0   0.0119   0.0055   0.7589    0.7763
   -71.25   -32.75    1950     131       1   0.0122   0.0046   0.7527    0.7695
   -71.25   -32.75    1950     131       2   0.0123   0.0058   0.7873    0.8054
   -71.25   -32.75    1950     131       3   0.0143   0.0032   0.7354    0.7528
   -71.25   -32.75    1950     131       4   0.0145   0.0048   0.7466    0.7658
   -71.25   -32.75    1950     132       0   0.0149   0.0053   0.7334    0.7535
   -71.25   -32.75    1950     132       1   0.0149   0.0049   0.7379    0.7577
   -71.25   -32.75    1950     132       2   0.0171   0.0028   0.7236    0.7435
   -71.25   -32.75    1950     132       3   0.0173   0.0053   0.7456    0.7682
   -71.25   -32.75    1950     132       4   0.0174   0.0033   0.7407    0.7614
   -71.25   -32.75    1950     133       0   0.0178   0.0050   0.7673    0.7901
   -71.25   -32.75    1950     133       1   0.0183   0.0028   0.7335    0.7546
   -71.25   -32.75    1950     133       2   0.0184   0.0005   0.7092    0.7281
   -71.25   -32.75    1950     133       3   0.0186   0.0038   0.7379    0.7603
   -71.25   -32.75    1950     133       4   0.0186   0.0039   0.7447    0.7672
   -71.25   -32.75    1950     134       0   0.0188   0.0049   0.7628    0.7865
   -71.25   -32.75    1950     134       1   0.0201   0.0021   0.7279    0.7501
   -71.25   -32.75    1950     134       2   0.0206   0.0050   0.7592    0.7849
   -71.25   -32.75    1950     134       3   0.0208   0.0054   0.7438    0.7700
   -71.25   -32.75    1950     134       4   0.0210   0.0041   0.7524    0.7774
   -71.25   -32.75    1950     140       0   0.0214   0.0052   0.7387    0.7653
   -71.25   -32.75    1950     140       1   0.0256   0.0039   0.7294    0.7588
   -71.25   -32.75    1950     140       2   0.0256   0.0020   0.7256    0.7532
   -71.25   -32.75    1950     140       3   0.0270   0.0043   0.7276    0.7588
   -71.25   -32.75    1950     140       4   0.0270   0.0057   0.7224    0.7551
   -71.25   -32.75    1950     160       0   0.0272   0.0033   0.7086    0.7391
   -71.25   -32.75    1950     160       1   0.0274   0.0068   0.7034    0.7377
   -71.25   -32.75    1950     160       2   0.0274   0.0051   0.7227    0.7552
   -71.25   -32.75    1950     160       3   0.0321   0.0037   0.7107    0.7464
   -71.25   -32.75    1950     160       4   0.0321   0.0018   0.6951    0.7290
   -71.25   -32.75    1951       0       0   0.0019   0.0043   1.1273    1.1335
   -71.25   -32.75    1951       0       1   0.0028   0.0051   1.1190    1.1270
   -71.25   -32.75    1951       0       2   0.0092   0.0047   1.1235    1.1374
   -71.25   -32.75    1951       0       3   0.0096   0.0034   1.1028    1.1158
   -71.25   -32.75    1951       0       4   0.0098   0.0036   1.1168    1.1302
   -71.25   -32.75    1951     110       0   0.0099   0.0104   0.7597    0.7800
   -71.25   -32.75    1951     110       1   0.0100   0.0087   0.7481    0.7668
   -71.25   -32.75    1951     110       2   0.0102   0.0091   0.7699    0.7892
   -71.25   -32.75    1951     110       3   0.0104   0.0044   0.7390    0.7538
   -71.25   -32.75    1951     110       4   0.0111   0.0054   0.7198    0.7363
   -71.25   -32.75    1951     131       0   0.0113   0.0063   0.7599    0.7775
   -71.25   -32.75    1951     131       1   0.0115   0.0070   0.7584    0.7770
   -71.25   -32.75    1951     131       2   0.0116   0.0068   0.7953    0.8137
   -71.25   -32.75    1951     131       3   0.0136   0.0050   0.7450    0.7635
   -71.25   -32.75    1951     131       4   0.0138   0.0084   0.7566    0.7787
   -71.25   -32.75    1951     132       0   0.0142   0.0121   0.7430    0.7692
   -71.25   -32.75    1951     132       1   0.0143   0.0062   0.7413    0.7617
   -71.25   -32.75    1951     132       2   0.0164   0.0064   0.7306    0.7534
   -71.25   -32.75    1951     132       3   0.0166   0.0096   0.7510    0.7773
   -71.25   -32.75    1951     132       4   0.0167   0.0054   0.7459    0.7680
   -71.25   -32.75    1951     133       0   0.0171   0.0103   0.7770    0.8044
   -71.25   -32.75    1951     133       1   0.0176   0.0049   0.7403    0.7628
   -71.25   -32.75    1951     133       2   0.0178   0.0007   0.7076    0.7261
   -71.25   -32.75    1951     133       3   0.0180   0.0070   0.7481    0.7731
   -71.25   -32.75    1951     133       4   0.0181   0.0081   0.7549    0.7811
   -71.25   -32.75    1951     134       0   0.0182   0.0100   0.7723    0.8006
   -71.25   -32.75    1951     134       1   0.0203   0.0039   0.7310    0.7552
   -71.25   -32.75    1951     134       2   0.0208   0.0106   0.7667    0.7982
   -71.25   -32.75    1951     134       3   0.0210   0.0074   0.7513    0.7797
   -71.25   -32.75    1951     134       4   0.0211   0.0100   0.7605    0.7916
   -71.25   -32.75    1951     140       0   0.0214   0.0098   0.7499    0.7811
   -71.25   -32.75    1951     140       1   0.0237   0.0069   0.7319    0.7624
   -71.25   -32.75    1951     140       2   0.0237   0.0044   0.7320    0.7601
   -71.25   -32.75    1951     140       3   0.0251   0.0088   0.7373    0.7711
   -71.25   -32.75    1951     140       4   0.0252   0.0067   0.7306    0.7624
   -71.25   -32.75    1951     160       0   0.0253   0.0086   0.7159    0.7498
   -71.25   -32.75    1951     160       1   0.0255   0.0072   0.7062    0.7389
   -71.25   -32.75    1951     160       2   0.0259   0.0091   0.7339    0.7689
   -71.25   -32.75    1951     160       3   0.0305   0.0057   0.7147    0.7509
   -71.25   -32.75    1951     160       4   0.0305   0.0027   0.6940    0.7273
   -71.25   -32.75    1952       0       0   0.0019   0.0027   1.1213    1.1259
   -71.25   -32.75    1952       0       1   0.0029   0.0035   1.1139    1.1203
   -71.25   -32.75    1952       0       2   0.0095   0.0033   1.1183    1.1311
   -71.25   -32.75    1952       0       3   0.0099   0.0024   1.0989    1.1112
   -71.25   -32.75    1952       0       4   0.0102   0.0023   1.1121    1.1246
   -71.25   -32.75    1952     110       0   0.0102   0.0072   0.7525    0.7700
   -71.25   -32.75    1952     110       1   0.0103   0.0057   0.7387    0.7547
   -71.25   -32.75    1952     110       2   0.0104   0.0060   0.7596    0.7760
   -71.25   -32.75    1952     110       3   0.0107   0.0032   0.7349    0.7488
   -71.25   -32.75    1952     110       4   0.0125   0.0041   0.7181    0.7347
   -71.25   -32.75    1952     131       0   0.0126   0.0042   0.7523    0.7692
   -71.25   -32.75    1952     131       1   0.0129   0.0048   0.7521    0.7698
   -71.25   -32.75    1952     131       2   0.0130   0.0041   0.7847    0.8019
   -71.25   -32.75    1952     131       3   0.0151   0.0030   0.7382    0.7563
   -71.25   -32.75    1952     131       4   0.0154   0.0055   0.7478    0.7687
   -71.25   -32.75    1952     132       0   0.0157   0.0084   0.7366    0.7608
   -71.25   -32.75    1952     132       1   0.0158   0.0045   0.7362    0.7566
   -71.25   -32.75    1952     132       2   0.0180   0.0043   0.7244    0.7468
   -71.25   -32.75    1952     132       3   0.0182   0.0071   0.7459    0.7712
   -71.25   -32.75    1952     132       4   0.0183   0.0037   0.7410    0.7630
   -71.25   -32.75    1952     133       0   0.0187   0.0069   0.7682    0.7938
   -71.25   -32.75    1952     133       1   0.0193   0.0033   0.7343    0.7568
   -71.25   -32.75    1952     133       2   0.0200   0.0006   0.7059    0.7266
   -71.25   -32.75    1952     133       3   0.0202   0.0043   0.7390    0.7635
   -71.25   -32.75    1952     133       4   0.0203   0.0053   0.7468    0.7724
   -71.25   -32.75    1952     134       0   0.0204   0.0068   0.7644    0.7917
   -71.25   -32.75    1952     134       1   0.0243   0.0031   0.7299    0.7573
   -71.25   -32.75    1952     134       2   0.0249   0.0076   0.7617    0.7942
   -71.25   -32.75    1952     134       3   0.0251   0.0047   0.7421    0.7719
   -71.25   -32.75    1952     134       4   0.0252   0.0070   0.7546    0.7868
   -71.25   -32.75    1952     140       0   0.0256   0.0065   0.7405    0.7726
   -71.25   -32.75    1952     140       1   0.0301   0.0064   0.7379    0.7743
   -71.25   -32.75    1952     140       2   0.0301   0.0028   0.7273    0.7603
   -71.25   -32.75    1952     140       3   0.0314   0.0058   0.7292    0.7665
   -71.25   -32.75    1952     140       4   0.0315   0.0040   0.7206    0.7561
   -71.25   -32.75    1952     160       0   0.0317   0.0060   0.7110    0.7486
   -71.25   -32.75    1952     160       1   0.0322   0.0049   0.7005    0.7377
   -71.25   -32.75    1952     160       2   0.0327   0.0060   0.7243    0.7629
   -71.25   -32.75    1952     160       3   0.0377   0.0045   0.7129    0.7550
   -71.25   -32.75    1952     160       4   0.0377   0.0022   0.6917    0.7316
   -71.25   -32.75    1953       0       0   0.0019   0.0020   1.1178    1.1217
   -71.25   -32.75    1953       0       1   0.0030   0.0026   1.1108    1.1165
   -71.25   -32.75    1953       0       2   0.0103   0.0026   1.1157    1.1286
   -71.25   -32.75    1953       0       3   0.0108   0.0019   1.0963    1.1090
   -71.25   -32.75    1953       0       4   0.0111   0.0017   1.1089    1.1218
   -71.25   -32.75    1953     110       0   0.0111   0.0054   0.7489    0.7654
   -71.25   -32.75    1953     110       1   0.0112   0.0042   0.7343    0.7497
   -71.25   -32.75    1953     110       2   0.0114   0.0043   0.7547    0.7704
   -71.25   -32.75    1953     110       3   0.0116   0.0025   0.7319    0.7460
   -71.25   -32.75    1953     110       4   0.0135   0.0030   0.7189    0.7354
   -71.25   -32.75    1953     131       0   0.0141   0.0029   0.7481    0.7652
   -71.25   -32.75    1953     131       1   0.0144   0.0036   0.7486    0.7666
   -71.25   -32.75    1953     131       2   0.0145   0.0028   0.7795    0.7968
   -71.25   -32.75    1953     131       3   0.0158   0.0020   0.7356    0.7534
   -71.25   -32.75    1953     131       4   0.0159   0.0040   0.7439    0.7638
   -71.25   -32.75    1953     132       0   0.0163   0.0064   0.7338    0.7566
   -71.25   -32.75    1953     132       1   0.0164   0.0036   0.7331    0.7531
   -71.25   -32.75    1953     132       2   0.0186   0.0033   0.7215    0.7434
   -71.25   -32.75    1953     132       3   0.0188   0.0055   0.7432    0.7675
   -71.25   -32.75    1953     132       4   0.0189   0.0029   0.7383    0.7601
   -71.25   -32.75    1953     133       0   0.0193   0.0051   0.7644    0.7888
   -71.25   -32.75    1953     133       1   0.0199   0.0024   0.7316    0.7539
   -71.25   -32.75    1953     133       2   0.0221   0.0007   0.7052    0.7279
   -71.25   -32.75    1953     133       3   0.0225   0.0030   0.7347    0.7603
   -71.25   -32.75    1953     133       4   0.0226   0.0038   0.7430    0.7693
   -71.25   -32.75    1953     134       0   0.0227   0.0050   0.7608    0.7886
   -71.25   -32.75    1953     134       1   0.0281   0.0027   0.7313    0.7621
   -71.25   -32.75    1953     134       2   0.0289   0.0056   0.7595    0.7939
