      Lon      Lat    Year   Stand   Patch     dep     fix    fert   input    min    imm netmin  Total
   -71.25   -32.75    1950       0       0    0.49    0.26    0.00    0.75 119.43  99.47  19.96  20.71
   -71.25   -32.75    1950       0       1    0.49    0.37    0.00    0.86 112.31  94.07  18.24  19.10
   -71.25   -32.75    1950       0       2    0.49    0.44    0.00    0.93 114.34  89.65  24.69  25.62
   -71.25   -32.75    1950       0       3    0.49    0.38    0.00    0.87 124.12 128.51  -4.39  -3.52
   -71.25   -32.75    1950       0       4    0.49    0.59    0.00    1.09 138.96  82.58  56.38  57.47
   -71.25   -32.75    1950     110       0    0.49    0.98    0.00    1.48 198.98 157.74  41.24  42.71
   -71.25   -32.75    1950     110       1    0.49    1.14    0.00    1.63 186.29 137.33  48.97  50.59
   -71.25   -32.75    1950     110       2    0.49    1.28    0.00    1.77 191.49 132.81  58.68  60.44
   -71.25   -32.75    1950     110       3    0.49    0.19    0.00    0.68 151.18 145.27   5.91   6.59
   -71.25   -32.75    1950     110       4    0.49    0.58    0.00    1.07  79.39  57.44  21.95  23.03
   -71.25   -32.75    1950     131       0    0.49    0.56    0.00    1.06 231.88 214.04  17.85  18.90
   -71.25   -32.75    1950     131       1    0.49    2.48    0.00    2.97 152.99 128.10  24.89  27.86
   -71.25   -32.75    1950     131       2    0.49    0.94    0.00    1.44 206.61 154.38  52.23  53.67
   -71.25   -32.75    1950     131       3    0.49    1.22    0.00    1.71 199.58 102.22  97.36  99.08
   -71.25   -32.75    1950     131       4    0.49    1.10    0.00    1.59 181.50 125.59  55.91  57.50
   -71.25   -32.75    1950     132       0    0.49    1.55    0.00    2.05 166.72 106.27  60.45  62.50
   -71.25   -32.75    1950     132       1    0.49    2.35    0.00    2.84 129.59 106.66  22.93  25.77
   -71.25   -32.75    1950     132       2    0.49    2.26    0.00    2.75 128.12  99.93  28.20  30.94
   -71.25   -32.75    1950     132       3    0.49    1.48    0.00    1.97 151.98 113.09  38.89  40.86
   -71.25   -32.75    1950     132       4    0.49    0.20    0.00    0.69 132.99  97.43  35.56  36.25
   -71.25   -32.75    1950     133       0    0.49    1.12    0.00    1.61 188.11 141.57  46.54  48.15
   -71.25   -32.75    1950     133       1    0.49    0.30    0.00    0.80 128.87 108.09  20.78  21.58
   -71.25   -32.75    1950     133       2    0.49    0.49    0.00    0.99  39.11  16.92  22.19  23.18
   -71.25   -32.75    1950     133       3    0.49    1.15    0.00    1.65 165.44 128.58  36.86  38.50
   -71.25   -32.75    1950     133       4    0.49    1.22    0.00    1.72 151.55 111.61  39.94  41.66
   -71.25   -32.75    1950     134       0    0.49    1.08    0.00    1.57 179.92 135.83  44.10  45.67
   -71.25   -32.75    1950     134       1    0.49    0.71    0.00    1.21  98.35  67.64  30.71  31.91
   -71.25   -32.75    1950     134       2    0.49    1.58    0.00    2.07 153.51 109.14  44.37  46.45
   -71.25   -32.75    1950     134       3    0.49    0.99    0.00    1.48 183.44 144.57  38.87  40.35
   -71.25   -32.75    1950     134       4    0.49    1.24    0.00    1.74 149.15 110.78  38.36  40.10
   -71.25   -32.75    1950     140       0    0.49    1.48    0.00    1.98 185.79 136.08  49.71  51.69
   -71.25   -32.75    1950     140       1    0.49    1.00    0.00    1.49 166.26 126.25  40.01  41.50
   -71.25   -32.75    1950     140       2    0.49    0.42    0.00    0.91 104.69  76.66  28.03  28.94
   -71.25   -32.75    1950     140       3    0.49    1.01    0.00    1.50 168.45 131.59  36.86  38.36
   -71.25   -32.75    1950     140       4    0.49    0.87    0.00    1.36 205.87 158.06  47.81  49.17
   -71.25   -32.75    1950     160       0    0.49    2.11    0.00    2.60 116.12  69.63  46.50  49.10
   -71.25   -32.75    1950     160       1    0.49    1.48    0.00    1.97 213.61 216.72  -3.12  -1.15
   -71.25   -32.75    1950     160       2    0.49    1.24    0.00    1.73 181.01 131.50  49.51  51.24
   -71.25   -32.75    1950     160       3    0.49    1.21    0.00    1.70 175.02 132.61  42.41  44.12
   -71.25   -32.75    1950     160       4    0.49    0.29    0.00    0.78  90.03  55.59  34.44  35.22
   -71.25   -32.75    1951       0       0    0.49    0.22    0.00    0.71 171.81 195.27 -23.46 -22.75
   -71.25   -32.75    1951       0       1    0.49    0.37    0.00    0.86 164.18 189.52 -25.34 -24.48
   -71.25   -32.75    1951       0       2    0.49    0.34    0.00    0.83 159.06 169.76 -10.70  -9.87
   -71.25   -32.75    1951       0       3    0.49    0.49    0.00    0.98 154.45 120.95  33.49  34.47
   -71.25   -32.75    1951       0       4    0.49    0.39    0.00    0.89 143.81 151.15  -7.34  -6.45
   -71.25   -32.75    1951     110       0    0.49    0.00    0.00    0.49 271.17 270.82   0.35   0.84
   -71.25   -32.75    1951     110       1    0.49    0.00    0.00    0.49 291.01 314.60 -23.59 -23.09
   -71.25   -32.75    1951     110       2    0.49    0.00    0.00    0.49 307.51 328.64 -21.13 -20.64
   -71.25   -32.75    1951     110       3    0.49    0.04    0.00    0.53 178.92 137.93  40.99  41.52
   -71.25   -32.75    1951     110       4    0.49    0.19    0.00    0.68 113.81 126.91 -13.10 -12.42
   -71.25   -32.75    1951     131       0    0.49    0.10    0.00    0.59 294.48 250.86  43.61  44.20
   -71.25   -32.75    1951     131       1    0.49    0.00    0.00    0.50 225.70 232.54  -6.84  -6.35
   -71.25   -32.75    1951     131       2    0.49    0.01    0.00    0.50 305.48 305.20   0.28   0.78
   -71.25   -32.75    1951     131       3    0.49    0.16    0.00    0.65 233.29 272.94 -39.65 -39.00
   -71.25   -32.75    1951     131       4    0.49    0.09    0.00    0.58 271.84 297.45 -25.61 -25.04
   -71.25   -32.75    1951     132       0    0.49    0.07    0.00    0.56 237.37 251.44 -14.07 -13.50
   -71.25   -32.75    1951     132       1    0.49    0.00    0.00    0.49 181.81 176.47   5.34   5.83
   -71.25   -32.75    1951     132       2    0.49    0.00    0.00    0.49 202.86 221.56 -18.70 -18.21
   -71.25   -32.75    1951     132       3    0.49    0.00    0.00    0.49 208.04 209.16  -1.12  -0.62
   -71.25   -32.75    1951     132       4    0.49    0.02    0.00    0.51 179.13 189.34 -10.21  -9.70
   -71.25   -32.75    1951     133       0    0.49    0.07    0.00    0.56 291.61 303.72 -12.10 -11.54
   -71.25   -32.75    1951     133       1    0.49    0.07    0.00    0.57 203.21 226.09 -22.88 -22.31
   -71.25   -32.75    1951     133       2    0.49    0.37    0.00    0.86  41.13  23.21  17.92  18.78
   -71.25   -32.75    1951     133       3    0.49    0.09    0.00    0.58 277.07 306.64 -29.58 -28.99
   -71.25   -32.75    1951     133       4    0.49    0.00    0.00    0.49 254.58 286.28 -31.70 -31.20
   -71.25   -32.75    1951     134       0    0.49    0.03    0.00    0.52 271.21 289.76 -18.55 -18.03
   -71.25   -32.75    1951     134       1    0.49    0.41    0.00    0.90 124.66 122.83   1.82   2.73
   -71.25   -32.75    1951     134       2    0.49    0.12    0.00    0.61 219.70 231.46 -11.76 -11.15
   -71.25   -32.75    1951     134       3    0.49    0.02    0.00    0.51 277.60 272.13   5.46   5.97
   -71.25   -32.75    1951     134       4    0.49    0.00    0.00    0.49 229.41 249.35 -19.94 -19.44
   -71.25   -32.75    1951     140       0    0.49    0.12    0.00    0.61 300.22 321.30 -21.08 -20.47
   -71.25   -32.75    1951     140       1    0.49    0.71    0.00    1.20 210.37 167.54  42.82  44.03
   -71.25   -32.75    1951     140       2    0.49    0.00    0.00    0.50 162.66 185.55 -22.89 -22.39
   -71.25   -32.75    1951     140       3    0.49    0.00    0.00    0.49 271.47 292.42 -20.95 -20.46
   -71.25   -32.75    1951     140       4    0.49    0.02    0.00    0.51 302.97 303.36  -0.39   0.12
   -71.25   -32.75    1951     160       0    0.49    0.00    0.00    0.49 181.06 197.65 -16.59 -16.10
   -71.25   -32.75    1951     160       1    0.49    0.10    0.00    0.59 268.31 238.98  29.33  29.93
   -71.25   -32.75    1951     160       2    0.49    1.09    0.00    1.58 297.96 322.41 -24.45 -22.87
   -71.25   -32.75    1951     160       3    0.49    0.59    0.00    1.08 216.26 189.46  26.80  27.87
